group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,81,0.23209169054441262,1.741,1.911,-0.461,-0.632,-0.344,0.107,0.0899,0.5432,0.8272,0.9753,1.097,-4.31,2e-05,True
pepite,Ivern,102,0.2922636103151863,1.882,1.994,-0.379,-0.49,-0.216,0.1107,0.046,0.451,0.8529,0.9314,1.149,-3.5,0.00046,True
pepite,Draven,78,0.22349570200573066,1.885,2.02,-0.352,-0.488,-0.192,0.0788,0.0633,0.4487,0.8333,0.9487,1.121,-3.24,0.00121,True
populaire,Kennen,171,0.4899713467048711,2.058,2.105,-0.267,-0.314,-0.072,0.1309,0.0503,0.3977,0.7602,0.9357,1.217,-2.54,0.01112,True
populaire,Gnar Small,264,0.7564469914040115,2.087,2.116,-0.256,-0.285,-0.062,0.1938,0.0502,0.4091,0.7538,0.9356,1.301,-2.5,0.01247,True
pepite,Maokai,93,0.2664756446991404,2.054,2.132,-0.241,-0.319,0.0,0.0642,0.0178,0.4624,0.7742,0.9032,1.379,-1.94,0.05269,False
populaire,Taric,123,0.3524355300859599,2.146,2.191,-0.182,-0.226,0.0,0.0641,0.0089,0.3902,0.7398,0.8943,1.317,-1.57,0.11628,False
populaire,Amumu,104,0.2979942693409742,2.192,2.233,-0.14,-0.18,0.0,0.0417,-0.0008,0.4135,0.7019,0.8846,1.38,-1.14,0.25399,False
populaire,Alistar,261,0.7478510028653295,2.222,2.238,-0.135,-0.15,0.0,0.1008,0.0188,0.3908,0.7126,0.9042,1.413,-1.26,0.20857,False
populaire,Ornn,194,0.5558739255014327,2.356,2.358,-0.015,-0.017,0.0,0.0081,0.0115,0.3557,0.6701,0.8969,1.507,-0.12,0.90112,False
pepite,Fiddlesticks,85,0.24355300859598855,2.353,2.358,-0.014,-0.02,0.0,0.0035,0.0205,0.3647,0.6,0.9059,1.469,-0.11,0.91299,False
populaire,Xayah,168,0.4813753581661891,2.375,2.375,0.002,0.003,0.0,-0.001,0.0134,0.3512,0.6726,0.8988,1.526,0.02,0.98603,False
populaire,Soraka,119,0.34097421203438394,2.395,2.39,0.018,0.022,0.0,-0.0061,0.0054,0.3613,0.6134,0.8908,1.568,0.14,0.89181,False
populaire,Le Blanc,182,0.5214899713467048,2.401,2.397,0.025,0.029,0.0,-0.0128,-0.0118,0.3791,0.6429,0.8736,1.544,0.2,0.8386,False
populaire,Hecarim,206,0.5902578796561605,2.403,2.399,0.027,0.03,0.0,-0.0157,-0.0019,0.3495,0.6505,0.8835,1.516,0.23,0.81959,False
,Azir,45,0.12893982808022922,2.489,2.442,0.07,0.116,0.0,-0.009,-0.0187,0.3556,0.5556,0.8667,1.529,0.48,0.63065,False
