group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gargoyle Stoneplate + Spirit Visage + Warmogs Armor,1238,0.04239435655092117,3.883,3.978,-0.201,-0.296,-0.176,0.0085,0.0629,0.1317,0.3263,0.6268,2.095,-4.86,0.0,True
populaire,Crownguard + Gargoyle Stoneplate + Warmogs Armor,422,0.01445106499554825,3.73,3.99,-0.188,-0.449,-0.25,0.0027,0.0854,0.1517,0.3578,0.6493,2.065,-4.43,1e-05,True
pepite,Crownguard + Gargoyle Stoneplate + Spirit Visage,249,0.008526813231970413,3.867,4.085,-0.093,-0.311,-0.065,0.0008,0.0506,0.1365,0.2972,0.6145,1.97,-2.48,0.01319,True
pepite,Crownguard + Gargoyle Stoneplate + Protectors Vow,103,0.0035271556742688857,3.583,4.089,-0.089,-0.596,-0.217,0.0003,0.1351,0.1359,0.3786,0.699,1.958,-3.08,0.00206,True
pepite,Gargoyle Stoneplate + Protectors Vow + Steadfast Heart,98,0.003355934525032532,3.561,4.09,-0.089,-0.617,-0.226,0.0003,0.13,0.1633,0.3673,0.6939,1.975,-3.09,0.00201,True
pepite,Ionic Spark + Sunfire Cape + Warmogs Armor,104,0.0035613999041161563,3.683,4.104,-0.075,-0.496,-0.132,0.0003,0.0996,0.0962,0.3558,0.6635,1.888,-2.67,0.00753,True
pepite,Bramble Vest + Ionic Spark + Warmogs Armor,67,0.0022943633997671393,3.493,4.108,-0.071,-0.686,-0.231,0.0002,0.1077,0.1493,0.403,0.6716,1.896,-2.96,0.0031,True
pepite,Adaptive Helm + Crownguard + Gargoyle Stoneplate,51,0.0017464557222108075,3.451,4.12,-0.058,-0.727,-0.205,0.0001,0.1616,0.1373,0.3922,0.7255,1.903,-2.73,0.00638,True
,Crownguard + Ionic Spark + Sunfire Cape,54,0.0018491884117526197,3.5,4.121,-0.057,-0.678,-0.093,0.0001,0.1213,0.2222,0.4259,0.6852,2.192,-2.27,0.02307,False
,Crownguard + Ionic Spark + Protectors Vow,45,0.001540990343127183,3.378,4.121,-0.057,-0.801,-0.231,0.0001,0.1694,0.1778,0.4222,0.7333,1.947,-2.76,0.00585,True
,Dragons Claw + Steadfast Heart + Sunfire Cape,49,0.001677967262516266,3.449,4.122,-0.056,-0.729,-0.232,0.0001,0.1708,0.0612,0.4082,0.7347,1.774,-2.88,0.00403,True
,Gargoyle Stoneplate + Ionic Spark + Protectors Vow,90,0.003081980686254366,3.767,4.123,-0.055,-0.412,-0.004,0.0002,0.1139,0.1,0.3222,0.6778,1.972,-1.98,0.04802,False
,Crownguard + Dragons Claw + Gargoyle Stoneplate,73,0.0024998287788507638,3.699,4.125,-0.053,-0.48,-0.026,0.0001,0.1073,0.137,0.3288,0.6712,1.977,-2.07,0.0384,False
,Adaptive Helm + Gargoyle Stoneplate + Steadfast Heart,53,0.001814944181905349,3.547,4.126,-0.053,-0.631,-0.122,0.0001,0.1153,0.1132,0.3774,0.6792,1.889,-2.43,0.01509,True
,Ionic Spark + Spirit Visage + Warmogs Armor,75,0.002568317238545305,3.733,4.128,-0.051,-0.445,-0.005,0.0001,0.1428,0.1467,0.2533,0.7067,1.941,-1.98,0.04741,False
,Crownguard + Gargoyle Stoneplate + Sunfire Cape,89,0.0030477364564070954,3.831,4.133,-0.046,-0.347,0.0,0.0001,0.1552,0.1124,0.2584,0.7191,1.933,-1.69,0.09091,False
,Dragons Claw + Gargoyle Stoneplate + Protectors Vow,92,0.0031504691459489074,3.848,4.133,-0.045,-0.331,0.0,0.0001,0.0557,0.1087,0.337,0.6196,2.08,-1.52,0.12789,False
,Dragons Claw + Gargoyle Stoneplate + Steadfast Heart,82,0.0028080268474762003,3.817,4.134,-0.044,-0.361,0.0,0.0001,0.0215,0.1829,0.378,0.5854,2.198,-1.49,0.13709,False
,Ionic Spark + Protectors Vow + Sunfire Cape,58,0.001986165331141703,3.69,4.134,-0.044,-0.489,0.0,0.0001,0.0568,0.2586,0.3276,0.6207,2.151,-1.73,0.08385,False
,Ionic Spark + Spirit Visage + Sunfire Cape,81,0.0027737826176289296,3.827,4.136,-0.043,-0.351,0.0,0.0001,0.0657,0.1111,0.321,0.6296,1.961,-1.61,0.10753,False
,Crownguard + Steadfast Heart + Warmogs Armor,43,0.0014725018834326417,3.558,4.136,-0.043,-0.62,-0.031,0.0001,0.064,0.1628,0.3953,0.6279,1.968,-2.06,0.03895,False
,Crownguard + Gargoyle Stoneplate + Gargoyle Stoneplate,104,0.0035613999041161563,3.904,4.137,-0.042,-0.275,0.0,0.0001,0.0899,0.1058,0.2692,0.6538,1.993,-1.4,0.16079,False
,Gargoyle Stoneplate + Ionic Spark + Steadfast Heart,71,0.002431340319156222,3.789,4.136,-0.042,-0.39,0.0,0.0001,0.1122,0.1549,0.2676,0.6761,1.935,-1.69,0.09014,False
,Crownguard + Gargoyle Stoneplate + Steadfast Heart,95,0.00325320183549072,3.905,4.14,-0.038,-0.273,0.0,0.0001,0.0782,0.1158,0.2737,0.6421,2.011,-1.32,0.18624,False
,Adaptive Helm + Gargoyle Stoneplate + Ionic Spark,59,0.0020204095609889735,3.763,4.14,-0.038,-0.416,0.0,0.0001,0.0802,0.1186,0.3051,0.6441,1.925,-1.66,0.09758,False
,Crownguard + Spirit Visage + Warmogs Armor,74,0.0025340730086980344,3.905,4.148,-0.031,-0.273,0.0,0.0001,0.0983,0.1351,0.3108,0.6622,2.081,-1.13,0.25956,False
,Ionic Spark + Protectors Vow + Spirit Visage,63,0.002157386480378056,3.857,4.147,-0.031,-0.321,0.0,0.0001,0.0551,0.1746,0.3651,0.619,2.203,-1.16,0.24745,False
,Steadfast Heart + Sunfire Cape + Warmogs Armor,42,0.0014382576535853708,3.714,4.147,-0.031,-0.464,0.0,0.0,0.1028,0.119,0.381,0.6667,1.991,-1.51,0.13123,False
,Emblem Sprykin + Gargoyle Stoneplate + Warmogs Armor,40,0.0013697691938908295,3.7,4.148,-0.031,-0.478,0.0,0.0,0.1111,0.125,0.3,0.675,1.887,-1.6,0.10907,False
,Bramble Vest + Gargoyle Stoneplate + Warmogs Armor,228,0.007807684405177728,4.079,4.151,-0.028,-0.099,0.0,0.0002,0.0019,0.1184,0.2807,0.5658,2.067,-0.72,0.46921,False
,Crownguard + Gargoyle Stoneplate + Ionic Spark,94,0.003218957605643449,4.011,4.155,-0.023,-0.168,0.0,0.0001,0.0425,0.1702,0.3085,0.6064,2.21,-0.74,0.46222,False
,Crownguard + Protectors Vow + Warmogs Armor,55,0.0018834326415998904,3.909,4.155,-0.023,-0.269,0.0,0.0,0.0179,0.0909,0.3091,0.5818,1.842,-1.08,0.27866,False
,Gargoyle Stoneplate + Gargoyle Stoneplate + Protectors Vow,89,0.0030477364564070954,4.011,4.156,-0.022,-0.167,0.0,0.0001,0.0204,0.1461,0.2809,0.5843,2.08,-0.76,0.44889,False
,Bramble Vest + Crownguard + Warmogs Armor,44,0.0015067461132799124,3.864,4.156,-0.022,-0.315,0.0,0.0,0.0043,0.1818,0.3182,0.5682,2.074,-1.01,0.31427,False
,The Indomitable + Gargoyle Stoneplate + Warmogs Armor,46,0.0015752345729744537,3.891,4.157,-0.021,-0.287,0.0,0.0,-0.0204,0.1739,0.3696,0.5435,2.149,-0.91,0.3652,False
,Crownguard + Ionic Spark + Spirit Visage,73,0.0024998287788507638,4.0,4.159,-0.02,-0.178,0.0,0.0,0.0936,0.0548,0.3288,0.6575,2.087,-0.73,0.46565,False
,Bramble Vest + Dragons Claw + Sunfire Cape,56,0.001917676871447161,3.946,4.158,-0.02,-0.232,0.0,0.0,0.079,0.1071,0.3393,0.6429,2.158,-0.8,0.42153,False
,Bramble Vest + Gargoyle Stoneplate + Spirit Visage,149,0.00510239024724334,4.087,4.16,-0.019,-0.091,0.0,0.0001,0.0133,0.1141,0.2752,0.5772,2.049,-0.54,0.58802,False
,Protectors Vow + Spirit Visage + Sunfire Cape,49,0.001677967262516266,3.939,4.16,-0.019,-0.24,0.0,0.0,0.0483,0.1429,0.3265,0.6122,2.054,-0.82,0.41456,False
,Crownguard + Protectors Vow + Spirit Visage,44,0.0015067461132799124,3.909,4.16,-0.019,-0.269,0.0,0.0,0.0725,0.0455,0.25,0.6364,1.676,-1.06,0.28705,False
,Crownguard + Sunfire Cape + Warmogs Armor,44,0.0015067461132799124,3.909,4.16,-0.019,-0.269,0.0,0.0,0.0725,0.1591,0.3409,0.6364,2.265,-0.79,0.43042,False
,Dragons Claw + Spirit Visage + Steadfast Heart,47,0.0016094788028217246,3.936,4.16,-0.018,-0.242,0.0,0.0,0.0957,0.0638,0.2553,0.6596,1.895,-0.88,0.38127,False
populaire,Gargoyle Stoneplate + Steadfast Heart + Warmogs Armor,350,0.011985480446544758,4.134,4.162,-0.017,-0.044,0.0,0.0002,0.019,0.1114,0.2971,0.5829,2.203,-0.37,0.70916,False
,Adaptive Helm + Gargoyle Stoneplate + Protectors Vow,51,0.0017464557222108075,3.98,4.163,-0.016,-0.198,0.0,0.0,0.0832,0.0392,0.2549,0.6471,1.82,-0.78,0.43768,False
,Crownguard + Dragons Claw + Warmogs Armor,50,0.0017122114923635368,3.98,4.163,-0.016,-0.198,0.0,0.0,0.0361,0.06,0.3,0.6,1.934,-0.72,0.46852,False
,Bramble Vest + Crownguard + Gargoyle Stoneplate,40,0.0013697691938908295,3.925,4.162,-0.016,-0.253,0.0,0.0,0.0361,0.125,0.375,0.6,2.114,-0.76,0.44863,False
