group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Crownguard,3189,0.10920484898294637,3.828,3.882,-0.297,-0.351,-0.276,0.0324,0.0774,0.1336,0.318,0.6413,2.032,-9.23,0.0,True
populaire,Ionic Spark,3590,0.12293678515170194,3.965,3.995,-0.183,-0.213,-0.142,0.0225,0.0411,0.1287,0.293,0.605,2.051,-5.86,0.0,True
pepite,Adaptive Helm,1735,0.05941373878501473,3.935,3.996,-0.182,-0.244,-0.144,0.0108,0.0442,0.1216,0.3032,0.6081,2.049,-4.8,0.0,True
populaire,Steadfast Heart,2700,0.09245942058763099,3.973,4.01,-0.169,-0.205,-0.123,0.0156,0.0361,0.1256,0.3007,0.6,2.076,-4.91,0.0,True
pepite,Emblem Sprykin,290,0.009930826655708514,3.683,4.014,-0.164,-0.496,-0.267,0.0016,0.1154,0.131,0.331,0.6793,1.98,-4.24,2e-05,True
pepite,Emblem Elderwood,387,0.013252516950893774,3.793,4.025,-0.154,-0.385,-0.178,0.002,0.0563,0.1757,0.3488,0.6202,2.07,-3.64,0.00028,True
populaire,Protectors Vow,3189,0.10920484898294637,3.999,4.027,-0.152,-0.179,-0.103,0.0166,0.0372,0.1289,0.2979,0.6011,2.09,-4.6,0.0,True
populaire,Bramble Vest,2243,0.07680980754742826,4.014,4.048,-0.13,-0.164,-0.074,0.01,0.0268,0.1329,0.2951,0.5907,2.1,-3.57,0.00036,True
pepite,Evenshroud,988,0.033833299089103486,4.063,4.106,-0.073,-0.116,0.0,0.0025,0.0161,0.1316,0.2783,0.58,2.092,-1.71,0.08741,False
populaire,Sunfire Cape,3803,0.1302308061091706,4.12,4.127,-0.051,-0.059,0.0,0.0066,0.0125,0.117,0.2756,0.5764,2.09,-1.63,0.10303,False
pepite,Lightshield Crest,108,0.0036983768235052394,3.917,4.138,-0.041,-0.262,0.0,0.0002,0.075,0.1204,0.3148,0.6389,2.156,-1.26,0.20792,False
populaire,Spirit Visage,6522,0.22334086706389975,4.137,4.141,-0.038,-0.041,0.0,0.0084,0.0085,0.1156,0.2722,0.5724,2.099,-1.43,0.15188,False
populaire,Dragons Claw,3384,0.11588247380316416,4.137,4.143,-0.036,-0.042,0.0,0.0041,0.005,0.1123,0.2692,0.5689,2.071,-1.11,0.26589,False
pepite,The Indomitable,115,0.003938086432436134,4.0,4.149,-0.029,-0.178,0.0,0.0001,-0.0074,0.1652,0.3043,0.5565,2.098,-0.91,0.36257,False
,Morellonomicon,138,0.004725703718923361,4.072,4.158,-0.02,-0.106,0.0,0.0001,0.0158,0.087,0.2391,0.5797,1.944,-0.64,0.52294,False
,Titans Resolve,245,0.00838983631258133,4.131,4.164,-0.014,-0.048,0.0,0.0001,-0.0006,0.1061,0.2571,0.5633,1.992,-0.37,0.70827,False
,Moguls Mail,240,0.008218615163344977,4.146,4.169,-0.009,-0.033,0.0,0.0001,-0.0389,0.1333,0.2875,0.525,2.098,-0.24,0.81042,False
,Emblem Vanguard,185,0.006335182521745086,4.162,4.175,-0.004,-0.016,0.0,0.0,0.0037,0.1405,0.2757,0.5676,2.17,-0.1,0.91894,False
,Aegis Of Dawn,71,0.002431340319156222,4.141,4.174,-0.004,-0.038,0.0,0.0,0.0417,0.0986,0.2394,0.6056,2.016,-0.16,0.87529,False
populaire,Warmogs Armor,8538,0.29237723443599756,4.178,4.178,-0.001,-0.001,0.0,0.0002,-0.0033,0.1095,0.2675,0.5606,2.094,-0.03,0.97255,False
,Hullcrusher,45,0.001540990343127183,4.289,4.186,0.008,0.11,0.0,-0.0,-0.0972,0.0889,0.2444,0.4667,1.962,0.38,0.70599,False
populaire,Gargoyle Stoneplate,12499,0.4280186288610369,4.193,4.193,0.014,0.015,0.0,-0.0061,-0.0048,0.1135,0.2681,0.5591,2.122,0.66,0.50951,False
,Emblem Juggernaut,130,0.004451749880145196,4.262,4.194,0.015,0.083,0.0,-0.0001,-0.0485,0.1231,0.2923,0.5154,2.182,0.43,0.66485,False
,Seekers Armguard,41,0.0014040134237381001,4.488,4.199,0.02,0.309,0.0,-0.0,-0.0517,0.1463,0.2195,0.5122,2.21,0.9,0.37038,False
,Steraks Gage,116,0.003972330662283406,4.362,4.209,0.03,0.184,0.0,-0.0001,-0.0208,0.1207,0.2241,0.5431,2.135,0.92,0.35523,False
,Bloodthirster,211,0.007225532497774125,4.308,4.213,0.034,0.13,0.0,-0.0002,-0.0094,0.0948,0.2322,0.5545,2.053,0.91,0.36084,False
,Emblem Blackthorn,69,0.0023628518594616807,4.522,4.215,0.036,0.343,0.0,-0.0001,-0.0422,0.1304,0.2464,0.5217,2.288,1.25,0.21311,False
,Aegis Of Dusk,91,0.0031162249161016367,4.538,4.227,0.049,0.36,0.0,-0.0002,-0.0804,0.1209,0.2198,0.4835,2.26,1.52,0.12905,False
,Emblem Brawler,197,0.006746113279912334,4.497,4.259,0.08,0.319,0.011,-0.0005,-0.0766,0.132,0.2386,0.4873,2.2,2.03,0.04243,True
