group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Void Gauntlet,159,0.005355158128725877,4.208,4.183,0.007,0.031,0.0,-0.0,-0.0174,0.1635,0.2956,0.5472,2.312,0.17,0.86478,False
populaire,Hullcrusher,164,0.005523559327742414,4.232,4.188,0.012,0.055,0.0,-0.0001,-0.0524,0.122,0.3293,0.5122,2.251,0.31,0.75298,False
populaire,Lightshield Crest,267,0.008992624027483076,4.217,4.189,0.013,0.041,0.0,-0.0001,0.0047,0.1124,0.2622,0.5693,2.179,0.31,0.75956,False
,Infinity Force,54,0.0018187329493785996,4.63,4.214,0.038,0.453,0.0,-0.0001,-0.0461,0.0926,0.2222,0.5185,2.28,1.46,0.14417,False
populaire,Moguls Mail,444,0.014954026472668485,4.266,4.215,0.038,0.09,0.0,-0.0006,-0.0488,0.1239,0.259,0.5158,2.102,0.89,0.3732,False
populaire,Aegis Of Dusk,303,0.010205112660402142,4.317,4.224,0.047,0.141,0.0,-0.0005,-0.0464,0.1122,0.231,0.5182,2.103,1.16,0.2469,False
populaire,Zhonyas Paradox,104,0.0035027449395439694,4.529,4.229,0.053,0.353,0.0,-0.0002,-0.0934,0.0865,0.1731,0.4712,1.971,1.82,0.06861,False
populaire,Artifact Talisman Of Ascension,125,0.004210029975413425,4.512,4.235,0.058,0.336,0.0,-0.0002,-0.1006,0.104,0.24,0.464,2.175,1.72,0.08496,False
,Blighting Jewel,63,0.002121855107608366,4.968,4.252,0.076,0.792,0.271,-0.0002,-0.136,0.0635,0.1746,0.4286,2.108,2.98,0.00289,True
populaire,Aegis Of Dawn,232,0.007813815634367317,4.461,4.256,0.08,0.285,0.012,-0.0006,-0.0172,0.0733,0.2112,0.5474,2.111,2.05,0.04053,False
,Forbidden Idol,58,0.0019534539085918293,5.138,4.262,0.086,0.962,0.452,-0.0002,-0.2025,0.0345,0.1379,0.3621,1.978,3.7,0.00022,True
populaire,The Indomitable,333,0.011215519854501364,4.486,4.288,0.111,0.31,0.078,-0.0013,-0.0871,0.1141,0.2342,0.4775,2.154,2.61,0.00895,True
populaire,Seekers Armguard,265,0.00892526354787646,4.589,4.304,0.127,0.412,0.151,-0.0011,-0.0816,0.1019,0.2151,0.483,2.165,3.09,0.00202,True
