group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Crownguard,4289,0.14445454851638545,3.832,3.874,-0.303,-0.345,-0.279,0.0437,0.0754,0.1352,0.3176,0.64,2.038,-10.3,0.0,True
populaire,Ionic Spark,4883,0.16446061095955003,3.967,3.99,-0.186,-0.209,-0.147,0.0306,0.04,0.1305,0.2904,0.6045,2.05,-6.57,0.0,True
pepite,Adaptive Helm,2795,0.09413627025024418,3.974,4.01,-0.167,-0.202,-0.121,0.0157,0.039,0.1234,0.3063,0.6036,2.08,-4.9,0.0,True
populaire,Steadfast Heart,3592,0.12097942137348018,3.999,4.024,-0.152,-0.177,-0.105,0.0184,0.0329,0.1253,0.2982,0.5974,2.087,-4.8,0.0,True
populaire,Protectors Vow,4269,0.1437809437203193,4.03,4.048,-0.129,-0.146,-0.079,0.0185,0.0349,0.1239,0.2912,0.5994,2.092,-4.27,2e-05,True
populaire,Bramble Vest,3014,0.1015122427671685,4.055,4.075,-0.101,-0.121,-0.043,0.0102,0.019,0.1244,0.2843,0.5836,2.079,-3.04,0.00239,True
pepite,Hextech Gunblade,357,0.012023845609780742,3.933,4.085,-0.091,-0.243,-0.035,0.0011,0.0629,0.0952,0.2885,0.6275,1.999,-2.29,0.02224,True
pepite,Evenshroud,1563,0.05264221481256946,4.077,4.104,-0.072,-0.099,0.0,0.0038,0.0202,0.126,0.279,0.5848,2.092,-1.83,0.06698,False
pepite,Quicksilver,116,0.003906907817183659,3.871,4.126,-0.05,-0.306,0.0,0.0002,0.0475,0.1034,0.2931,0.6121,1.841,-1.78,0.07454,False
populaire,Sunfire Cape,4965,0.16722239062342123,4.133,4.138,-0.039,-0.043,0.0,0.0064,0.0076,0.115,0.2737,0.5722,2.092,-1.34,0.17924,False
pepite,Void Staff,478,0.016099154625980938,4.092,4.139,-0.038,-0.084,0.0,0.0006,0.0254,0.1067,0.2615,0.59,2.012,-0.91,0.36454,False
pepite,Strikers Flail,80,0.002694419184264592,3.95,4.149,-0.027,-0.226,0.0,0.0001,0.0604,0.0875,0.25,0.625,1.863,-1.08,0.27833,False
,Tacticians Cape,49,0.0016503317503620625,3.816,4.149,-0.027,-0.36,0.0,0.0,0.0681,0.1837,0.3061,0.6327,2.027,-1.24,0.21432,False
,Steraks Gage,506,0.017042201340473545,4.154,4.166,-0.01,-0.022,0.0,0.0002,0.0244,0.1126,0.253,0.5889,2.084,-0.24,0.81308,False
,Morellonomicon,797,0.026843151123235997,4.164,4.169,-0.007,-0.012,0.0,0.0002,0.0101,0.0991,0.2522,0.5747,2.041,-0.16,0.87125,False
,Red Buff,180,0.006062443164595332,4.189,4.179,0.003,0.013,0.0,-0.0,0.0021,0.1056,0.2611,0.5667,2.089,0.08,0.9355,False
populaire,Dragons Claw,4381,0.14755313057828973,4.181,4.181,0.004,0.005,0.0,-0.0006,-0.0022,0.1082,0.2634,0.5624,2.079,0.15,0.88236,False
,Tacticians Crown,52,0.0017513724697719847,4.231,4.181,0.004,0.055,0.0,-0.0,-0.0069,0.1538,0.25,0.5577,2.145,0.18,0.85469,False
,Component B F Sword,40,0.001347209592132296,4.275,4.182,0.006,0.099,0.0,-0.0,0.0604,0.05,0.175,0.625,2.0,0.31,0.75499,False
populaire,Spirit Visage,7803,0.26280691118520766,4.188,4.187,0.011,0.011,0.0,-0.0028,-0.0022,0.112,0.2664,0.5623,2.106,0.43,0.66785,False
,Infinity Edge,44,0.0014819305513455257,4.364,4.189,0.013,0.187,0.0,-0.0,-0.0419,0.1136,0.2273,0.5227,2.227,0.56,0.57697,False
,Edge Of Night,229,0.007712774914957394,4.236,4.193,0.017,0.06,0.0,-0.0001,-0.0056,0.1135,0.2795,0.559,2.173,0.41,0.6794,False
,Giant Slayer,163,0.005489879087939106,4.276,4.198,0.021,0.1,0.0,-0.0001,0.0121,0.0675,0.184,0.5767,1.929,0.66,0.51021,False
,Guinsoos Rageblade,43,0.0014482503115422181,4.488,4.197,0.021,0.312,0.0,-0.0,-0.053,0.0698,0.2326,0.5116,2.161,0.95,0.34383,False
,Component Sparring Gloves,67,0.0022565760668215957,4.448,4.204,0.028,0.272,0.0,-0.0001,-0.087,0.0448,0.2239,0.4776,1.995,1.11,0.2658,False
,Bloodthirster,918,0.030918460139436194,4.235,4.212,0.036,0.059,0.0,-0.0011,0.0019,0.1002,0.2473,0.5664,2.088,0.84,0.39882,False
populaire,Warmogs Armor,10055,0.3386548112222559,4.216,4.214,0.038,0.04,0.0,-0.0127,-0.0122,0.1079,0.2618,0.5524,2.099,1.64,0.10096,False
,Blue Buff,188,0.0063318850830217915,4.378,4.225,0.048,0.201,0.0,-0.0003,-0.0699,0.0691,0.1968,0.4947,1.938,1.42,0.15573,False
,Rabadons Deathcap,300,0.010104071940992219,4.337,4.23,0.054,0.16,0.0,-0.0005,-0.0412,0.1033,0.2133,0.5233,2.022,1.37,0.17181,False
,Component Tear Of The Goddess,142,0.004782594052069651,4.472,4.233,0.057,0.296,0.0,-0.0003,-0.0857,0.1338,0.2535,0.4789,2.241,1.57,0.11685,False
,Titans Resolve,843,0.02839244215418814,4.286,4.241,0.064,0.11,0.0,-0.0018,-0.0355,0.0937,0.242,0.5291,2.032,1.54,0.12276,False
populaire,Gargoyle Stoneplate,14349,0.4832777609376579,4.245,4.243,0.066,0.069,0.027,-0.032,-0.0157,0.1099,0.2601,0.5489,2.129,3.2,0.00138,True
,Component Needlessly Large Rod,157,0.005287797649119262,4.58,4.261,0.084,0.403,0.046,-0.0004,-0.0996,0.1083,0.2357,0.465,2.277,2.21,0.02681,True
,Hand Of Justice,390,0.013135293523289886,4.431,4.277,0.101,0.255,0.042,-0.0013,-0.0415,0.0897,0.2282,0.5231,2.127,2.35,0.01885,True
,Nashors Tooth,110,0.003704826378363814,4.873,4.285,0.109,0.696,0.305,-0.0004,-0.1464,0.0727,0.1818,0.4182,2.089,3.49,0.00048,True
,Spear Of Shojin,184,0.006197164123808561,4.679,4.295,0.119,0.503,0.186,-0.0007,-0.1352,0.1033,0.212,0.4293,2.19,3.11,0.00188,True
,Archangels Staff,1022,0.03442120507898016,4.491,4.375,0.199,0.315,0.184,-0.0069,-0.0548,0.0793,0.2153,0.5098,2.108,4.7,0.0,True
,Jeweled Gauntlet,434,0.01461722407463541,4.767,4.426,0.25,0.591,0.39,-0.0036,-0.1245,0.0645,0.1912,0.4401,2.118,5.77,0.0,True
