group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Sprykin,810,0.027280994240678993,3.711,3.908,-0.268,-0.465,-0.327,0.0073,0.1218,0.1272,0.3247,0.6864,1.972,-6.61,0.0,True
populaire,Emblem Elderwood,994,0.03347815836448755,3.869,3.984,-0.192,-0.307,-0.175,0.0064,0.04,0.165,0.331,0.6046,2.095,-4.55,1e-05,True
populaire,Emblem Brawler,649,0.021858475632346504,4.06,4.116,-0.061,-0.116,0.0,0.0013,0.0333,0.1448,0.3082,0.5978,2.21,-1.33,0.18481,False
pepite,Emblem Executioner,190,0.006399245562628406,3.995,4.132,-0.044,-0.182,0.0,0.0003,0.0196,0.1947,0.3158,0.5842,2.223,-1.12,0.26176,False
populaire,Emblem Vanguard,607,0.02044390556060759,4.091,4.133,-0.043,-0.086,0.0,0.0009,0.0104,0.14,0.2801,0.575,2.137,-0.98,0.32824,False
populaire,Emblem Juggernaut,487,0.016402276784210704,4.111,4.147,-0.029,-0.065,0.0,0.0005,0.0083,0.1088,0.2854,0.5729,2.083,-0.69,0.49233,False
populaire,Emblem Blackthorn,477,0.01606547438617763,4.113,4.148,-0.028,-0.063,0.0,0.0005,0.0245,0.1593,0.2935,0.5891,2.222,-0.62,0.53848,False
populaire,Emblem Fae,275,0.009262065945909535,4.331,4.225,0.049,0.155,0.0,-0.0005,0.0027,0.0945,0.2182,0.5673,2.095,1.22,0.223,False
,Emblem Lunar,196,0.00660132700144825,4.372,4.225,0.049,0.196,0.0,-0.0003,-0.034,0.0918,0.2296,0.5306,2.072,1.32,0.18653,False
,Emblem Invoker,213,0.007173891078104476,4.474,4.255,0.079,0.298,0.024,-0.0006,-0.0528,0.0704,0.2113,0.5117,2.029,2.13,0.0328,True
,Emblem Primal,104,0.0035027449395439694,4.827,4.273,0.097,0.651,0.244,-0.0003,-0.1511,0.0577,0.2019,0.4135,2.114,3.13,0.00173,True
populaire,Emblem Blossom,498,0.016772759422047086,4.502,4.325,0.149,0.326,0.142,-0.0025,-0.0666,0.0843,0.2008,0.498,2.071,3.48,0.0005,True
,Emblem Inferno,154,0.00518675692970934,5.065,4.359,0.183,0.889,0.598,-0.0009,-0.1685,0.013,0.1039,0.3961,1.833,6.0,0.0,True
populaire,Emblem Slayer,359,0.012091206089387357,4.73,4.385,0.209,0.554,0.33,-0.0025,-0.1161,0.0975,0.1866,0.4485,2.153,4.84,0.0,True
populaire,Emblem Coven,250,0.00842005995082685,5.196,4.478,0.302,1.02,0.758,-0.0025,-0.1926,0.06,0.132,0.372,2.107,7.62,0.0,True
