group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Crownguard + Gargoyle Stoneplate,1500,0.051366344770906104,3.832,3.929,-0.249,-0.346,-0.24,0.0128,0.0761,0.1387,0.318,0.64,2.045,-6.39,0.0,True
pepite,Ionic Spark + Sunfire Cape,704,0.024107937812478598,3.761,3.95,-0.228,-0.417,-0.267,0.0055,0.0639,0.1591,0.331,0.6278,2.008,-5.44,0.0,True
pepite,Crownguard + Dragons Claw,301,0.010307513184028491,3.558,3.967,-0.211,-0.62,-0.397,0.0022,0.1305,0.1595,0.3721,0.6944,1.968,-5.44,0.0,True
pepite,Crownguard + Protectors Vow,385,0.013184028491199233,3.681,3.981,-0.198,-0.498,-0.296,0.0026,0.0932,0.1481,0.3636,0.6571,2.006,-4.83,0.0,True
pepite,Ionic Spark + Protectors Vow,513,0.017567289911649887,3.756,3.981,-0.197,-0.422,-0.24,0.0035,0.0794,0.1559,0.347,0.6433,2.083,-4.55,1e-05,True
pepite,Crownguard + Steadfast Heart,307,0.010512978563112115,3.616,3.985,-0.194,-0.563,-0.339,0.002,0.1104,0.1596,0.342,0.6743,1.986,-4.94,0.0,True
pepite,Bramble Vest + Ionic Spark,293,0.010033559345250326,3.614,3.99,-0.188,-0.564,-0.326,0.0019,0.1119,0.1741,0.3788,0.6758,2.065,-4.65,0.0,True
,Adaptive Helm + Steadfast Heart,228,0.007807684405177728,3.548,4.002,-0.177,-0.63,-0.369,0.0014,0.1115,0.1711,0.3772,0.6754,2.005,-4.73,0.0,True
,Adaptive Helm + Crownguard,291,0.009965070885555784,3.663,4.007,-0.171,-0.515,-0.286,0.0017,0.1268,0.134,0.3368,0.6907,1.982,-4.41,1e-05,True
,Bramble Vest + Crownguard,188,0.006437915211286898,3.479,4.008,-0.17,-0.7,-0.415,0.0011,0.117,0.1809,0.3989,0.6809,1.988,-4.81,0.0,True
,Adaptive Helm + Ionic Spark,300,0.01027326895418122,3.713,4.021,-0.158,-0.465,-0.244,0.0016,0.0694,0.1467,0.3133,0.6333,1.945,-4.12,4e-05,True
,Crownguard + Spirit Visage,633,0.021676597493322375,3.877,4.022,-0.157,-0.302,-0.146,0.0034,0.0649,0.1216,0.3002,0.6288,1.98,-3.79,0.00015,True
,Crownguard + Warmogs Armor,1096,0.037531675912608725,3.943,4.025,-0.154,-0.236,-0.112,0.0058,0.0483,0.1214,0.3047,0.6122,2.047,-3.74,0.00018,True
,Protectors Vow + Steadfast Heart,308,0.010547222792959386,3.747,4.029,-0.149,-0.432,-0.207,0.0016,0.079,0.1688,0.3182,0.6429,2.002,-3.76,0.00017,True
,Bramble Vest + Steadfast Heart,166,0.005684542154646942,3.506,4.03,-0.149,-0.672,-0.382,0.0008,0.1469,0.1566,0.3554,0.7108,1.9,-4.54,1e-05,True
,Dragons Claw + Steadfast Heart,359,0.012293678515170194,3.805,4.036,-0.142,-0.373,-0.162,0.0017,0.074,0.1365,0.3259,0.6379,2.028,-3.47,0.00053,True
,Crownguard + Sunfire Cape,362,0.012396411204712006,3.815,4.039,-0.139,-0.364,-0.15,0.0017,0.1101,0.1354,0.3039,0.674,2.056,-3.34,0.00083,True
populaire,Spirit Visage + Warmogs Armor,2068,0.07081706732415588,4.013,4.049,-0.129,-0.165,-0.072,0.0091,0.0381,0.1233,0.2945,0.602,2.1,-3.46,0.00054,True
,Emblem Elderwood + Sunfire Cape,114,0.003903842202588864,3.404,4.052,-0.127,-0.775,-0.41,0.0005,0.1729,0.1842,0.4298,0.7368,1.981,-4.17,3e-05,True
,Crownguard + Ionic Spark,667,0.02284090130812958,3.964,4.064,-0.114,-0.214,-0.057,0.0026,0.0673,0.1139,0.2924,0.6312,2.047,-2.67,0.00751,True
,Bramble Vest + Protectors Vow,242,0.008287103623039518,3.81,4.07,-0.108,-0.369,-0.106,0.0009,0.0931,0.1529,0.314,0.657,2.072,-2.75,0.00587,True
,Adaptive Helm + Protectors Vow,256,0.008766522840901307,3.828,4.072,-0.107,-0.35,-0.095,0.0009,0.0806,0.1289,0.3281,0.6445,2.077,-2.69,0.00722,True
,Emblem Sprykin + Gargoyle Stoneplate,151,0.005170878706937881,3.695,4.079,-0.099,-0.483,-0.157,0.0005,0.105,0.1391,0.3444,0.6689,2.039,-2.9,0.0037,True
