group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Executioner,1609,0.05006845904904157,3.209,3.484,-0.69,-0.965,-0.87,0.0345,0.1868,0.2262,0.4301,0.7526,1.89,-19.88,0.0,True
pepite,Spellweaver,2403,0.07477595220313667,3.546,3.678,-0.496,-0.629,-0.547,0.0371,0.1187,0.1723,0.3683,0.6846,1.958,-15.1,0.0,True
populaire,Brawler,6370,0.1982200647249191,3.63,3.679,-0.495,-0.545,-0.491,0.0981,0.1144,0.1578,0.3485,0.6802,1.984,-19.8,0.0,True
pepite,Sprykin,392,0.01219815782922579,2.926,3.701,-0.473,-1.248,-1.091,0.0058,0.276,0.2015,0.4694,0.8418,1.57,-15.57,0.0,True
populaire,Alune Unique Trait,5657,0.17603310928553648,3.66,3.713,-0.462,-0.514,-0.457,0.0813,0.0974,0.164,0.3534,0.6632,2.013,-17.59,0.0,True
pepite,Sprykin,1483,0.046147622603933285,3.513,3.713,-0.461,-0.661,-0.567,0.0213,0.1651,0.1194,0.3372,0.731,1.789,-13.8,0.0,True
pepite,Greenfather,3370,0.10486681603186458,3.63,3.717,-0.457,-0.544,-0.469,0.0479,0.0906,0.1881,0.3843,0.6564,2.109,-14.25,0.0,True
pepite,Lux Unique Trait,2710,0.08432910131939259,3.621,3.727,-0.447,-0.554,-0.47,0.0377,0.0888,0.1989,0.3819,0.6546,2.123,-13.04,0.0,True
,Elderwood,219,0.00681478715459298,2.457,3.738,-0.437,-1.718,-1.515,0.003,0.3018,0.3516,0.6256,0.8676,1.524,-16.58,0.0,True
,Brawler,526,0.01636793627084889,3.224,3.747,-0.428,-0.95,-0.789,0.007,0.1965,0.1749,0.4677,0.7624,1.865,-11.56,0.0,True
,Executioner,2263,0.07041946726412746,3.648,3.765,-0.41,-0.526,-0.439,0.0288,0.0926,0.1821,0.3513,0.6584,2.034,-11.86,0.0,True
populaire,Flora Fatalis,16272,0.5063480209111277,3.836,3.849,-0.325,-0.338,-0.299,0.1646,0.0676,0.1433,0.3234,0.6334,2.067,-16.88,0.0,True
,Blackthorn,748,0.023276076674134928,3.591,3.861,-0.314,-0.583,-0.425,0.0073,0.104,0.2259,0.389,0.6698,2.179,-7.24,0.0,True
,Emerald,3188,0.0992033856111526,3.814,3.874,-0.3,-0.36,-0.284,0.0297,0.0625,0.1584,0.3391,0.6283,2.099,-9.24,0.0,True
,Elderwood,1052,0.03273587254169778,3.716,3.89,-0.285,-0.458,-0.34,0.0093,0.0948,0.1369,0.3203,0.6606,1.92,-7.6,0.0,True
,Defender,851,0.026481204879263132,3.741,3.928,-0.247,-0.433,-0.297,0.0065,0.0887,0.1469,0.3302,0.6545,1.997,-6.23,0.0,True
,Sprykin,3094,0.09627831715210355,3.878,3.929,-0.245,-0.296,-0.22,0.0236,0.069,0.128,0.3142,0.6348,2.064,-7.61,0.0,True
,Blossom,3064,0.09534478466517302,3.884,3.934,-0.24,-0.29,-0.214,0.0229,0.0559,0.1403,0.3107,0.6217,2.059,-7.44,0.0,True
,Inferno,964,0.02999751058003485,3.777,3.936,-0.238,-0.397,-0.273,0.0072,0.0908,0.1141,0.3071,0.6566,1.937,-6.26,0.0,True
,Battlemage,3141,0.09774085138162808,3.91,3.955,-0.219,-0.264,-0.188,0.0214,0.0537,0.1449,0.3114,0.6195,2.092,-6.76,0.0,True
,Rival,2050,0.06379138660692059,3.887,3.955,-0.219,-0.287,-0.201,0.014,0.062,0.1098,0.2815,0.6278,1.923,-6.52,0.0,True
populaire,Spellweaver,4957,0.1542506845904904,3.945,3.971,-0.203,-0.23,-0.168,0.0314,0.0454,0.1309,0.2984,0.6113,2.054,-7.3,0.0,True
,Zyra Unique Trait,2585,0.08043938262384864,3.973,4.013,-0.161,-0.201,-0.117,0.0129,0.0369,0.1265,0.299,0.6027,2.083,-4.71,0.0,True
populaire,Defender,22431,0.6980022404779687,4.013,4.018,-0.157,-0.161,-0.125,0.1094,0.0331,0.1257,0.2926,0.5989,2.091,-8.83,0.0,True
,Lunar,118,0.0036718944485934777,3.322,4.042,-0.132,-0.852,-0.532,0.0005,0.1884,0.161,0.3644,0.7542,1.77,-5.22,0.0,True
,Inferno,104,0.003236245954692557,3.288,4.051,-0.123,-0.886,-0.517,0.0004,0.1361,0.2308,0.4135,0.7019,1.915,-4.71,0.0,True
,Rapidfire,2767,0.08610281304456062,4.035,4.062,-0.113,-0.139,-0.058,0.0097,0.0283,0.1193,0.2909,0.5941,2.087,-3.35,0.0008,True
,Lunar,301,0.009366442618869803,3.837,4.067,-0.108,-0.337,-0.109,0.001,0.0388,0.1628,0.3256,0.6047,2.011,-2.89,0.00381,True
,Eclipse,290,0.009024147373661936,3.845,4.072,-0.102,-0.329,-0.112,0.0009,0.0583,0.1241,0.2862,0.6241,1.879,-2.97,0.00299,True
,Invoker,480,0.014936519790888723,3.944,4.076,-0.099,-0.231,-0.053,0.0015,0.0779,0.0875,0.275,0.6438,1.965,-2.55,0.01083,True
,Elderwood,2535,0.07888349514563107,4.054,4.079,-0.096,-0.12,-0.035,0.0075,0.0204,0.1345,0.2793,0.5862,2.1,-2.77,0.00569,True
,Lunar,878,0.02732138411750062,4.017,4.084,-0.091,-0.157,-0.02,0.0025,0.0378,0.1321,0.2813,0.6036,2.047,-2.24,0.0249,True
,Blossom,106,0.0032984814538212595,3.547,4.085,-0.089,-0.627,-0.258,0.0003,0.1323,0.1604,0.3491,0.6981,1.933,-3.33,0.00086,True
,Invoker,210,0.006534727408513816,3.867,4.099,-0.076,-0.308,-0.043,0.0005,0.058,0.119,0.3048,0.6238,1.95,-2.28,0.02275,True
,Invoker,110,0.0034229524520786657,3.664,4.1,-0.075,-0.511,-0.164,0.0003,0.116,0.1,0.3364,0.6818,1.85,-2.89,0.00388,True
,Vanguard,442,0.013754045307443365,3.998,4.102,-0.072,-0.177,0.0,0.001,0.0224,0.1267,0.3009,0.5882,2.072,-1.78,0.07528,False
populaire,Spellweaver,19849,0.617656211102813,4.1,4.103,-0.071,-0.074,-0.037,0.0442,0.0166,0.117,0.2787,0.5824,2.1,-3.89,0.0001,True
,Invoker,2134,0.06640527757032612,4.107,4.122,-0.052,-0.067,0.0,0.0034,0.0181,0.1153,0.2755,0.5839,2.098,-1.44,0.15077,False
populaire,Executioner,6960,0.21657953696788648,4.123,4.128,-0.047,-0.051,0.0,0.0101,0.008,0.1121,0.273,0.5739,2.086,-1.84,0.06578,True
,Juggernaut,149,0.004636544685088374,3.94,4.13,-0.044,-0.235,0.0,0.0002,0.0651,0.0872,0.2953,0.6309,1.953,-1.46,0.14359,False
,Adaptor,116,0.0036096589494647746,3.931,4.137,-0.037,-0.243,0.0,0.0001,0.0721,0.069,0.2672,0.6379,1.874,-1.39,0.16315,False
,Hunter,161,0.005009957679860592,3.988,4.137,-0.037,-0.187,0.0,0.0002,0.0677,0.0994,0.2671,0.6335,1.987,-1.19,0.23465,False
,Caustic,1701,0.05293129200896191,4.127,4.14,-0.034,-0.047,0.0,0.0018,0.0197,0.0876,0.2622,0.5855,2.029,-0.93,0.34992,False
,Hunter,49,0.0015247697286532237,3.796,4.147,-0.027,-0.378,0.0,0.0,0.1077,0.1224,0.3469,0.6735,2.109,-1.25,0.20957,False
