group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Gnar Small,4394,0.13673139158576053,3.348,3.454,-0.72,-0.826,-0.764,0.0985,0.1702,0.1932,0.4087,0.736,1.931,-26.28,0.0,True
pepite,Kennen,5135,0.159789644012945,3.63,3.69,-0.484,-0.545,-0.484,0.0773,0.1,0.171,0.3673,0.6658,2.048,-17.62,0.0,True
populaire,Rammus,18331,0.5704194672641275,3.676,3.693,-0.482,-0.498,-0.461,0.2747,0.1065,0.1475,0.3552,0.6724,2.032,-26.14,0.0,True
pepite,Ivern,3442,0.10710729400049789,3.604,3.694,-0.48,-0.57,-0.496,0.0514,0.0943,0.1938,0.3899,0.6601,2.109,-15.07,0.0,True
populaire,Alune,5725,0.17814911625591237,3.657,3.709,-0.465,-0.517,-0.46,0.0829,0.0979,0.1645,0.3544,0.6638,2.014,-17.77,0.0,True
pepite,Lux Base,2735,0.08510704505850136,3.614,3.721,-0.454,-0.56,-0.478,0.0386,0.0898,0.2,0.3835,0.6556,2.122,-13.26,0.0,True
pepite,Teemo,2263,0.07041946726412746,3.636,3.755,-0.419,-0.538,-0.458,0.0295,0.1417,0.1105,0.3213,0.7075,1.865,-13.16,0.0,True
populaire,Soraka,14229,0.4427744585511576,3.744,3.763,-0.411,-0.43,-0.389,0.1821,0.0848,0.1521,0.3426,0.6506,2.058,-20.59,0.0,True
pepite,Kobuko,3734,0.11619367687328852,3.725,3.791,-0.383,-0.449,-0.383,0.0445,0.1112,0.1192,0.3206,0.677,1.938,-13.27,0.0,True
populaire,Cassiopeia,15685,0.48808190191685336,3.791,3.806,-0.368,-0.383,-0.343,0.1796,0.0788,0.1424,0.3443,0.6446,2.088,-18.78,0.0,True
,Taric,3242,0.10088374408762758,3.81,3.871,-0.304,-0.364,-0.288,0.0306,0.064,0.1576,0.3399,0.6299,2.098,-9.41,0.0,True
populaire,Ahri,7251,0.22563480209111278,3.906,3.928,-0.247,-0.268,-0.216,0.0556,0.0515,0.1353,0.3008,0.6173,2.033,-10.09,0.0,True
,Rengar,2865,0.08915235250186707,3.901,3.951,-0.224,-0.274,-0.198,0.0199,0.0618,0.1148,0.2911,0.6276,1.971,-7.08,0.0,True
,Malphite,3173,0.09873661936768732,3.912,3.956,-0.218,-0.262,-0.186,0.0215,0.0532,0.1447,0.3101,0.619,2.091,-6.73,0.0,True
,Sett,3855,0.11995892457057505,3.935,3.97,-0.205,-0.239,-0.171,0.0246,0.0521,0.1297,0.2936,0.6179,2.027,-6.88,0.0,True
,Ezreal,4261,0.13259273089370177,3.955,3.984,-0.19,-0.219,-0.153,0.0252,0.0369,0.141,0.2931,0.6027,2.055,-6.52,0.0,True
,Ashe,1568,0.04879263131690316,3.946,4.013,-0.162,-0.228,-0.123,0.0079,0.0483,0.1327,0.2985,0.6142,2.061,-4.27,2e-05,True
,Zyra,2611,0.08124844411252179,3.975,4.014,-0.16,-0.199,-0.116,0.013,0.0363,0.1264,0.2995,0.6021,2.085,-4.69,0.0,True
