group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Edge Of Night + Steraks Gage + Titans Resolve,305,0.007779223097916188,2.79,3.086,-0.115,-0.41,-0.222,0.0009,0.09,0.2787,0.5115,0.8393,1.674,-4.26,2e-05,True
populaire,Bloodthirster + Quicksilver + Steraks Gage,409,0.010431810646058103,2.968,3.121,-0.08,-0.232,-0.057,0.0008,0.0649,0.2323,0.489,0.8142,1.801,-2.59,0.00947,True
pepite,Deathblade + Steraks Gage + Titans Resolve,79,0.0020149463106077996,2.367,3.124,-0.076,-0.834,-0.5,0.0002,0.1241,0.3671,0.6582,0.8734,1.511,-4.9,0.0,True
pepite,Emblem Blossom + Bloodthirster + Steraks Gage,131,0.0033412400846787563,2.679,3.126,-0.075,-0.521,-0.191,0.0002,0.0522,0.3893,0.6107,0.8015,1.927,-3.09,0.002,True
pepite,Edge Of Night + Quicksilver + Steraks Gage,102,0.0026015762491391845,2.578,3.129,-0.072,-0.622,-0.327,0.0002,0.1232,0.2549,0.5882,0.8725,1.517,-4.13,4e-05,True
pepite,Giant Slayer + Steraks Gage + Titans Resolve,96,0.002448542352130997,2.635,3.139,-0.062,-0.565,-0.232,0.0002,0.1048,0.2917,0.5938,0.8542,1.665,-3.32,0.0009,True
pepite,Edge Of Night + Giant Slayer + Steraks Gage,70,0.0017853954650955187,2.571,3.149,-0.052,-0.629,-0.246,0.0001,0.1078,0.3143,0.6143,0.8571,1.635,-3.22,0.0013,True
pepite,Bloodthirster + Bloodthirster + Steraks Gage,46,0.0011732598770627695,2.283,3.15,-0.051,-0.918,-0.48,0.0001,0.142,0.3696,0.7174,0.8913,1.513,-4.11,4e-05,True
,Bloodthirster + Steraks Gage + Steraks Gage,137,0.0034942739816869435,2.905,3.157,-0.044,-0.296,0.0,0.0002,0.0536,0.2847,0.5109,0.8029,1.796,-1.92,0.05454,False
,Emblem Blossom + Bloodthirster + Titans Resolve,117,0.0029841609916596524,2.872,3.158,-0.043,-0.329,0.0,0.0001,0.037,0.3504,0.5214,0.7863,1.959,-1.81,0.06983,False
,Edge Of Night + Hand Of Justice + Quicksilver,95,0.0024230367026296324,2.832,3.161,-0.04,-0.369,-0.015,0.0001,0.0822,0.2842,0.5053,0.8316,1.757,-2.04,0.04092,False
,Deathblade + Edge Of Night + Steraks Gage,44,0.0011222485780600403,2.455,3.161,-0.04,-0.746,-0.272,0.0,0.1143,0.3636,0.6136,0.8636,1.602,-3.09,0.00202,True
,Steraks Gage + Titans Resolve + Titans Resolve,61,0.0015558446195832376,2.656,3.161,-0.039,-0.545,-0.138,0.0001,0.1195,0.2459,0.5738,0.8689,1.618,-2.63,0.00862,True
,Emblem Blossom + Steraks Gage + Titans Resolve,60,0.0015303389700818731,2.65,3.162,-0.039,-0.551,-0.08,0.0001,0.1007,0.3333,0.6167,0.85,1.86,-2.29,0.02197,False
,Bloodthirster + Giant Slayer + Steraks Gage,208,0.005305175096283827,3.019,3.163,-0.038,-0.181,0.0,0.0002,0.0536,0.1971,0.4712,0.8029,1.684,-1.55,0.12156,False
,Quicksilver + Steraks Gage + Titans Resolve,113,0.0028821383936541945,2.903,3.163,-0.038,-0.298,0.0,0.0001,0.0294,0.2566,0.531,0.7788,1.795,-1.76,0.07803,False
,Bloodthirster + Edge Of Night + Strikers Flail,40,0.001020225980054582,2.425,3.163,-0.038,-0.776,-0.36,0.0,0.1757,0.275,0.675,0.925,1.34,-3.66,0.00025,True
,Bloodthirster + Deathblade + Edge Of Night,77,0.0019639350116050706,2.792,3.164,-0.037,-0.408,-0.013,0.0001,0.0818,0.2727,0.5325,0.8312,1.768,-2.02,0.04288,False
,Bloodthirster + Evenshroud + Steraks Gage,42,0.0010712372790573112,2.524,3.166,-0.034,-0.677,-0.223,0.0,0.084,0.2619,0.6429,0.8333,1.5,-2.92,0.00348,True
,Emblem Executioner + Bloodthirster + Steraks Gage,72,0.0018364067640982478,2.819,3.169,-0.032,-0.381,0.0,0.0001,0.0284,0.3611,0.5139,0.7778,1.91,-1.69,0.09065,False
,Emblem Hunter + Bloodthirster + Titans Resolve,72,0.0018364067640982478,2.819,3.169,-0.032,-0.381,0.0,0.0001,0.0979,0.3056,0.5278,0.8472,1.858,-1.74,0.08206,False
,Hand Of Justice + Quicksilver + Steraks Gage,131,0.0033412400846787563,2.992,3.171,-0.03,-0.208,0.0,0.0001,0.0904,0.2214,0.4809,0.8397,1.776,-1.34,0.18024,False
,Deathblade + Hand Of Justice + Steraks Gage,66,0.0016833728670900604,2.818,3.171,-0.03,-0.382,0.0,0.0,0.0385,0.3333,0.5758,0.7879,1.938,-1.6,0.10911,False
,Emblem Hunter + Steraks Gage + Titans Resolve,51,0.0013007881245695923,2.706,3.17,-0.03,-0.495,-0.017,0.0,0.0938,0.3137,0.549,0.8431,1.741,-2.03,0.04257,False
,Bloodthirster + Steraks Gage + Strikers Flail,67,0.001708878516591425,2.836,3.172,-0.029,-0.365,0.0,0.0,0.0566,0.2537,0.5672,0.806,1.792,-1.66,0.09598,False
,Edge Of Night + Giant Slayer + Titans Resolve,59,0.0015048333205805087,2.78,3.171,-0.029,-0.421,0.0,0.0,0.0303,0.339,0.5085,0.7797,1.728,-1.87,0.06151,False
,Edge Of Night + Quicksilver + Titans Resolve,59,0.0015048333205805087,2.78,3.171,-0.029,-0.421,0.0,0.0,0.0981,0.2373,0.5424,0.8475,1.698,-1.9,0.05712,False
,Steraks Gage + Steraks Gage + Titans Resolve,75,0.0019129237126023415,2.88,3.173,-0.028,-0.321,0.0,0.0001,0.024,0.32,0.48,0.7733,1.751,-1.58,0.11315,False
populaire,Bloodthirster + Edge Of Night + Titans Resolve,530,0.013517994235723212,3.134,3.174,-0.027,-0.067,0.0,0.0004,0.0129,0.2453,0.4679,0.7623,1.949,-0.78,0.4339,False
,Bloodthirster + Giant Slayer + Quicksilver,64,0.0016323615680873314,2.844,3.174,-0.027,-0.357,0.0,0.0,0.0788,0.25,0.5156,0.8281,1.698,-1.68,0.09293,False
,Edge Of Night + Infinity Edge + Steraks Gage,58,0.001479327671079144,2.81,3.174,-0.027,-0.39,0.0,0.0,0.0955,0.2931,0.5172,0.8448,1.707,-1.74,0.08183,False
,Bloodthirster + Edge Of Night + Quicksilver,156,0.00397888132221287,3.045,3.175,-0.026,-0.156,0.0,0.0001,0.0135,0.3526,0.4423,0.7628,1.943,-1.0,0.31748,False
,Emblem Blossom + Bloodthirster + Edge Of Night,55,0.0014028107225750504,2.8,3.174,-0.026,-0.401,0.0,0.0,0.0325,0.3636,0.5091,0.7818,1.833,-1.62,0.10529,False
,Bloodthirster + Steraks Gage + Warmogs Armor,46,0.0011732598770627695,2.739,3.175,-0.026,-0.462,0.0,0.0,0.0985,0.3043,0.6087,0.8478,1.835,-1.7,0.08822,False
populaire,Bloodthirster + Edge Of Night + Steraks Gage,596,0.015201367102813274,3.143,3.176,-0.025,-0.058,0.0,0.0004,-0.001,0.2416,0.4681,0.7483,1.888,-0.74,0.45659,False
,Bloodthirster + Deathblade + Steraks Gage,124,0.0031627005381692046,3.016,3.175,-0.025,-0.185,0.0,0.0001,0.0329,0.2258,0.5242,0.7823,1.926,-1.07,0.2868,False
,Bloodthirster + Hand Of Justice + Quicksilver,130,0.003315734435177392,3.031,3.176,-0.024,-0.17,0.0,0.0001,0.0353,0.2077,0.5231,0.7846,1.869,-1.03,0.30076,False
,Bloodthirster + Deathblade + Titans Resolve,127,0.003239217486673298,3.031,3.177,-0.024,-0.169,0.0,0.0001,0.0459,0.2441,0.4882,0.7953,1.919,-0.99,0.32141,False
,Infinity Edge + Steraks Gage + Titans Resolve,105,0.002678093197643278,3.01,3.178,-0.023,-0.191,0.0,0.0001,0.0221,0.2667,0.5143,0.7714,1.983,-0.99,0.324,False
,Hextech Gunblade + Steraks Gage + Titans Resolve,58,0.001479327671079144,2.862,3.177,-0.023,-0.339,0.0,0.0,0.0438,0.2759,0.5517,0.7931,1.805,-1.43,0.1534,False
,Bloodthirster + Deathblade + Giant Slayer,44,0.0011222485780600403,2.773,3.178,-0.023,-0.428,0.0,0.0,0.0689,0.2727,0.5455,0.8182,1.717,-1.65,0.09854,False
,Hand Of Justice + Infinity Edge + Titans Resolve,77,0.0019639350116050706,2.974,3.18,-0.02,-0.227,0.0,0.0,0.0818,0.2338,0.4545,0.8312,1.713,-1.16,0.24627,False
,Bloodthirster + Deathblade + Hand Of Justice,56,0.0014283163720764148,2.911,3.181,-0.019,-0.29,0.0,0.0,0.0721,0.25,0.4821,0.8214,1.806,-1.2,0.22986,False
,Bloodthirster + Red Buff + Steraks Gage,49,0.001249776825566863,2.918,3.184,-0.017,-0.282,0.0,0.0,0.0466,0.2653,0.551,0.7959,1.926,-1.03,0.30509,False
,Bloodthirster + Titans Resolve + Titans Resolve,110,0.0028056214451501007,3.073,3.185,-0.016,-0.128,0.0,0.0,0.0416,0.2455,0.5,0.7909,1.985,-0.68,0.49966,False
,Bloodthirster + Bloodthirster + Titans Resolve,62,0.0015813502690846023,2.984,3.185,-0.016,-0.217,0.0,0.0,0.041,0.2581,0.4355,0.7903,1.651,-1.03,0.30169,False
,Infinity Force + Bloodthirster + Titans Resolve,50,0.0012752824750682276,2.94,3.185,-0.016,-0.261,0.0,0.0,0.0107,0.28,0.52,0.76,1.793,-1.03,0.30445,False
,Hand Of Justice + Last Whisper + Steraks Gage,45,0.0011477542275614048,2.911,3.185,-0.016,-0.29,0.0,0.0,0.0729,0.2444,0.4889,0.8222,1.774,-1.09,0.27394,False
,Giant Slayer + Hand Of Justice + Titans Resolve,81,0.002065957609610529,3.037,3.185,-0.015,-0.164,0.0,0.0,0.0284,0.2469,0.5062,0.7778,1.914,-0.77,0.44228,False
populaire,Bloodthirster + Quicksilver + Titans Resolve,271,0.006912031014869794,3.148,3.187,-0.014,-0.053,0.0,0.0001,0.0145,0.2325,0.4649,0.7638,1.906,-0.46,0.6479,False
,Bloodthirster + Infinity Edge + Quicksilver,62,0.0015813502690846023,3.016,3.187,-0.014,-0.185,0.0,0.0,0.0249,0.2903,0.4355,0.7742,1.853,-0.78,0.43348,False
,Bloodthirster + Edge Of Night + Giant Slayer,145,0.00369831917769786,3.117,3.188,-0.013,-0.083,0.0,0.0,0.0507,0.1724,0.4759,0.8,1.806,-0.55,0.57894,False
,Hand Of Justice + Strikers Flail + Titans Resolve,54,0.0013773050730736859,3.0,3.188,-0.013,-0.201,0.0,0.0,0.084,0.2593,0.4259,0.8333,1.753,-0.84,0.40075,False
,Bloodthirster + Giant Slayer + Infinity Edge,54,0.0013773050730736859,3.037,3.19,-0.011,-0.164,0.0,0.0,-0.0456,0.3148,0.5185,0.7037,1.924,-0.62,0.53235,False
,Edge Of Night + Giant Slayer + Hand Of Justice,65,0.001657867217588696,3.077,3.191,-0.009,-0.124,0.0,0.0,0.0353,0.2615,0.4923,0.7846,1.94,-0.51,0.6074,False
,Hand Of Justice + Infinity Edge + Steraks Gage,91,0.002321014104624174,3.121,3.192,-0.008,-0.08,0.0,0.0,0.0309,0.2308,0.4615,0.7802,1.898,-0.4,0.68875,False
,Bloodthirster + Hand Of Justice + Last Whisper,43,0.0010967429285586756,3.047,3.193,-0.008,-0.154,0.0,0.0,-0.0051,0.3023,0.5116,0.7442,1.976,-0.51,0.60918,False
,Hand Of Justice + Quicksilver + Titans Resolve,90,0.0022955084551228096,3.133,3.194,-0.007,-0.067,0.0,0.0,0.0284,0.2111,0.4778,0.7778,1.899,-0.34,0.73688,False
,Guinsoos Rageblade + Steraks Gage + Titans Resolve,70,0.0017853954650955187,3.114,3.194,-0.007,-0.086,0.0,0.0,-0.0208,0.2571,0.4857,0.7286,1.953,-0.37,0.71167,False
