group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Blossom,775,0.021553522262702674,2.801,2.992,-0.206,-0.397,-0.264,0.0044,0.0578,0.3329,0.5471,0.8077,1.866,-5.85,0.0,True
populaire,Quicksilver,2683,0.07461690352365326,2.964,3.013,-0.185,-0.234,-0.162,0.0138,0.0491,0.259,0.4994,0.7991,1.837,-6.35,0.0,True
populaire,Edge Of Night,4695,0.13057262841727618,3.016,3.04,-0.158,-0.182,-0.125,0.0206,0.0332,0.2569,0.4884,0.7832,1.861,-6.28,0.0,True
pepite,Emblem Hunter,490,0.01362738826932169,2.863,3.062,-0.136,-0.335,-0.173,0.0018,0.0643,0.3061,0.5082,0.8143,1.814,-4.06,5e-05,True
populaire,Steraks Gage,10020,0.2786661846093946,3.059,3.068,-0.13,-0.139,-0.097,0.0361,0.0194,0.2532,0.4827,0.7694,1.886,-6.49,0.0,True
pepite,Strikers Flail,898,0.0249742748282671,2.977,3.075,-0.123,-0.221,-0.102,0.0031,0.0462,0.2405,0.4955,0.7962,1.798,-3.64,0.00027,True
pepite,Evenshroud,228,0.006340907194704786,2.693,3.076,-0.122,-0.505,-0.289,0.0008,0.0746,0.2939,0.557,0.8246,1.655,-4.59,0.0,True
populaire,Giant Slayer,2137,0.05943209945212337,3.043,3.082,-0.116,-0.155,-0.076,0.0069,0.0371,0.2176,0.4782,0.7871,1.794,-3.86,0.00011,True
pepite,Emblem Executioner,433,0.012042161470645494,2.891,3.083,-0.115,-0.307,-0.122,0.0014,0.0329,0.321,0.5312,0.7829,1.944,-3.26,0.0011,True
pepite,Hextech Gunblade,579,0.016102566954973998,2.984,3.103,-0.095,-0.214,-0.065,0.0015,0.0272,0.2401,0.5181,0.7772,1.804,-2.82,0.00476,True
,Emblem Fae,173,0.004811302388964597,2.769,3.115,-0.083,-0.429,-0.151,0.0004,0.0824,0.341,0.5434,0.8324,1.86,-3.03,0.00247,True
,Sunfire Cape,282,0.007842701003976972,2.943,3.126,-0.072,-0.255,-0.046,0.0006,0.0727,0.2411,0.4929,0.8227,1.778,-2.4,0.01657,True
,Steadfast Heart,99,0.0027532886503323414,2.727,3.141,-0.057,-0.471,-0.143,0.0002,0.0783,0.2929,0.5455,0.8283,1.663,-2.81,0.00492,True
populaire,Deathblade,1422,0.039547236977500906,3.114,3.142,-0.056,-0.084,0.0,0.0022,0.0173,0.2307,0.4789,0.7672,1.916,-1.62,0.10445,False
populaire,Titans Resolve,9075,0.2523847929471313,3.146,3.15,-0.048,-0.052,-0.008,0.0121,0.0051,0.2415,0.463,0.755,1.919,-2.3,0.0216,True
,Tacticians Crown,42,0.0011680618516561449,2.333,3.15,-0.048,-0.865,-0.346,0.0001,0.1072,0.5238,0.619,0.8571,1.714,-3.27,0.00108,True
,Emblem Primal,96,0.0026698556609283312,2.917,3.165,-0.033,-0.281,0.0,0.0001,0.0521,0.2708,0.4896,0.8021,1.783,-1.54,0.12268,False
,Adaptive Helm,113,0.0031426426008843897,3.018,3.174,-0.024,-0.18,0.0,0.0001,0.0111,0.2478,0.5044,0.7611,1.843,-1.04,0.2991,False
,Emblem Juggernaut,59,0.0016408487916122034,2.881,3.174,-0.024,-0.317,0.0,0.0,0.0466,0.3051,0.5424,0.7966,1.914,-1.27,0.20413,False
,Infinity Force,201,0.005590010290068693,3.134,3.184,-0.014,-0.064,0.0,0.0001,-0.0137,0.2488,0.4826,0.7363,1.962,-0.46,0.6459,False
,Protectors Vow,90,0.0025029896821203105,3.078,3.185,-0.013,-0.12,0.0,0.0,0.0389,0.2333,0.4556,0.7889,1.821,-0.63,0.53145,False
,Emblem Defender,118,0.003281697583224407,3.11,3.186,-0.012,-0.088,0.0,0.0,-0.0042,0.2542,0.5,0.7458,2.008,-0.47,0.63485,False
populaire,Bloodthirster,12432,0.3457463080902189,3.186,3.187,-0.011,-0.012,0.0,0.0039,-0.0013,0.2369,0.4555,0.7486,1.933,-0.59,0.55532,False
,Mittens,73,0.0020302027421642515,3.137,3.192,-0.006,-0.061,0.0,0.0,0.0582,0.2192,0.4247,0.8082,1.754,-0.3,0.76635,False
,Emblem Vanguard,64,0.0017799037739522207,3.125,3.192,-0.006,-0.073,0.0,0.0,-0.0156,0.2812,0.4531,0.7344,1.965,-0.3,0.76624,False
,Dragons Claw,105,0.002920154629140362,3.152,3.192,-0.006,-0.046,0.0,0.0,-0.0166,0.2286,0.4762,0.7333,1.946,-0.24,0.81013,False
populaire,Hand Of Justice,5339,0.1484829101426704,3.198,3.198,0.0,0.0,0.0,-0.0,0.0039,0.2203,0.4525,0.7539,1.916,0.0,0.99732,False
,Warmogs Armor,363,0.010095391717885252,3.201,3.199,0.001,0.003,0.0,-0.0,0.0076,0.2259,0.4408,0.7576,1.92,0.03,0.97612,False
,Red Buff,394,0.010957532608393359,3.203,3.2,0.002,0.005,0.0,-0.0,-0.0114,0.2259,0.4442,0.7386,1.87,0.05,0.95812,False
,Component Negatron Cloak,46,0.0012793058375281587,3.239,3.201,0.002,0.041,0.0,-0.0,-0.0543,0.2174,0.5,0.6957,2.045,0.14,0.89174,False
,Emblem Rapidfire,51,0.001418360819868176,3.314,3.206,0.008,0.116,0.0,-0.0,-0.0441,0.2549,0.451,0.7059,2.11,0.39,0.69559,False
,Component Sparring Gloves,50,0.0013905498234001725,3.36,3.209,0.011,0.162,0.0,-0.0,-0.05,0.28,0.44,0.7,2.066,0.55,0.57975,False
,Bramble Vest,55,0.0015296048057401896,3.582,3.225,0.027,0.384,0.0,-0.0,-0.0409,0.1273,0.2909,0.7091,1.734,1.64,0.10108,False
,Titanic Hydra,180,0.005005979364240621,3.344,3.227,0.029,0.146,0.0,-0.0001,-0.0444,0.2278,0.3944,0.7056,1.919,1.02,0.30728,False
,Emblem Slayer,128,0.0035598075479044413,3.414,3.231,0.033,0.216,0.0,-0.0001,-0.0547,0.2031,0.3438,0.6953,1.856,1.31,0.18887,False
,Emblem Inferno,71,0.0019745807492282446,3.592,3.233,0.035,0.393,0.0,-0.0001,-0.0739,0.2254,0.4085,0.6761,2.198,1.51,0.13182,False
,Emblem Blackthorn,131,0.003643240537308452,3.504,3.245,0.047,0.306,0.0,-0.0002,-0.0706,0.1832,0.4122,0.6794,2.001,1.75,0.0809,False
,Component Giants Belt,60,0.0016686597880802068,3.917,3.253,0.055,0.719,0.154,-0.0001,-0.1666,0.1833,0.3667,0.5833,2.231,2.49,0.01264,True
,Spirit Visage,167,0.004644436410156576,3.527,3.26,0.062,0.329,0.029,-0.0003,-0.0554,0.1856,0.3713,0.6946,1.975,2.15,0.03181,True
,Hellfire Hatchet,178,0.004950357371304614,3.517,3.261,0.063,0.319,0.057,-0.0003,-0.0253,0.1573,0.3146,0.7247,1.774,2.39,0.01685,True
,Spear Of Shojin,49,0.001362738826932169,4.245,3.265,0.067,1.047,0.474,-0.0001,-0.199,0.0816,0.3061,0.551,2.046,3.58,0.00034,True
,Deaths Defiance,132,0.003671051533776455,3.689,3.274,0.076,0.491,0.146,-0.0003,-0.0985,0.1667,0.3485,0.6515,2.023,2.79,0.00534,True
,Krakens Fury,355,0.009872903746141224,3.459,3.284,0.086,0.261,0.049,-0.0009,-0.0486,0.2028,0.4028,0.7014,2.032,2.41,0.01596,True
,Component B F Sword,272,0.007564591039296938,3.603,3.309,0.111,0.405,0.151,-0.0008,-0.0919,0.2132,0.3934,0.6581,2.133,3.12,0.0018,True
,Component Chain Vest,65,0.0018077147704202241,4.538,3.309,0.111,1.34,0.821,-0.0002,-0.2577,0.0923,0.2,0.4923,2.135,5.06,0.0,True
,Last Whisper,1078,0.029980254192507716,3.391,3.314,0.115,0.192,0.072,-0.0035,-0.0431,0.2059,0.4156,0.7069,1.986,3.14,0.0017,True
,Gargoyle Stoneplate,256,0.007119615095808883,3.637,3.313,0.115,0.439,0.189,-0.0008,-0.0703,0.1602,0.3594,0.6797,2.032,3.44,0.00058,True
,Component Recurve Bow,112,0.003114831604416386,4.071,3.316,0.118,0.873,0.483,-0.0004,-0.1786,0.1161,0.3036,0.5714,2.107,4.38,1e-05,True
populaire,Infinity Edge,2265,0.06299190700002781,3.415,3.363,0.165,0.217,0.132,-0.0104,-0.0396,0.2097,0.4102,0.7104,2.015,4.98,0.0,True
populaire,Guinsoos Rageblade,1675,0.04658341908390578,3.643,3.509,0.311,0.445,0.344,-0.0145,-0.0759,0.169,0.3666,0.674,2.062,8.66,0.0,True
