group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Zhonyas Paradox,90,0.0022955084551228096,3.022,3.182,-0.018,-0.178,0.0,0.0,-0.0049,0.3,0.5222,0.7444,2.011,-0.84,0.40042,False
populaire,Infinity Force,592,0.015099344504807814,3.193,3.197,-0.003,-0.008,0.0,0.0001,-0.0162,0.2466,0.451,0.7331,1.965,-0.1,0.92083,False
,Moguls Mail,43,0.0010967429285586756,3.209,3.201,0.0,0.009,0.0,-0.0,-0.0051,0.1395,0.4651,0.7442,1.746,0.03,0.97411,False
,Wits End,103,0.002627081898640549,3.272,3.209,0.008,0.071,0.0,-0.0,-0.0018,0.1942,0.4466,0.7476,1.937,0.37,0.70948,False
populaire,Titanic Hydra,502,0.012803836049685005,3.235,3.214,0.013,0.034,0.0,-0.0002,-0.0183,0.241,0.4442,0.7311,1.947,0.39,0.69392,False
populaire,Horizon Focus,159,0.004055398270716964,3.296,3.217,0.016,0.095,0.0,-0.0001,-0.0512,0.2767,0.4591,0.6981,2.073,0.58,0.56422,False
,Gamblers Blade,54,0.0013773050730736859,3.556,3.224,0.023,0.355,0.0,-0.0,-0.0641,0.1481,0.3519,0.6852,1.902,1.37,0.1706,False
populaire,Mittens,351,0.008952482974978958,3.387,3.258,0.058,0.187,0.0,-0.0005,-0.0285,0.2365,0.4103,0.7208,2.033,1.71,0.08647,False
,Gold Collector,61,0.0015558446195832376,4.033,3.261,0.06,0.832,0.312,-0.0001,-0.1428,0.1475,0.2787,0.6066,2.072,3.13,0.00172,True
populaire,Seekers Armguard,140,0.0035707909301910374,3.6,3.261,0.06,0.399,0.054,-0.0002,-0.0779,0.1857,0.4,0.6714,2.08,2.27,0.02331,True
,Fishbones,78,0.001989440661106435,3.91,3.265,0.064,0.71,0.277,-0.0001,-0.1468,0.1538,0.2821,0.6026,1.949,3.21,0.00132,True
populaire,Artifact Talisman Of Ascension,133,0.0033922513836814857,3.692,3.272,0.071,0.491,0.137,-0.0002,-0.0877,0.1353,0.3684,0.6617,2.078,2.72,0.0065,True
,Rapid Fire Cannon,125,0.003188206187670569,3.728,3.273,0.073,0.527,0.175,-0.0002,-0.1013,0.16,0.336,0.648,2.009,2.93,0.00339,True
,Navori Flickerblade,82,0.0020914632591118934,4.0,3.276,0.076,0.799,0.342,-0.0002,-0.1518,0.1463,0.2927,0.5976,2.113,3.42,0.00062,True
populaire,Silvermere Dawn,161,0.0041064095697196925,3.689,3.284,0.083,0.489,0.164,-0.0003,-0.1158,0.1739,0.3727,0.6335,2.101,2.95,0.00321,True
populaire,Hullcrusher,242,0.0061723671793302215,3.661,3.309,0.109,0.461,0.198,-0.0007,-0.1006,0.1777,0.3595,0.6488,2.077,3.44,0.00058,True
populaire,Hellfire Hatchet,510,0.01300788124569592,3.618,3.365,0.164,0.417,0.242,-0.0021,-0.0631,0.1882,0.3353,0.6863,2.005,4.67,0.0,True
populaire,Deaths Defiance,481,0.01226821741015635,3.726,3.4,0.2,0.525,0.342,-0.0024,-0.082,0.158,0.3326,0.6674,2.032,5.63,0.0,True
