group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Evenshroud,1007,0.028005673443279474,2.865,3.004,-0.194,-0.333,-0.224,0.0054,0.0683,0.2671,0.5144,0.8183,1.74,-5.97,0.0,True
populaire,Quicksilver,4003,0.11132741886141781,3.012,3.04,-0.158,-0.186,-0.125,0.0176,0.0382,0.2513,0.4879,0.7882,1.85,-6.01,0.0,True
populaire,Edge Of Night,6514,0.18116083099257446,3.028,3.045,-0.153,-0.17,-0.121,0.0278,0.0303,0.2545,0.4886,0.7803,1.87,-6.72,0.0,True
pepite,Hextech Gunblade,1534,0.04266206858191729,2.989,3.056,-0.142,-0.209,-0.118,0.0061,0.0479,0.2243,0.5039,0.7979,1.779,-4.49,1e-05,True
pepite,Ionic Spark,633,0.017604360764246183,2.894,3.056,-0.142,-0.304,-0.173,0.0025,0.0668,0.2322,0.5008,0.8167,1.658,-4.56,1e-05,True
populaire,Steraks Gage,12599,0.35039074450037544,3.067,3.074,-0.124,-0.131,-0.093,0.0435,0.02,0.2511,0.4801,0.77,1.885,-6.68,0.0,True
pepite,Sunfire Cape,1105,0.030731151097143812,3.005,3.081,-0.117,-0.194,-0.085,0.0036,0.0383,0.2443,0.4932,0.7882,1.804,-3.5,0.00046,True
pepite,Steadfast Heart,738,0.020524515393386546,2.986,3.091,-0.107,-0.212,-0.083,0.0022,0.0386,0.2439,0.4851,0.7886,1.761,-3.22,0.00126,True
pepite,Protectors Vow,729,0.020274216425174515,2.999,3.098,-0.1,-0.199,-0.065,0.002,0.0429,0.2428,0.4938,0.7929,1.825,-2.92,0.00353,True
,Strikers Flail,1737,0.04830770086492199,3.072,3.109,-0.089,-0.126,-0.037,0.0043,0.0313,0.2228,0.4807,0.7812,1.839,-2.78,0.00536,True
populaire,Giant Slayer,3580,0.09956336735545235,3.095,3.112,-0.086,-0.103,-0.04,0.0086,0.0277,0.2218,0.4662,0.7777,1.836,-3.2,0.00138,True
,Warmogs Armor,1334,0.0370998692883166,3.102,3.136,-0.062,-0.096,0.0,0.0023,0.0146,0.2369,0.464,0.7646,1.85,-1.86,0.06283,False
,Tacticians Cape,52,0.0014461718163361794,2.654,3.161,-0.037,-0.544,-0.033,0.0001,0.0385,0.4423,0.5769,0.7885,1.88,-2.09,0.03698,True
,Crownguard,388,0.010790666629585338,3.095,3.162,-0.036,-0.103,0.0,0.0004,0.0335,0.1985,0.4613,0.7835,1.76,-1.14,0.25332,False
populaire,Titans Resolve,11208,0.31170564841338266,3.172,3.174,-0.024,-0.026,0.0,0.0076,0.0014,0.2362,0.457,0.7514,1.923,-1.24,0.21561,False
,Tacticians Crown,268,0.007453347053424924,3.127,3.179,-0.019,-0.071,0.0,0.0001,0.0149,0.2351,0.4142,0.7649,1.776,-0.65,0.51354,False
,Adaptive Helm,780,0.02169257724504269,3.167,3.182,-0.016,-0.031,0.0,0.0004,0.0103,0.209,0.4423,0.7603,1.832,-0.47,0.63619,False
populaire,Deathblade,2557,0.07111271796868482,3.178,3.182,-0.016,-0.02,0.0,0.0011,0.0075,0.2182,0.4685,0.7575,1.936,-0.51,0.61148,False
