group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Blossom,1807,0.050254470617682234,2.951,3.021,-0.177,-0.247,-0.157,0.0089,0.0336,0.3082,0.5113,0.7836,1.914,-5.36,0.0,True
populaire,Emblem Fae,590,0.016408487916122035,2.864,3.048,-0.15,-0.334,-0.181,0.0025,0.0585,0.3034,0.5305,0.8085,1.875,-4.28,2e-05,True
populaire,Emblem Hunter,1166,0.03242762188169202,2.995,3.072,-0.126,-0.203,-0.094,0.0041,0.0382,0.2727,0.4889,0.7882,1.863,-3.66,0.00025,True
pepite,Emblem Juggernaut,386,0.010735044636649331,2.894,3.092,-0.106,-0.304,-0.117,0.0011,0.0479,0.3005,0.5233,0.7979,1.864,-3.19,0.00142,True
populaire,Emblem Executioner,1098,0.030536474121867788,3.044,3.105,-0.093,-0.154,-0.034,0.0028,0.0105,0.2987,0.5046,0.7605,2.0,-2.52,0.01166,True
populaire,Emblem Defender,553,0.015379481046805907,3.0,3.112,-0.086,-0.198,-0.041,0.0013,0.0366,0.2532,0.5009,0.7866,1.871,-2.47,0.01354,True
populaire,Emblem Vanguard,414,0.011513752537753427,2.988,3.121,-0.077,-0.21,-0.032,0.0009,0.035,0.2633,0.4831,0.785,1.836,-2.31,0.02063,True
populaire,Emblem Primal,413,0.011485941541285424,3.09,3.158,-0.04,-0.108,0.0,0.0005,0.0345,0.2276,0.4673,0.7845,1.845,-1.19,0.23501,False
pepite,Emblem Rapidfire,379,0.010540367661373307,3.087,3.16,-0.038,-0.111,0.0,0.0004,0.0099,0.2586,0.4723,0.7599,1.91,-1.13,0.26036,False
pepite,Emblem Lunar,281,0.007814890007508969,3.157,3.186,-0.012,-0.041,0.0,0.0001,0.0116,0.2491,0.4662,0.7616,1.997,-0.35,0.72866,False
pepite,Emblem Flora Fatalis,208,0.005784687265344718,3.183,3.195,-0.003,-0.015,0.0,0.0,0.0193,0.2404,0.4471,0.7692,1.915,-0.12,0.90809,False
,Emblem Invoker,99,0.0027532886503323414,3.202,3.199,0.0,0.004,0.0,-0.0,0.0278,0.2121,0.4343,0.7778,1.853,0.02,0.9831,False
,Emblem Spellweaver,150,0.004171649470200517,3.207,3.2,0.001,0.009,0.0,-0.0,0.0167,0.26,0.46,0.7667,2.054,0.05,0.95919,False
,Emblem Coven,73,0.0020302027421642515,3.616,3.237,0.039,0.418,0.0,-0.0001,-0.1198,0.2329,0.411,0.6301,2.237,1.6,0.11031,False
,Emblem Flora Fatalis Augment,40,0.001112439858720138,4.025,3.242,0.044,0.827,0.182,-0.0,-0.15,0.125,0.25,0.6,2.08,2.51,0.01194,True
populaire,Emblem Blackthorn,494,0.013738632255193704,3.34,3.256,0.058,0.142,0.0,-0.0008,-0.0354,0.2146,0.4474,0.7146,2.017,1.56,0.11984,False
populaire,Emblem Slayer,538,0.014962316099785855,3.403,3.286,0.088,0.205,0.046,-0.0013,-0.0269,0.1933,0.368,0.723,1.871,2.52,0.01158,True
populaire,Emblem Inferno,439,0.012209027449453513,3.476,3.303,0.105,0.278,0.081,-0.0013,-0.0575,0.2232,0.4077,0.6925,2.094,2.77,0.00566,True
