group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Quicksilver + Steraks Gage,1058,0.026984977172443695,2.89,3.022,-0.178,-0.31,-0.201,0.0048,0.0701,0.258,0.5161,0.8195,1.793,-5.54,0.0,True
pepite,Edge Of Night + Quicksilver,555,0.014155635473257327,2.777,3.025,-0.176,-0.424,-0.279,0.0025,0.0867,0.2955,0.5261,0.836,1.734,-5.71,0.0,True
populaire,Edge Of Night + Steraks Gage,1789,0.04562960695794118,2.965,3.037,-0.164,-0.236,-0.149,0.0075,0.0411,0.2577,0.5008,0.7904,1.818,-5.35,0.0,True
pepite,Giant Slayer + Steraks Gage,742,0.0189251919300125,2.868,3.039,-0.162,-0.333,-0.208,0.0031,0.0701,0.2385,0.5175,0.8194,1.709,-5.24,0.0,True
pepite,Emblem Blossom + Steraks Gage,337,0.008595403881959854,2.733,3.06,-0.141,-0.468,-0.273,0.0012,0.0726,0.3442,0.5608,0.822,1.813,-4.71,0.0,True
populaire,Edge Of Night + Titans Resolve,1406,0.03586094319891856,2.985,3.062,-0.138,-0.216,-0.117,0.005,0.0401,0.2639,0.4893,0.7895,1.852,-4.28,2e-05,True
pepite,Deathblade + Steraks Gage,491,0.012523273905169996,2.845,3.064,-0.137,-0.355,-0.193,0.0017,0.0531,0.279,0.5438,0.8024,1.826,-4.28,2e-05,True
pepite,Emblem Blossom + Titans Resolve,275,0.0070140536128752515,2.691,3.068,-0.132,-0.51,-0.288,0.0009,0.0725,0.3636,0.5818,0.8218,1.869,-4.51,1e-05,True
,Emblem Blossom + Bloodthirster,452,0.011528553574616778,2.847,3.071,-0.129,-0.353,-0.172,0.0015,0.0339,0.3473,0.5487,0.7832,1.952,-3.83,0.00013,True
,Steraks Gage + Strikers Flail,253,0.0064529293238452315,2.704,3.079,-0.121,-0.497,-0.283,0.0008,0.0768,0.2885,0.5889,0.8261,1.734,-4.54,1e-05,True
,Deathblade + Titans Resolve,331,0.008442369984951667,2.849,3.096,-0.104,-0.352,-0.153,0.0009,0.0603,0.2719,0.5438,0.8097,1.838,-3.46,0.00053,True
,Edge Of Night + Giant Slayer,444,0.01132450837860586,2.917,3.098,-0.103,-0.284,-0.115,0.0012,0.0592,0.2568,0.5158,0.8086,1.808,-3.29,0.00101,True
populaire,Steraks Gage + Titans Resolve,4297,0.10959777590736348,3.08,3.098,-0.102,-0.121,-0.061,0.0112,0.0128,0.2581,0.4761,0.7622,1.903,-3.95,8e-05,True
,Emblem Executioner + Steraks Gage,183,0.0046675338587497135,2.683,3.103,-0.098,-0.518,-0.245,0.0005,0.0594,0.377,0.5738,0.8087,1.875,-3.72,0.0002,True
,Quicksilver + Titans Resolve,607,0.015481929247328283,2.985,3.107,-0.094,-0.215,-0.068,0.0015,0.0414,0.2504,0.5041,0.7908,1.844,-2.85,0.00431,True
,Deathblade + Edge Of Night,298,0.007600683551406637,2.862,3.108,-0.093,-0.338,-0.131,0.0007,0.0695,0.2819,0.5101,0.8188,1.817,-3.2,0.00137,True
populaire,Bloodthirster + Quicksilver,1477,0.037671844313515446,3.06,3.109,-0.092,-0.14,-0.043,0.0035,0.03,0.2525,0.4705,0.7793,1.881,-2.81,0.00491,True
,Giant Slayer + Titans Resolve,558,0.01423215242176142,2.982,3.11,-0.091,-0.219,-0.066,0.0013,0.0428,0.2437,0.509,0.7921,1.83,-2.8,0.00511,True
,Steraks Gage + Sunfire Cape,102,0.0026015762491391845,2.412,3.11,-0.091,-0.789,-0.479,0.0002,0.133,0.402,0.6078,0.8824,1.593,-4.99,0.0,True
,Edge Of Night + Strikers Flail,166,0.004233937817226516,2.693,3.112,-0.089,-0.508,-0.261,0.0004,0.082,0.2711,0.5843,0.8313,1.619,-4.03,6e-05,True
,Giant Slayer + Quicksilver,252,0.006427423674343867,2.841,3.113,-0.087,-0.359,-0.149,0.0006,0.0681,0.2659,0.5,0.8175,1.695,-3.35,0.0008,True
,Bloodthirster + Sunfire Cape,83,0.002116968908613258,2.289,3.113,-0.087,-0.911,-0.628,0.0002,0.1904,0.3494,0.6506,0.9398,1.313,-6.31,0.0,True
,Emblem Hunter + Steraks Gage,232,0.005917310684316576,2.836,3.117,-0.083,-0.364,-0.136,0.0005,0.0567,0.3147,0.5,0.806,1.766,-3.13,0.00174,True
,Hand Of Justice + Quicksilver,678,0.017292830361925166,3.028,3.121,-0.08,-0.173,-0.032,0.0014,0.056,0.2316,0.4912,0.8053,1.846,-2.41,0.01585,True
,Emblem Hunter + Hand Of Justice,117,0.0029841609916596524,2.581,3.12,-0.08,-0.619,-0.333,0.0002,0.1396,0.3419,0.547,0.8889,1.576,-4.24,2e-05,True
,Edge Of Night + Hextech Gunblade,144,0.0036728135281964957,2.701,3.123,-0.077,-0.499,-0.214,0.0003,0.084,0.2917,0.6111,0.8333,1.744,-3.43,0.00061,True
,Hextech Gunblade + Quicksilver,102,0.0026015762491391845,2.569,3.128,-0.073,-0.632,-0.294,0.0002,0.0938,0.3333,0.6275,0.8431,1.741,-3.66,0.00025,True
,Emblem Blossom + Edge Of Night,163,0.004157420868722422,2.785,3.129,-0.071,-0.415,-0.131,0.0003,0.0605,0.3252,0.546,0.8098,1.849,-2.86,0.00422,True
,Evenshroud + Steraks Gage,113,0.0028821383936541945,2.637,3.13,-0.071,-0.563,-0.267,0.0002,0.056,0.3009,0.5752,0.8053,1.602,-3.73,0.00019,True
,Evenshroud + Titans Resolve,90,0.0022955084551228096,2.511,3.13,-0.071,-0.69,-0.358,0.0002,0.1062,0.3778,0.5778,0.8556,1.6,-4.08,4e-05,True
,Bloodthirster + Deathblade,627,0.015992042237355574,3.048,3.133,-0.068,-0.153,-0.002,0.0011,0.0385,0.2424,0.4912,0.7879,1.911,-1.99,0.04697,True
,Emblem Hunter + Titans Resolve,168,0.004284949116229245,2.815,3.133,-0.068,-0.385,-0.114,0.0003,0.084,0.2857,0.5357,0.8333,1.788,-2.78,0.00536,True
,Emblem Fae + Steraks Gage,88,0.0022444971561200807,2.534,3.133,-0.067,-0.667,-0.293,0.0002,0.1143,0.375,0.6364,0.8636,1.783,-3.5,0.00046,True
populaire,Hand Of Justice + Steraks Gage,1984,0.05060320861070727,3.111,3.136,-0.064,-0.09,-0.004,0.0033,0.0203,0.2394,0.4693,0.7697,1.9,-2.05,0.04024,True
,Emblem Hunter + Bloodthirster,287,0.007320121406891627,2.965,3.138,-0.063,-0.235,-0.011,0.0005,0.0381,0.3031,0.5017,0.7875,1.932,-2.06,0.03968,True
,Steraks Gage + Warmogs Armor,93,0.0023720254036269034,2.602,3.137,-0.063,-0.599,-0.257,0.0002,0.1109,0.3333,0.5806,0.8602,1.679,-3.43,0.0006,True
populaire,Bloodthirster + Steraks Gage,5912,0.15078939985206724,3.13,3.138,-0.062,-0.071,-0.018,0.0094,0.0063,0.2441,0.4684,0.7556,1.91,-2.65,0.00804,True
,Bloodthirster + Evenshroud,118,0.0030096666411610173,2.729,3.139,-0.062,-0.472,-0.158,0.0002,0.0642,0.3051,0.5763,0.8136,1.735,-2.95,0.0032,True
,Bloodthirster + Krakens Fury,183,0.0046675338587497135,2.885,3.141,-0.06,-0.315,-0.069,0.0003,0.0649,0.2459,0.4918,0.8142,1.693,-2.51,0.01199,True
,Hand Of Justice + Strikers Flail,260,0.006631468870354784,2.965,3.142,-0.059,-0.235,-0.015,0.0004,0.0468,0.2577,0.4923,0.7962,1.805,-2.09,0.03624,True
,Emblem Executioner + Hand Of Justice,126,0.0032137118371719335,2.778,3.142,-0.059,-0.423,-0.085,0.0002,0.0602,0.3571,0.5794,0.8095,1.931,-2.45,0.01411,True
,Bloodthirster + Giant Slayer,996,0.025403626903359094,3.101,3.145,-0.056,-0.099,0.0,0.0014,0.0328,0.2028,0.4588,0.7821,1.788,-1.73,0.08421,False
,Giant Slayer + Hextech Gunblade,118,0.0030096666411610173,2.771,3.144,-0.056,-0.429,-0.119,0.0002,0.0558,0.2881,0.5593,0.8051,1.719,-2.71,0.00676,True
populaire,Bloodthirster + Edge Of Night,2504,0.06386614635141684,3.129,3.146,-0.055,-0.072,0.0,0.0035,0.0119,0.2472,0.4665,0.7612,1.913,-1.83,0.0678,False
,Strikers Flail + Titans Resolve,246,0.00627438977733568,2.976,3.147,-0.054,-0.225,-0.005,0.0003,0.0677,0.2398,0.4634,0.8171,1.751,-2.01,0.04457,True
,Emblem Executioner + Edge Of Night,78,0.001989440661106435,2.603,3.147,-0.054,-0.598,-0.216,0.0001,0.0712,0.3718,0.5641,0.8205,1.72,-3.07,0.00216,True
,Quicksilver + Strikers Flail,121,0.0030861835896651107,2.793,3.146,-0.054,-0.407,-0.116,0.0002,0.0689,0.2397,0.5455,0.8182,1.631,-2.74,0.00613,True
,Emblem Fae + Bloodthirster,111,0.002831127094651465,2.784,3.149,-0.052,-0.417,-0.068,0.0001,0.0795,0.3423,0.5225,0.8288,1.872,-2.34,0.01912,True
,Hextech Gunblade + Titans Resolve,202,0.005152141199275639,2.95,3.149,-0.051,-0.25,0.0,0.0003,0.0229,0.2772,0.5248,0.7723,1.821,-1.95,0.0515,False
,Hextech Gunblade + Steraks Gage,298,0.007600683551406637,3.023,3.152,-0.049,-0.177,0.0,0.0004,0.0225,0.2315,0.4933,0.7718,1.762,-1.73,0.08396,False
,Emblem Primal + Steraks Gage,51,0.0013007881245695923,2.392,3.151,-0.049,-0.808,-0.405,0.0001,0.133,0.3137,0.6471,0.8824,1.47,-3.92,9e-05,True
,Bloodthirster + Strikers Flail,390,0.009947203305532176,3.056,3.153,-0.048,-0.144,0.0,0.0005,0.0378,0.2179,0.4769,0.7872,1.823,-1.55,0.1203,False
,Emblem Blossom + Giant Slayer,64,0.0016323615680873314,2.562,3.152,-0.048,-0.638,-0.232,0.0001,0.0788,0.3438,0.625,0.8281,1.657,-3.08,0.00209,True
,Emblem Hunter + Quicksilver,55,0.0014028107225750504,2.473,3.153,-0.048,-0.728,-0.312,0.0001,0.1234,0.3818,0.5818,0.8727,1.571,-3.43,0.0006,True
,Bloodthirster + Steadfast Heart,57,0.0014538220215777795,2.526,3.155,-0.046,-0.674,-0.261,0.0001,0.1279,0.3509,0.5965,0.8772,1.591,-3.2,0.00139,True
,Bloodthirster + Hextech Gunblade,192,0.004897084704261994,2.984,3.158,-0.043,-0.216,0.0,0.0002,0.0371,0.2396,0.5052,0.7865,1.784,-1.68,0.09389,False
,Infinity Edge + Quicksilver,225,0.005738771137807025,3.013,3.159,-0.042,-0.187,0.0,0.0002,0.0284,0.2933,0.4978,0.7778,1.992,-1.41,0.15953,False
,Emblem Blossom + Quicksilver,58,0.001479327671079144,2.586,3.158,-0.042,-0.614,-0.192,0.0001,0.13,0.3448,0.5862,0.8793,1.64,-2.85,0.00438,True
,Titans Resolve + Warmogs Armor,97,0.0024740480016323617,2.825,3.159,-0.041,-0.376,-0.007,0.0001,0.0548,0.299,0.5464,0.8041,1.85,-2.0,0.04567,True
,Last Whisper + Quicksilver,109,0.0027801157956487362,2.862,3.159,-0.041,-0.338,-0.018,0.0001,0.058,0.2385,0.5138,0.8073,1.705,-2.07,0.03869,True
,Deathblade + Giant Slayer,159,0.004055398270716964,2.969,3.162,-0.039,-0.232,0.0,0.0002,0.0494,0.195,0.5157,0.7987,1.753,-1.67,0.09591,False
,Deathblade + Quicksilver,122,0.003111689239166475,2.91,3.161,-0.039,-0.291,0.0,0.0001,0.0294,0.2951,0.5164,0.7787,1.864,-1.72,0.0854,False
,Emblem Executioner + Titans Resolve,151,0.0038513530747060474,2.967,3.163,-0.038,-0.234,0.0,0.0001,0.0123,0.2914,0.5033,0.7616,1.868,-1.53,0.12485,False
