group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Elderwood,1381,0.03522330196138445,2.296,2.624,-0.577,-0.904,-0.824,0.0203,0.158,0.3888,0.6669,0.9073,1.488,-21.95,0.0,True
pepite,Lux Unique Trait,6696,0.17078582906113704,2.613,2.675,-0.526,-0.588,-0.541,0.0899,0.0937,0.3524,0.598,0.843,1.763,-24.86,0.0,True
pepite,Executioner,1437,0.03665161833346086,2.404,2.685,-0.516,-0.797,-0.713,0.0189,0.1324,0.3667,0.6521,0.8817,1.59,-18.51,0.0,True
pepite,Blossom,691,0.017624403805442907,2.292,2.775,-0.425,-0.908,-0.794,0.0075,0.1479,0.411,0.6628,0.8973,1.513,-15.56,0.0,True
pepite,Fae,2254,0.0574897339760757,2.664,2.803,-0.398,-0.537,-0.463,0.0229,0.0954,0.3208,0.5688,0.8447,1.716,-14.33,0.0,True
pepite,Alune Unique Trait,6214,0.15849210600147934,2.842,2.883,-0.318,-0.358,-0.31,0.0504,0.0632,0.2823,0.5312,0.8125,1.789,-14.5,0.0,True
,Primal,3307,0.08434718290101258,2.809,2.884,-0.316,-0.391,-0.327,0.0267,0.0695,0.2903,0.5461,0.8189,1.799,-11.94,0.0,True
,Elderwood,126,0.0032137118371719335,1.079,2.907,-0.294,-2.121,-2.062,0.0009,0.2507,0.9365,0.9841,1.0,0.324,-69.68,0.0,True
populaire,Emerald,13400,0.341775703318285,2.892,2.909,-0.292,-0.309,-0.272,0.0997,0.0488,0.2937,0.5262,0.7981,1.863,-16.41,0.0,True
,Hunter,6346,0.16185885173565945,2.879,2.914,-0.286,-0.322,-0.273,0.0464,0.057,0.2756,0.5276,0.8063,1.814,-12.99,0.0,True
,Spellweaver,1625,0.041446680439717394,2.786,2.921,-0.28,-0.415,-0.33,0.0116,0.0833,0.2745,0.5305,0.8326,1.7,-9.58,0.0,True
,Executioner,2596,0.06621266610554238,2.842,2.925,-0.275,-0.359,-0.288,0.0182,0.0635,0.282,0.5258,0.8128,1.766,-9.96,0.0,True
populaire,Greenfather,9720,0.24791491315326344,2.904,2.926,-0.275,-0.297,-0.254,0.0681,0.0372,0.3112,0.529,0.7865,1.911,-13.68,0.0,True
,Hunter,1100,0.028056214451501006,2.744,2.934,-0.267,-0.457,-0.352,0.0075,0.0889,0.2964,0.5555,0.8382,1.741,-8.56,0.0,True
,Blossom,5176,0.13201724181906294,2.93,2.966,-0.235,-0.27,-0.217,0.031,0.0465,0.2738,0.5155,0.7958,1.835,-9.9,0.0,True
,Inferno,6729,0.17162751549468208,2.945,2.971,-0.229,-0.256,-0.206,0.0393,0.0337,0.3018,0.5129,0.783,1.912,-10.13,0.0,True
populaire,Spellweaver,13693,0.3492488586221848,2.968,2.981,-0.22,-0.233,-0.197,0.0768,0.0482,0.2522,0.4968,0.7975,1.807,-12.73,0.0,True
