group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,6322,0.17331469144940648,2.604,2.666,-0.533,-0.594,-0.547,0.0923,0.0958,0.3542,0.6,0.8456,1.759,-24.44,0.0,True
populaire,Ashe,9391,0.25744989993694656,2.77,2.801,-0.398,-0.429,-0.388,0.1024,0.0786,0.2916,0.5489,0.8285,1.75,-20.71,0.0,True
pepite,Alune,5940,0.16284233900814213,2.832,2.873,-0.326,-0.366,-0.317,0.0531,0.0648,0.2805,0.5347,0.8146,1.782,-14.5,0.0,True
pepite,Sivir,3327,0.09120815856567152,2.838,2.903,-0.295,-0.36,-0.296,0.0269,0.0671,0.2831,0.5365,0.817,1.799,-10.99,0.0,True
pepite,Ivern,9226,0.25292650163116487,2.888,2.91,-0.288,-0.311,-0.267,0.0728,0.0388,0.3158,0.5349,0.7886,1.913,-13.92,0.0,True
populaire,Taric,12728,0.34893220385448365,2.897,2.914,-0.285,-0.301,-0.263,0.0993,0.048,0.2914,0.5259,0.7978,1.866,-15.53,0.0,True
populaire,Kennen,10255,0.2811360583381309,2.901,2.921,-0.278,-0.298,-0.257,0.0781,0.0469,0.2924,0.5216,0.7967,1.859,-14.21,0.0,True
pepite,Ahri,9164,0.2512268004495984,2.956,2.974,-0.224,-0.242,-0.2,0.0563,0.0432,0.2668,0.5055,0.793,1.835,-11.18,0.0,True
pepite,Draven,5895,0.16160868492474711,2.979,3.004,-0.195,-0.219,-0.165,0.0315,0.0198,0.3082,0.5118,0.7696,1.949,-8.02,0.0,True
,Karma,5210,0.1428297283219563,3.006,3.029,-0.169,-0.193,-0.138,0.0241,0.0354,0.2633,0.4937,0.7852,1.867,-6.94,0.0,True
,Vi,3106,0.08514954628944266,3.003,3.04,-0.158,-0.195,-0.126,0.0135,0.0335,0.2704,0.5023,0.7833,1.899,-5.49,0.0,True
,Lillia,8258,0.22638923157057872,3.028,3.042,-0.156,-0.17,-0.125,0.0354,0.0342,0.2449,0.4898,0.784,1.854,-7.47,0.0,True
,Rengar,649,0.01779203333607479,2.878,3.048,-0.151,-0.32,-0.178,0.0027,0.053,0.2789,0.5331,0.8028,1.824,-4.43,1e-05,True
populaire,Maokai,9866,0.2704718041505606,3.04,3.05,-0.148,-0.159,-0.116,0.04,0.0152,0.2867,0.4953,0.7651,1.956,-7.18,0.0,True
populaire,Sett,12930,0.35446993996216797,3.047,3.055,-0.144,-0.152,-0.114,0.0509,0.0281,0.2469,0.4817,0.7779,1.847,-7.93,0.0,True
,Yunara,4054,0.11113852564629767,3.041,3.065,-0.133,-0.157,-0.096,0.0148,0.0262,0.2607,0.4859,0.776,1.884,-5.03,0.0,True
,Kog Maw A D,1242,0.034048852701702444,3.005,3.076,-0.122,-0.194,-0.096,0.0042,0.0626,0.1932,0.4847,0.8124,1.725,-3.88,0.00011,True
populaire,Rammus,10226,0.28034103681772077,3.073,3.082,-0.117,-0.125,-0.085,0.0327,0.0336,0.2194,0.4724,0.7834,1.825,-6.05,0.0,True
,Yorick,5130,0.14063656550703182,3.074,3.09,-0.109,-0.124,-0.069,0.0153,0.0209,0.2591,0.4789,0.7708,1.902,-4.37,1e-05,True
,Teemo,5270,0.14447460043314966,3.075,3.09,-0.108,-0.123,-0.072,0.0157,0.0416,0.1939,0.4653,0.7915,1.771,-4.67,0.0,True
,Zyra,1560,0.04276667489102722,3.046,3.094,-0.104,-0.153,-0.057,0.0045,0.0335,0.2449,0.4917,0.7833,1.886,-3.13,0.00173,True
populaire,Tristana,9243,0.2533925487293363,3.107,3.114,-0.085,-0.091,-0.049,0.0215,0.0235,0.2231,0.4682,0.7733,1.856,-4.19,3e-05,True
,Master Yi A D,3804,0.1042848918496587,3.11,3.124,-0.074,-0.089,-0.026,0.0078,0.0186,0.2424,0.4695,0.7684,1.885,-2.75,0.00591,True
,Soraka,4911,0.1346327823011761,3.118,3.129,-0.07,-0.08,-0.025,0.0094,0.0223,0.2248,0.4622,0.7721,1.858,-2.83,0.00472,True
,Fiddlesticks,6293,0.17251966992899637,3.129,3.136,-0.063,-0.07,-0.02,0.0108,0.0287,0.2071,0.4572,0.7785,1.832,-2.77,0.00565,True
,Veigar,5577,0.15289086273542232,3.136,3.143,-0.055,-0.063,-0.012,0.0085,0.0304,0.1919,0.4501,0.7802,1.787,-2.41,0.01602,True
populaire,Ezreal,12638,0.3464648956876936,3.153,3.155,-0.043,-0.046,-0.007,0.015,0.004,0.2424,0.4574,0.7538,1.906,-2.33,0.01995,True
,Kobuko,7518,0.20610247553252733,3.168,3.171,-0.028,-0.03,0.0,0.0057,0.0227,0.1907,0.4416,0.7725,1.808,-1.3,0.19213,False
,Rakan,3109,0.08523178989500232,3.172,3.177,-0.021,-0.026,0.0,0.0018,0.0041,0.249,0.4558,0.7539,1.966,-0.71,0.47699,False
,Le Blanc,8484,0.23258491652274035,3.193,3.193,-0.005,-0.006,0.0,0.0012,0.007,0.2165,0.4418,0.7568,1.874,-0.25,0.80366,False
,Nidalee A P,1006,0.02757902239767525,3.204,3.202,0.003,0.005,0.0,-0.0001,0.0196,0.1968,0.4414,0.7694,1.859,0.09,0.92905,False
,Aphelios,1806,0.04951065054691998,3.215,3.211,0.012,0.017,0.0,-0.0006,0.0071,0.1993,0.4319,0.7569,1.861,0.38,0.70674,False
populaire,Alistar,14069,0.38569509553965514,3.212,3.211,0.013,0.013,0.0,-0.0048,-0.0061,0.2351,0.4432,0.7437,1.925,0.69,0.49025,False
,Xayah,7324,0.2007840557063355,3.234,3.231,0.032,0.035,0.0,-0.0065,-0.0005,0.212,0.4275,0.7493,1.878,1.47,0.14279,False
,Kha Zix,581,0.015927844943388985,3.286,3.237,0.039,0.087,0.0,-0.0006,-0.0114,0.2203,0.4372,0.7384,1.982,1.05,0.29238,False
,Elder Dragon,2003,0.054911313978671494,3.255,3.24,0.041,0.056,0.0,-0.0023,-0.0124,0.2262,0.4493,0.7374,1.993,1.23,0.21888,False
,Sentry,1179,0.03232173698494942,3.289,3.255,0.056,0.091,0.0,-0.0018,0.0093,0.1578,0.4266,0.7591,1.854,1.65,0.09861,False
,Amumu,7932,0.2174520930997615,3.26,3.255,0.056,0.061,0.012,-0.0122,-0.0281,0.2642,0.4534,0.7218,2.054,2.44,0.01481,True
,Ornn,8618,0.23625846423773886,3.263,3.258,0.06,0.065,0.02,-0.0141,-0.007,0.207,0.4257,0.7429,1.893,2.85,0.00433,True
,Rek Sai,3346,0.09172903473421608,3.277,3.263,0.064,0.078,0.012,-0.0059,0.0,0.182,0.425,0.7499,1.859,2.32,0.02015,True
populaire,Hecarim,10272,0.2816021054363023,3.269,3.264,0.066,0.071,0.029,-0.0186,-0.0116,0.2113,0.4306,0.7382,1.918,3.3,0.00098,True
,Malphite,2533,0.06944101762754612,3.313,3.287,0.089,0.115,0.036,-0.0062,-0.0195,0.2112,0.4311,0.7304,1.962,2.85,0.00443,True
,Diana,4094,0.1122351070537599,3.312,3.295,0.097,0.114,0.049,-0.0109,-0.0307,0.2245,0.4404,0.7191,2.002,3.47,0.00053,True
