group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Evenshroud + Gargoyle Stoneplate + Sunfire Cape,450,0.012186535232627417,3.482,3.893,-0.251,-0.662,-0.473,0.0031,0.1382,0.2044,0.3822,0.7022,2.029,-6.87,0.0,True
pepite,Evenshroud + Spirit Visage + Sunfire Cape,281,0.007609814223040676,3.359,3.928,-0.216,-0.784,-0.545,0.0016,0.1299,0.2313,0.4306,0.694,2.036,-6.43,0.0,True
pepite,Evenshroud + Sunfire Cape + Warmogs Armor,230,0.006228673563342902,3.278,3.938,-0.206,-0.866,-0.612,0.0013,0.1447,0.2478,0.413,0.7087,1.954,-6.69,0.0,True
pepite,Evenshroud + Protectors Vow + Sunfire Cape,174,0.0047121269566159345,3.374,3.997,-0.147,-0.77,-0.479,0.0007,0.1429,0.2126,0.408,0.7069,1.955,-5.18,0.0,True
pepite,Evenshroud + Protectors Vow + Spirit Visage,166,0.004495477441369225,3.343,3.997,-0.147,-0.801,-0.492,0.0007,0.1288,0.241,0.4337,0.6928,2.023,-5.09,0.0,True
populaire,Gargoyle Stoneplate + Protectors Vow + Sunfire Cape,390,0.010561663868277095,3.741,4.005,-0.139,-0.403,-0.194,0.0015,0.0719,0.1795,0.3487,0.6359,2.097,-3.77,0.00016,True
pepite,Spirit Visage + Sunfire Cape + Warmogs Armor,263,0.007122352813735579,3.722,4.033,-0.111,-0.421,-0.176,0.0008,0.071,0.1597,0.346,0.635,2.025,-3.36,0.00077,True
pepite,Evenshroud + Spirit Visage + Warmogs Armor,147,0.00398093484265829,3.476,4.033,-0.111,-0.668,-0.338,0.0004,0.0958,0.2177,0.4082,0.6599,2.038,-3.96,7e-05,True
,Evenshroud + Gargoyle Stoneplate + Protectors Vow,211,0.005714130964631967,3.659,4.036,-0.108,-0.485,-0.209,0.0006,0.0616,0.1848,0.3697,0.6256,2.042,-3.44,0.00058,True
,Protectors Vow + Sunfire Cape + Warmogs Armor,208,0.00563288739641445,3.668,4.039,-0.105,-0.476,-0.179,0.0006,0.085,0.2163,0.3894,0.649,2.18,-3.14,0.0017,True
,Crownguard + Evenshroud + Sunfire Cape,85,0.00230190109949629,3.129,4.039,-0.105,-1.014,-0.666,0.0002,0.2595,0.1647,0.4,0.8235,1.636,-5.71,0.0,True
,Evenshroud + Ionic Spark + Sunfire Cape,79,0.0021394139630612576,3.152,4.048,-0.096,-0.992,-0.539,0.0002,0.1702,0.2532,0.519,0.7342,2.051,-4.29,2e-05,True
,Adaptive Helm + Evenshroud + Sunfire Cape,54,0.00146238422791529,2.741,4.048,-0.096,-1.403,-0.934,0.0001,0.2693,0.2778,0.6111,0.8333,1.755,-5.87,0.0,True
,Evenshroud + Steadfast Heart + Sunfire Cape,79,0.0021394139630612576,3.177,4.05,-0.093,-0.967,-0.525,0.0002,0.1322,0.2658,0.4684,0.6962,1.998,-4.29,2e-05,True
,Bramble Vest + Gargoyle Stoneplate + Sunfire Cape,175,0.004739208146021774,3.68,4.055,-0.089,-0.464,-0.177,0.0004,0.116,0.1486,0.3371,0.68,1.93,-3.17,0.00152,True
,Bramble Vest + Spirit Visage + Sunfire Cape,151,0.004089259600281644,3.642,4.059,-0.085,-0.502,-0.177,0.0003,0.1181,0.1921,0.3377,0.6821,2.031,-3.03,0.00246,True
,Bramble Vest + Evenshroud + Sunfire Cape,67,0.0018144396901911932,3.194,4.065,-0.079,-0.95,-0.525,0.0001,0.2121,0.1791,0.4328,0.7761,1.772,-4.38,1e-05,True
