group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Evenshroud,4864,0.14519836413027254,3.591,3.658,-0.481,-0.548,-0.486,0.0699,0.1051,0.1902,0.3721,0.6698,2.048,-17.34,0.0,True
populaire,Sunfire Cape,8199,0.24475357473357415,3.832,3.855,-0.284,-0.307,-0.257,0.0695,0.0556,0.1622,0.3258,0.6203,2.081,-11.93,0.0,True
pepite,Ionic Spark,1548,0.04621033463685483,3.849,3.937,-0.202,-0.29,-0.183,0.0093,0.0535,0.1602,0.3224,0.6182,2.08,-5.35,0.0,True
pepite,Adaptive Helm,2207,0.06588256365861668,3.93,3.979,-0.16,-0.209,-0.117,0.0106,0.0451,0.1495,0.3126,0.6099,2.13,-4.46,1e-05,True
populaire,Steadfast Heart,3246,0.09689841487805606,3.959,3.99,-0.149,-0.18,-0.105,0.0145,0.0298,0.1414,0.3075,0.5946,2.09,-4.69,0.0,True
populaire,Bramble Vest,3470,0.10358518164721335,4.007,4.028,-0.111,-0.132,-0.059,0.0115,0.0309,0.1352,0.296,0.5957,2.092,-3.54,0.00041,True
populaire,Crownguard,2432,0.07259918206513627,4.005,4.034,-0.105,-0.134,-0.046,0.0076,0.0311,0.1456,0.3039,0.5958,2.139,-2.98,0.0029,True
populaire,Protectors Vow,6465,0.19299083554732976,4.03,4.04,-0.099,-0.109,-0.053,0.0191,0.0192,0.1409,0.2962,0.5839,2.121,-3.78,0.00015,True
pepite,Emblem Defender,338,0.010089853428460551,3.941,4.073,-0.066,-0.198,0.0,0.0007,0.0329,0.1538,0.2988,0.5976,2.103,-1.72,0.0847,False
pepite,Emblem Brawler,312,0.009313710857040509,4.026,4.103,-0.036,-0.113,0.0,0.0003,0.0346,0.109,0.2596,0.5994,1.953,-1.02,0.30764,False
populaire,Dragons Claw,5198,0.15516881100928387,4.1,4.104,-0.035,-0.039,0.0,0.0054,0.0114,0.1285,0.2718,0.5762,2.084,-1.25,0.21043,False
pepite,Horizon Focus,132,0.003940416131824831,4.061,4.126,-0.013,-0.078,0.0,0.0001,0.0186,0.1364,0.2576,0.5833,2.095,-0.43,0.66774,False
populaire,Spirit Visage,9658,0.28830711364518347,4.128,4.129,-0.01,-0.011,0.0,0.003,0.0003,0.1298,0.2736,0.565,2.106,-0.45,0.65264,False
,Emblem Juggernaut,145,0.004328487417534852,4.2,4.15,0.011,0.061,0.0,-0.0,0.0077,0.1241,0.2138,0.5724,2.033,0.36,0.7187,False
,Void Gauntlet,67,0.0020000597032747247,4.328,4.156,0.017,0.189,0.0,-0.0,-0.0125,0.0746,0.2239,0.5522,2.062,0.75,0.45276,False
,Lightshield Crest,216,0.006447953670258814,4.227,4.16,0.021,0.088,0.0,-0.0001,-0.0138,0.1065,0.25,0.5509,2.052,0.63,0.53094,False
,Aegis Of Dusk,101,0.0030150153735932416,4.307,4.161,0.022,0.168,0.0,-0.0001,-0.04,0.0693,0.2475,0.5248,2.018,0.83,0.404,False
populaire,Warmogs Armor,11894,0.3550553747873071,4.167,4.166,0.027,0.028,0.0,-0.0094,-0.0057,0.1281,0.2691,0.559,2.118,1.24,0.21439,False
,The Indomitable,254,0.007582315890026568,4.354,4.198,0.059,0.215,0.0,-0.0004,-0.0569,0.1496,0.2402,0.5079,2.195,1.56,0.11938,False
,Steraks Gage,390,0.011642138571300635,4.31,4.202,0.063,0.171,0.0,-0.0007,-0.016,0.1256,0.2282,0.5487,2.136,1.57,0.11553,False
populaire,Gargoyle Stoneplate,15428,0.4605510612257082,4.208,4.205,0.066,0.069,0.028,-0.0303,-0.015,0.1224,0.2615,0.5498,2.115,3.33,0.00087,True
,Aegis Of Dawn,228,0.006806173318606525,4.478,4.225,0.086,0.339,0.064,-0.0006,-0.091,0.0921,0.2368,0.4737,2.11,2.42,0.01561,True
,Titans Resolve,113,0.0033732350219409534,4.735,4.225,0.086,0.595,0.223,-0.0003,-0.1223,0.0619,0.177,0.4425,2.018,3.13,0.00174,True
,Emblem Coven,61,0.0018209498791008686,5.18,4.226,0.087,1.041,0.493,-0.0002,-0.2041,0.0656,0.1803,0.3607,2.184,3.72,0.0002,True
,Moguls Mail,333,0.009940595241649005,4.468,4.248,0.109,0.329,0.095,-0.0011,-0.0722,0.1231,0.2312,0.4925,2.172,2.75,0.00588,True
,Bloodthirster,87,0.002597092450520911,5.172,4.258,0.119,1.033,0.658,-0.0003,-0.1854,0.046,0.0805,0.3793,1.782,5.4,0.0,True
,Component Negatron Cloak,360,0.010746589450431356,4.872,4.395,0.256,0.733,0.508,-0.0028,-0.1397,0.0861,0.1806,0.425,2.169,6.38,0.0,True
,Component Chain Vest,368,0.01098540254932983,5.082,4.473,0.334,0.942,0.72,-0.0037,-0.1816,0.0707,0.1658,0.3832,2.162,8.32,0.0,True
,Component Giants Belt,690,0.020597629779993434,5.113,4.633,0.494,0.974,0.811,-0.0102,-0.1966,0.0696,0.158,0.3681,2.167,11.69,0.0,True
