group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Horizon Focus,362,0.009803390564913611,4.025,4.105,-0.039,-0.119,0.0,0.0004,0.0299,0.1409,0.2762,0.5939,2.083,-1.08,0.27933,False
,Seekers Armguard,51,0.001381140659697774,4.471,4.165,0.021,0.327,0.0,-0.0,-0.0738,0.1176,0.2549,0.4902,2.163,1.08,0.2812,False
populaire,Artifact Talisman Of Ascension,95,0.002572712993554677,4.463,4.18,0.036,0.319,0.0,-0.0001,-0.0903,0.0947,0.2316,0.4737,2.092,1.49,0.13736,False
populaire,Aegis Of Dusk,323,0.008747224178085902,4.279,4.185,0.041,0.135,0.0,-0.0004,-0.0315,0.1176,0.2786,0.5325,2.183,1.1,0.26928,False
,Infinity Force,51,0.001381140659697774,4.784,4.185,0.041,0.64,0.064,-0.0001,-0.1523,0.098,0.1961,0.4118,2.099,2.18,0.02943,True
,Silvermere Dawn,80,0.0021664951524670963,4.688,4.197,0.053,0.544,0.059,-0.0001,-0.089,0.1125,0.2125,0.475,2.211,2.2,0.02806,True
populaire,Lightshield Crest,458,0.012403184747874127,4.297,4.202,0.059,0.153,0.0,-0.0007,-0.0335,0.1114,0.2576,0.5306,2.134,1.53,0.12718,False
populaire,Hullcrusher,169,0.004576721009586741,4.497,4.21,0.066,0.353,0.026,-0.0003,-0.0492,0.1124,0.2071,0.5148,2.168,2.11,0.03461,True
populaire,Void Gauntlet,219,0.005930780479878676,4.553,4.237,0.093,0.409,0.121,-0.0006,-0.0572,0.0959,0.21,0.5068,2.167,2.78,0.00539,True
populaire,Forbidden Idol,99,0.002681037751178032,5.0,4.245,0.101,0.856,0.425,-0.0003,-0.1802,0.0707,0.1616,0.3838,2.184,3.9,0.0001,True
populaire,The Indomitable,480,0.012998970914802578,4.442,4.261,0.117,0.298,0.105,-0.0015,-0.0765,0.1187,0.2208,0.4875,2.137,3.03,0.00242,True
populaire,Aegis Of Dawn,469,0.012701077831338352,4.473,4.272,0.128,0.329,0.136,-0.0016,-0.0587,0.0938,0.226,0.5053,2.123,3.34,0.00084,True
populaire,Moguls Mail,599,0.016221632454097384,4.559,4.33,0.186,0.415,0.236,-0.003,-0.0849,0.1169,0.2371,0.4791,2.227,4.53,1e-05,True
