group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Evenshroud,5641,0.1683930863607869,3.651,3.703,-0.436,-0.488,-0.429,0.0734,0.096,0.1838,0.36,0.6607,2.065,-16.34,0.0,True
populaire,Sunfire Cape,9134,0.27266485566733334,3.866,3.884,-0.255,-0.273,-0.225,0.0694,0.0492,0.1582,0.319,0.614,2.083,-11.07,0.0,True
pepite,Ionic Spark,1987,0.05931520343890862,3.925,3.979,-0.16,-0.214,-0.12,0.0095,0.0412,0.1545,0.304,0.6059,2.075,-4.46,1e-05,True
pepite,Adaptive Helm,2807,0.08379354607600227,3.997,4.024,-0.115,-0.142,-0.06,0.0096,0.0306,0.1436,0.3,0.5953,2.13,-3.39,0.0007,True
populaire,Steadfast Heart,3900,0.11642138571300636,4.021,4.038,-0.101,-0.118,-0.048,0.0117,0.0204,0.1364,0.2972,0.5851,2.103,-3.31,0.00092,True
populaire,Crownguard,3023,0.09024149974626108,4.021,4.042,-0.097,-0.118,-0.039,0.0087,0.0287,0.1439,0.2977,0.5935,2.136,-2.91,0.00356,True
populaire,Bramble Vest,4080,0.12179468043822203,4.033,4.048,-0.091,-0.106,-0.038,0.0111,0.026,0.1328,0.2914,0.5907,2.096,-3.06,0.00223,True
pepite,Morellonomicon,134,0.004000119406549449,3.739,4.072,-0.067,-0.4,-0.041,0.0003,0.0771,0.2015,0.3209,0.6418,2.119,-2.18,0.02913,True
populaire,Protectors Vow,7339,0.21908116660198812,4.071,4.076,-0.063,-0.068,-0.015,0.0137,0.012,0.1375,0.2917,0.5768,2.134,-2.49,0.01272,True
pepite,Quicksilver,65,0.001940356428550106,3.877,4.116,-0.023,-0.262,0.0,0.0,0.1122,0.0615,0.3538,0.6769,2.145,-0.98,0.32493,False
,Blue Buff,45,0.0013433236813039195,4.156,4.14,0.001,0.017,0.0,-0.0,-0.0536,0.1111,0.2667,0.5111,1.988,0.06,0.95562,False
,Spear Of Shojin,43,0.001283620406579301,4.302,4.149,0.01,0.163,0.0,-0.0,-0.0764,0.1395,0.3023,0.4884,2.162,0.49,0.62072,False
,Component Needlessly Large Rod,61,0.0018209498791008686,4.279,4.151,0.012,0.14,0.0,-0.0,0.009,0.0492,0.1967,0.5738,1.909,0.57,0.5682,False
populaire,Dragons Claw,5944,0.17743813248156662,4.153,4.151,0.012,0.014,0.0,-0.0022,0.0014,0.124,0.2631,0.5661,2.09,0.46,0.64607,False
populaire,Spirit Visage,10627,0.3172333502492612,4.156,4.155,0.016,0.017,0.0,-0.0051,-0.0057,0.1284,0.2703,0.559,2.112,0.73,0.46624,False
,Archangels Staff,62,0.001850801516463178,4.548,4.174,0.035,0.409,0.0,-0.0001,-0.1292,0.1129,0.2258,0.4355,2.021,1.59,0.1112,False
,Hand Of Justice,113,0.0033732350219409534,4.434,4.182,0.043,0.295,0.0,-0.0001,-0.0692,0.0708,0.1858,0.4956,1.914,1.63,0.10245,False
,Component Tear Of The Goddess,142,0.004238932505447924,4.423,4.189,0.05,0.283,0.0,-0.0002,-0.0366,0.1268,0.2394,0.5282,2.311,1.46,0.14459,False
,Component Sparring Gloves,43,0.001283620406579301,5.0,4.191,0.052,0.861,0.295,-0.0001,-0.1229,0.0465,0.1163,0.4419,1.892,2.98,0.00287,True
populaire,Warmogs Armor,12982,0.38753395623749964,4.199,4.196,0.057,0.06,0.017,-0.0221,-0.012,0.1268,0.2658,0.5527,2.128,2.72,0.00644,True
,Edge Of Night,104,0.0031045702856801697,4.644,4.207,0.068,0.505,0.111,-0.0002,-0.1224,0.0769,0.1827,0.4423,2.047,2.51,0.01199,True
populaire,Gargoyle Stoneplate,16671,0.4976566464670587,4.243,4.239,0.1,0.104,0.065,-0.0499,-0.021,0.1199,0.2561,0.5438,2.12,5.19,0.0,True
,Steraks Gage,801,0.02391116152720977,4.367,4.263,0.124,0.228,0.077,-0.003,-0.0242,0.1211,0.2235,0.5406,2.155,2.96,0.00308,True
,Titans Resolve,473,0.01411982447237231,4.66,4.354,0.215,0.521,0.328,-0.003,-0.1102,0.0951,0.2008,0.4545,2.12,5.3,0.0,True
,Bloodthirster,432,0.012895907340517628,4.877,4.428,0.289,0.738,0.543,-0.0037,-0.155,0.0718,0.162,0.4097,2.055,7.42,0.0,True
,Component Negatron Cloak,583,0.017403504582226337,4.931,4.508,0.369,0.792,0.615,-0.0064,-0.1428,0.0789,0.1715,0.422,2.164,8.77,0.0,True
,Component Chain Vest,625,0.018657273351443328,4.936,4.524,0.385,0.797,0.627,-0.0072,-0.1407,0.0704,0.1648,0.424,2.155,9.16,0.0,True
,Component Giants Belt,992,0.029612824263410848,5.043,4.679,0.54,0.904,0.769,-0.016,-0.1766,0.0665,0.1562,0.3881,2.143,13.1,0.0,True
