group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Defender,715,0.019363050425174673,3.979,4.063,-0.081,-0.165,-0.012,0.0016,0.043,0.1427,0.2881,0.607,2.068,-2.11,0.03479,True
populaire,Emblem Brawler,676,0.018306884038346963,4.012,4.081,-0.063,-0.132,0.0,0.0012,0.0366,0.1302,0.2751,0.6006,2.032,-1.67,0.09422,False
populaire,Emblem Fae,232,0.00628283594215458,4.034,4.118,-0.026,-0.109,0.0,0.0002,0.0351,0.1509,0.2759,0.5991,2.147,-0.77,0.43904,False
pepite,Emblem Rapidfire,68,0.0018415208795970318,4.059,4.137,-0.007,-0.085,0.0,0.0,-0.0052,0.1618,0.2353,0.5588,2.043,-0.34,0.7315,False
populaire,Emblem Invoker,150,0.004062178410875806,4.107,4.138,-0.006,-0.037,0.0,0.0,0.016,0.1267,0.24,0.58,2.037,-0.22,0.82319,False
populaire,Emblem Lunar,148,0.004008016032064128,4.23,4.158,0.014,0.086,0.0,-0.0001,-0.064,0.0946,0.2297,0.5,1.882,0.55,0.58003,False
,Emblem Slayer,143,0.0038726100850349347,4.315,4.172,0.028,0.171,0.0,-0.0001,-0.0256,0.0769,0.2657,0.5385,2.07,0.98,0.32489,False
,Emblem Blackthorn,81,0.002193576341872935,4.494,4.178,0.035,0.35,0.0,-0.0001,-0.0455,0.0988,0.2469,0.5185,2.206,1.43,0.15387,False
populaire,Emblem Juggernaut,452,0.012240697611439094,4.274,4.193,0.05,0.13,0.0,-0.0006,-0.0109,0.1394,0.2456,0.5531,2.193,1.26,0.20871,False
,Emblem Flora Fatalis Augment,43,0.0011644911444510643,5.093,4.196,0.052,0.949,0.352,-0.0001,-0.2384,0.0465,0.1395,0.3256,1.998,3.11,0.00185,True
,Emblem Primal,88,0.002383144667713806,4.648,4.198,0.054,0.504,0.072,-0.0001,-0.0867,0.0795,0.1591,0.4773,2.062,2.29,0.02206,True
populaire,Emblem Flora Fatalis,144,0.0038996912744407733,4.549,4.21,0.066,0.405,0.041,-0.0003,-0.0849,0.1042,0.2361,0.4792,2.22,2.18,0.02898,True
,Emblem Inferno,56,0.0015165466067269674,5.196,4.218,0.074,1.053,0.485,-0.0001,-0.1533,0.0,0.1607,0.4107,2.166,3.63,0.00028,True
,Emblem Blossom,92,0.002491469425337161,4.88,4.225,0.082,0.737,0.268,-0.0002,-0.1075,0.087,0.1957,0.4565,2.288,3.08,0.00204,True
populaire,Emblem Sprykin,168,0.004549639820180903,4.601,4.229,0.085,0.457,0.137,-0.0004,-0.0462,0.0893,0.1786,0.5179,2.113,2.8,0.00514,True
populaire,Emblem Spellweaver,151,0.004089259600281644,4.728,4.243,0.099,0.585,0.238,-0.0004,-0.1004,0.0927,0.1987,0.4636,2.168,3.31,0.00094,True
populaire,Emblem Coven,283,0.007663976601852353,5.053,4.396,0.252,0.909,0.65,-0.0019,-0.1683,0.0777,0.1731,0.3958,2.22,6.87,0.0,True
