group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Evenshroud + Sunfire Cape,1715,0.04644423983101338,3.397,3.621,-0.522,-0.747,-0.65,0.0243,0.1415,0.2134,0.407,0.7055,1.996,-15.11,0.0,True
pepite,Evenshroud + Protectors Vow,1054,0.028543573633753993,3.534,3.785,-0.359,-0.61,-0.484,0.0102,0.103,0.2049,0.3928,0.667,2.05,-9.51,0.0,True
pepite,Evenshroud + Spirit Visage,1427,0.03864485728213183,3.634,3.808,-0.336,-0.51,-0.399,0.013,0.0863,0.1927,0.3749,0.6503,2.083,-9.06,0.0,True
pepite,Evenshroud + Warmogs Armor,1368,0.037047067107187345,3.656,3.827,-0.317,-0.487,-0.375,0.0117,0.0946,0.1893,0.3582,0.6586,2.079,-8.51,0.0,True
pepite,Evenshroud + Steadfast Heart,485,0.013134376861831772,3.429,3.86,-0.283,-0.715,-0.537,0.0037,0.1308,0.2021,0.3959,0.6948,1.987,-7.87,0.0,True
pepite,Protectors Vow + Sunfire Cape,1444,0.03910523750203109,3.72,3.863,-0.281,-0.424,-0.314,0.011,0.0717,0.1828,0.3573,0.6357,2.097,-7.54,0.0,True
populaire,Evenshroud + Gargoyle Stoneplate,2109,0.05711422845691383,3.785,3.878,-0.266,-0.359,-0.266,0.0152,0.0704,0.1764,0.3404,0.6344,2.117,-7.58,0.0,True
,Crownguard + Evenshroud,440,0.01191572333856903,3.491,3.9,-0.244,-0.653,-0.467,0.0029,0.1473,0.1795,0.3909,0.7114,1.981,-6.87,0.0,True
,Evenshroud + Ionic Spark,276,0.007474408276011482,3.25,3.901,-0.243,-0.894,-0.66,0.0018,0.1715,0.2246,0.4457,0.7355,1.978,-7.48,0.0,True
,Bramble Vest + Evenshroud,438,0.011861560959757352,3.505,3.906,-0.238,-0.639,-0.453,0.0028,0.1369,0.1781,0.3881,0.7009,1.976,-6.73,0.0,True
,Bramble Vest + Sunfire Cape,772,0.02090667822130748,3.702,3.918,-0.226,-0.442,-0.299,0.0047,0.1005,0.1619,0.3368,0.6645,2.0,-6.07,0.0,True
populaire,Sunfire Cape + Warmogs Armor,2639,0.07146725884200834,3.872,3.931,-0.213,-0.272,-0.19,0.0152,0.0457,0.158,0.3179,0.6097,2.075,-6.5,0.0,True
