group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Elderwood,1172,0.034986118988626524,2.61,3.166,-0.973,-1.529,-1.435,0.034,0.3005,0.308,0.5674,0.8652,1.589,-31.95,0.0,True
pepite,Executioner,1004,0.02997104391175856,2.933,3.416,-0.723,-1.206,-1.085,0.0217,0.2281,0.2938,0.5179,0.7928,1.91,-19.64,0.0,True
pepite,Lunar,2272,0.06782292008716678,3.241,3.446,-0.693,-0.898,-0.815,0.047,0.1725,0.2311,0.4375,0.7372,1.946,-21.15,0.0,True
pepite,Rival,3647,0.1088689214603421,3.33,3.456,-0.683,-0.809,-0.742,0.0744,0.1671,0.2046,0.419,0.7318,1.951,-23.57,0.0,True
pepite,Solar,690,0.020597629779993434,2.875,3.498,-0.641,-1.264,-1.114,0.0132,0.2338,0.329,0.5522,0.7986,1.984,-16.54,0.0,True
pepite,Executioner,2902,0.08662945162542166,3.412,3.548,-0.591,-0.727,-0.65,0.0512,0.1358,0.2092,0.4166,0.7006,2.021,-18.51,0.0,True
,Lux Unique Trait,3597,0.10737633959222663,3.483,3.586,-0.553,-0.656,-0.584,0.0594,0.122,0.2232,0.409,0.6867,2.1,-17.78,0.0,True
,Alune Unique Trait,4443,0.13263082480074032,3.519,3.6,-0.539,-0.62,-0.556,0.0715,0.1208,0.1985,0.3847,0.6856,2.039,-18.95,0.0,True
populaire,Emerald,9299,0.2775903758321144,3.563,3.602,-0.537,-0.576,-0.529,0.1491,0.1085,0.1957,0.3751,0.6732,2.037,-23.89,0.0,True
populaire,Rapidfire,10525,0.3141884832383056,3.583,3.616,-0.523,-0.556,-0.511,0.1643,0.1104,0.1929,0.3744,0.6752,2.064,-23.94,0.0,True
,Rival,7048,0.2103943401295561,3.642,3.685,-0.454,-0.497,-0.442,0.0955,0.0953,0.1942,0.3767,0.66,2.125,-17.85,0.0,True
,Fae,1584,0.047284993581897965,3.566,3.737,-0.403,-0.573,-0.475,0.019,0.1266,0.1616,0.3466,0.6913,1.923,-11.53,0.0,True
,Riftbeast,7509,0.2241559449535807,3.704,3.74,-0.399,-0.435,-0.383,0.0895,0.0865,0.1734,0.3506,0.6512,2.076,-16.33,0.0,True
