group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Rengar,10041,0.2997402907549479,3.438,3.481,-0.658,-0.702,-0.656,0.1971,0.1383,0.2073,0.4081,0.703,2.038,-29.96,0.0,True
pepite,Lux Base,3616,0.10794352070211051,3.482,3.585,-0.554,-0.657,-0.585,0.0598,0.1217,0.2246,0.4093,0.6864,2.102,-17.84,0.0,True
pepite,Alune,4504,0.13445177467984118,3.518,3.598,-0.541,-0.621,-0.557,0.0727,0.1218,0.198,0.3852,0.6865,2.039,-19.09,0.0,True
populaire,Taric,9377,0.2799188035463745,3.566,3.604,-0.535,-0.573,-0.526,0.1497,0.1081,0.1951,0.3749,0.6728,2.038,-23.84,0.0,True
pepite,Sejuani,776,0.023164870593152035,3.206,3.638,-0.501,-0.933,-0.779,0.0116,0.1685,0.2925,0.4948,0.7332,2.161,-11.89,0.0,True
pepite,Leona,814,0.024299232812919788,3.259,3.656,-0.483,-0.88,-0.731,0.0117,0.1576,0.2801,0.4742,0.7224,2.148,-11.55,0.0,True
pepite,Kayle,964,0.02877697841726619,3.339,3.667,-0.472,-0.8,-0.662,0.0136,0.1417,0.2624,0.4585,0.7064,2.15,-11.39,0.0,True
populaire,Aphelios,12445,0.3715036269739395,3.649,3.674,-0.465,-0.49,-0.448,0.1729,0.0992,0.1773,0.3579,0.664,2.052,-22.55,0.0,True
pepite,Gnar Small,8782,0.26215707931580046,3.665,3.698,-0.441,-0.474,-0.427,0.1156,0.0968,0.1643,0.3407,0.6616,1.992,-19.59,0.0,True
,Kha Zix,5027,0.15006418102032895,3.66,3.717,-0.423,-0.479,-0.417,0.0634,0.0995,0.1723,0.3638,0.6642,2.068,-15.25,0.0,True
,Kennen,5049,0.15072091704229976,3.687,3.74,-0.399,-0.452,-0.39,0.0602,0.0801,0.1856,0.3664,0.6449,2.097,-14.26,0.0,True
,Brambleback,7767,0.23185766739305652,3.797,3.824,-0.315,-0.342,-0.29,0.073,0.0663,0.1651,0.3349,0.631,2.097,-12.92,0.0,True
,Crimson Raptor,8108,0.242037075733604,3.832,3.855,-0.284,-0.307,-0.256,0.0687,0.0608,0.1623,0.3299,0.6256,2.105,-11.77,0.0,True
populaire,Sentinel,12022,0.35887638436968267,3.902,3.915,-0.225,-0.237,-0.193,0.0806,0.0516,0.1478,0.31,0.6164,2.083,-10.65,0.0,True
populaire,Diana,17520,0.5230006865876593,3.946,3.953,-0.186,-0.193,-0.154,0.0971,0.0379,0.1493,0.3104,0.6026,2.115,-9.76,0.0,True
,Ivern,4079,0.12176482880085973,3.932,3.961,-0.178,-0.207,-0.138,0.0217,0.0335,0.1643,0.3197,0.5982,2.14,-5.84,0.0,True
,Lillia,2586,0.0771963342189319,3.929,3.972,-0.167,-0.21,-0.128,0.0129,0.049,0.1338,0.297,0.6137,2.043,-5.03,0.0,True
,Tristana,2082,0.06215110898832801,4.005,4.037,-0.102,-0.134,-0.043,0.0063,0.0424,0.1249,0.2791,0.6071,2.052,-2.89,0.00385,True
populaire,Ezreal,14724,0.43953550852264245,4.041,4.046,-0.093,-0.098,-0.057,0.041,0.0164,0.1324,0.2829,0.5812,2.068,-4.73,0.0,True
,Ashe,988,0.02949341771396161,4.026,4.072,-0.067,-0.113,0.0,0.002,0.0183,0.1397,0.3117,0.583,2.142,-1.63,0.10287,False
,Sivir,1019,0.0304188184721932,4.027,4.072,-0.067,-0.112,0.0,0.002,0.0251,0.1325,0.2934,0.5898,2.11,-1.66,0.09644,False
,Nidalee A P,920,0.027463506373324578,4.035,4.079,-0.06,-0.104,0.0,0.0017,0.0407,0.1185,0.2815,0.6054,2.08,-1.5,0.13387,False
,Kog Maw A D,1773,0.05292695304337443,4.065,4.085,-0.054,-0.074,0.0,0.0028,0.0337,0.1201,0.2837,0.5984,2.11,-1.44,0.14928,False
populaire,Le Blanc,13971,0.4170572255888235,4.094,4.096,-0.043,-0.045,-0.003,0.0179,0.0077,0.1341,0.2771,0.5725,2.098,-2.11,0.03446,True
,Teemo,512,0.015284038329502373,4.066,4.108,-0.031,-0.073,0.0,0.0005,0.0427,0.123,0.293,0.6074,2.156,-0.76,0.44915,False
,Vi,1419,0.042359473417116926,4.125,4.129,-0.01,-0.014,0.0,0.0004,0.0103,0.1226,0.2939,0.5751,2.164,-0.24,0.80706,False
,Soraka,6248,0.18651303023970864,4.135,4.135,-0.004,-0.004,0.0,0.0007,-0.001,0.1301,0.27,0.5637,2.101,-0.15,0.87818,False
