group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Adaptive Helm + Blue Buff + Spear Of Shojin,132,0.00676923076923077,2.553,3.1,-0.185,-0.732,-0.427,0.0013,0.1319,0.3788,0.6364,0.8409,1.781,-4.7,0.0,True
pepite,Adaptive Helm + Spear Of Shojin + Spear Of Shojin,117,0.006,2.632,3.134,-0.151,-0.652,-0.355,0.0009,0.1372,0.3248,0.5726,0.8462,1.631,-4.31,2e-05,True
populaire,Guinsoos Rageblade + Spear Of Shojin + Spear Of Shojin,257,0.013179487179487179,2.984,3.166,-0.119,-0.3,-0.038,0.0016,0.0264,0.3735,0.5486,0.7354,2.137,-2.24,0.02511,False
pepite,Adaptive Helm + Spear Of Shojin + Void Staff,74,0.0037948717948717947,2.595,3.175,-0.11,-0.69,-0.322,0.0004,0.1694,0.3919,0.527,0.8784,1.61,-3.68,0.00024,True
pepite,Blue Buff + Red Buff + Spear Of Shojin,51,0.0026153846153846153,2.471,3.191,-0.094,-0.814,-0.329,0.0002,0.1734,0.451,0.5882,0.8824,1.764,-3.29,0.001,True
pepite,Adaptive Helm + Adaptive Helm + Spear Of Shojin,50,0.002564102564102564,2.46,3.191,-0.094,-0.825,-0.303,0.0002,0.091,0.48,0.66,0.8,1.878,-3.1,0.00193,True
pepite,Red Buff + Spear Of Shojin + Spear Of Shojin,45,0.002307692307692308,2.489,3.203,-0.082,-0.796,-0.267,0.0002,0.1799,0.4222,0.5778,0.8889,1.809,-2.95,0.0032,True
pepite,Archangels Staff + Blue Buff + Spear Of Shojin,77,0.003948717948717949,2.818,3.208,-0.077,-0.467,-0.059,0.0003,0.0832,0.3247,0.5584,0.7922,1.821,-2.24,0.02492,False
,Blue Buff + Nashors Tooth + Spear Of Shojin,52,0.0026666666666666666,2.654,3.211,-0.074,-0.631,-0.142,0.0002,0.1372,0.4038,0.5385,0.8462,1.796,-2.53,0.01144,False
,Adaptive Helm + Adaptive Helm + Blue Buff,51,0.0026153846153846153,2.686,3.216,-0.069,-0.599,-0.129,0.0002,0.1342,0.3725,0.5098,0.8431,1.709,-2.5,0.01255,False
,Archangels Staff + Guinsoos Rageblade + Spear Of Shojin,116,0.005948717948717949,2.991,3.218,-0.067,-0.294,0.0,0.0004,0.0065,0.3448,0.5517,0.7155,2.099,-1.5,0.13313,False
,Blue Buff + Spear Of Shojin + Spear Of Shojin,78,0.004,2.897,3.22,-0.065,-0.387,0.0,0.0003,0.0987,0.3462,0.4487,0.8077,1.787,-1.91,0.05621,False
,Archangels Staff + Spear Of Shojin + Void Staff,56,0.002871794871794872,2.786,3.222,-0.063,-0.499,0.0,0.0002,0.0946,0.3929,0.5536,0.8036,1.97,-1.89,0.05839,False
,Red Buff + Spear Of Shojin + Void Staff,67,0.003435897435897436,2.866,3.223,-0.061,-0.419,0.0,0.0002,0.0821,0.3731,0.5224,0.791,1.954,-1.75,0.07963,False
,Adaptive Helm + Rabadons Deathcap + Spear Of Shojin,44,0.0022564102564102562,2.727,3.228,-0.057,-0.558,0.0,0.0001,0.1547,0.2955,0.5682,0.8636,1.887,-1.96,0.05032,False
,Guinsoos Rageblade + Spear Of Shojin + Void Staff,82,0.004205128205128205,2.963,3.229,-0.056,-0.322,0.0,0.0002,0.0471,0.3171,0.5366,0.7561,2.039,-1.42,0.15424,False
populaire,Adaptive Helm + Guinsoos Rageblade + Spear Of Shojin,133,0.006820512820512821,3.068,3.23,-0.055,-0.217,0.0,0.0004,0.0279,0.3383,0.4812,0.7368,2.027,-1.23,0.21809,False
,Guinsoos Rageblade + Rabadons Deathcap + Spear Of Shojin,74,0.0037948717948717947,2.946,3.231,-0.054,-0.339,0.0,0.0002,0.0478,0.2973,0.5405,0.7568,1.937,-1.5,0.13318,False
,Spear Of Shojin + Spear Of Shojin + Spear Of Shojin,50,0.002564102564102564,2.82,3.232,-0.053,-0.465,0.0,0.0001,0.091,0.28,0.52,0.8,1.728,-1.9,0.05765,False
,Nashors Tooth + Nashors Tooth + Spear Of Shojin,43,0.002205128205128205,2.791,3.236,-0.049,-0.494,0.0,0.0001,0.0585,0.3953,0.6279,0.7674,2.052,-1.58,0.11473,False
,Blue Buff + Morellonomicon + Void Staff,42,0.0021538461538461538,2.786,3.236,-0.049,-0.499,0.0,0.0001,0.0529,0.3571,0.5238,0.7619,1.846,-1.75,0.08004,False
,Blue Buff + Spear Of Shojin + Void Staff,84,0.0043076923076923075,3.036,3.241,-0.044,-0.249,0.0,0.0002,0.0172,0.3095,0.5,0.7262,1.93,-1.18,0.23783,False
,Rabadons Deathcap + Spear Of Shojin + Spear Of Shojin,43,0.002205128205128205,2.884,3.245,-0.04,-0.401,0.0,0.0001,0.0585,0.4419,0.5581,0.7674,2.18,-1.21,0.22805,False
,Jeweled Gauntlet + Nashors Tooth + Strikers Flail,42,0.0021538461538461538,2.905,3.248,-0.037,-0.38,0.0,0.0001,0.0291,0.2619,0.5238,0.7381,1.716,-1.43,0.15165,False
populaire,Blue Buff + Guinsoos Rageblade + Spear Of Shojin,148,0.007589743589743589,3.155,3.249,-0.036,-0.13,0.0,0.0003,0.0208,0.2635,0.4459,0.7297,1.927,-0.81,0.41559,False
,Adaptive Helm + Blue Buff + Void Staff,44,0.0022564102564102562,2.932,3.249,-0.036,-0.353,0.0,0.0001,0.0865,0.2955,0.4545,0.7955,1.827,-1.28,0.2004,False
,Rabadons Deathcap + Spear Of Shojin + Void Staff,74,0.0037948717948717947,3.081,3.252,-0.033,-0.204,0.0,0.0001,0.0613,0.2568,0.5,0.7703,1.964,-0.89,0.37305,False
,Nashors Tooth + Spear Of Shojin + Spear Of Shojin,67,0.003435897435897436,3.075,3.254,-0.031,-0.21,0.0,0.0001,0.0821,0.2537,0.4776,0.791,1.903,-0.9,0.3667,False
,Blue Buff + Rabadons Deathcap + Spear Of Shojin,73,0.0037435897435897435,3.11,3.257,-0.028,-0.175,0.0,0.0001,0.0581,0.2192,0.4658,0.7671,1.84,-0.81,0.41667,False
populaire,Morellonomicon + Spear Of Shojin + Void Staff,180,0.009230769230769232,3.2,3.258,-0.027,-0.085,0.0,0.0002,0.0077,0.2722,0.4833,0.7167,2.091,-0.54,0.58752,False
,Adaptive Helm + Archangels Staff + Spear Of Shojin,49,0.002512820512820513,3.061,3.26,-0.025,-0.224,0.0,0.0001,0.0869,0.3469,0.4694,0.7959,2.113,-0.74,0.45925,False
,Jeweled Gauntlet + Spear Of Shojin + Spear Of Shojin,77,0.003948717948717949,3.169,3.266,-0.019,-0.116,0.0,0.0001,0.0183,0.2468,0.5065,0.7273,2.041,-0.5,0.61846,False
,Guinsoos Rageblade + Red Buff + Spear Of Shojin,70,0.0035897435897435897,3.186,3.27,-0.015,-0.099,0.0,0.0001,0.0339,0.2857,0.4714,0.7429,2.086,-0.4,0.69123,False
,Nashors Tooth + Spear Of Shojin + Void Staff,52,0.0026666666666666666,3.212,3.276,-0.009,-0.073,0.0,0.0,0.0218,0.3462,0.4808,0.7308,2.187,-0.24,0.80902,False
populaire,Jeweled Gauntlet + Rabadons Deathcap + Spear Of Shojin,127,0.0065128205128205125,3.276,3.283,-0.002,-0.009,0.0,0.0,-0.0082,0.3386,0.4567,0.7008,2.233,-0.05,0.96255,False
,Guinsoos Rageblade + Morellonomicon + Spear Of Shojin,60,0.003076923076923077,3.267,3.282,-0.002,-0.018,0.0,0.0,0.0077,0.2833,0.4,0.7167,1.982,-0.07,0.94322,False
,Archangels Staff + Spear Of Shojin + Spear Of Shojin,45,0.002307692307692308,3.267,3.283,-0.002,-0.018,0.0,0.0,-0.0868,0.3333,0.5111,0.6222,2.164,-0.06,0.95493,False
,Blue Buff + Jeweled Gauntlet + Rabadons Deathcap,72,0.0036923076923076922,3.278,3.284,-0.001,-0.007,0.0,0.0,0.0271,0.3333,0.4167,0.7361,2.162,-0.03,0.97766,False
,Adaptive Helm + Morellonomicon + Spear Of Shojin,40,0.0020512820512820513,3.275,3.284,-0.001,-0.01,0.0,0.0,-0.009,0.275,0.5,0.7,2.061,-0.03,0.97574,False
,Jeweled Gauntlet + Nashors Tooth + Void Staff,66,0.003384615384615385,3.288,3.285,0.0,0.003,0.0,-0.0,-0.012,0.2879,0.4848,0.697,2.193,0.01,0.99128,False
,Adaptive Helm + Jeweled Gauntlet + Nashors Tooth,42,0.0021538461538461538,3.31,3.287,0.002,0.025,0.0,-0.0,0.0291,0.2619,0.4524,0.7381,2.11,0.08,0.93983,False
,Guinsoos Rageblade + Nashors Tooth + Spear Of Shojin,86,0.00441025641025641,3.314,3.29,0.005,0.029,0.0,-0.0,0.0468,0.2674,0.4302,0.7558,2.125,0.13,0.89942,False
populaire,Guinsoos Rageblade + Guinsoos Rageblade + Spear Of Shojin,153,0.007846153846153846,3.307,3.291,0.006,0.022,0.0,-0.0,-0.0096,0.268,0.4118,0.6993,2.014,0.14,0.89168,False
