group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Adaptive Helm,2391,0.12061138014527845,2.881,2.939,-0.346,-0.404,-0.322,0.0418,0.0804,0.3279,0.5299,0.7892,1.907,-9.66,0.0,True
pepite,Red Buff,881,0.0444410815173527,2.969,3.067,-0.218,-0.316,-0.178,0.0097,0.0642,0.3405,0.5096,0.773,2.032,-4.5,1e-05,True
populaire,Blue Buff,3236,0.1632364810330912,3.09,3.111,-0.174,-0.195,-0.119,0.0284,0.035,0.3084,0.4917,0.7438,2.031,-5.04,0.0,True
pepite,Emblem Invoker,498,0.025121065375302662,3.004,3.129,-0.156,-0.281,-0.099,0.0039,0.0563,0.3213,0.5181,0.7651,2.041,-3.03,0.00244,True
populaire,Archangels Staff,1630,0.08222356739305892,3.107,3.142,-0.143,-0.178,-0.073,0.0117,0.0237,0.3129,0.4988,0.7325,2.065,-3.33,0.00086,True
populaire,Morellonomicon,1312,0.06618240516545601,3.121,3.159,-0.126,-0.164,-0.05,0.0083,0.026,0.2995,0.4863,0.7348,2.034,-2.82,0.00485,True
populaire,Spear Of Shojin,7266,0.3665254237288136,3.156,3.163,-0.122,-0.128,-0.072,0.0446,0.0209,0.308,0.4811,0.7297,2.087,-4.48,1e-05,True
pepite,Quicksilver,105,0.005296610169491525,2.8,3.183,-0.102,-0.485,-0.083,0.0005,0.0436,0.4,0.6095,0.7524,2.095,-2.37,0.018,True
populaire,Void Staff,2408,0.12146892655367232,3.172,3.188,-0.097,-0.113,-0.026,0.0118,0.0225,0.2928,0.473,0.7313,2.057,-2.54,0.01114,True
populaire,Rabadons Deathcap,1653,0.08338377723970944,3.165,3.188,-0.097,-0.12,-0.017,0.0081,0.0335,0.2874,0.4688,0.7423,2.042,-2.28,0.02232,True
pepite,Emblem Spellweaver,221,0.011148103309120258,3.036,3.196,-0.089,-0.249,0.0,0.001,0.0197,0.371,0.5204,0.7285,2.137,-1.72,0.08535,False
pepite,Strikers Flail,331,0.016696933010492333,3.133,3.216,-0.069,-0.152,0.0,0.0012,0.0223,0.2991,0.4924,0.7311,2.092,-1.31,0.18991,False
pepite,Emblem Executioner,144,0.007263922518159807,3.076,3.229,-0.056,-0.209,0.0,0.0004,0.0134,0.3333,0.4931,0.7222,2.058,-1.21,0.2259,False
,Emblem Elderwood,106,0.0053470540758676355,3.104,3.247,-0.038,-0.181,0.0,0.0002,0.0459,0.3019,0.4434,0.7547,1.898,-0.98,0.32742,False
,Hand Of Justice,52,0.002623083131557708,3.0,3.252,-0.033,-0.285,0.0,0.0001,0.0604,0.25,0.5192,0.7692,1.922,-1.07,0.28574,False
,Hextech Gunblade,816,0.04116222760290557,3.239,3.254,-0.031,-0.046,0.0,0.0013,0.0216,0.2757,0.4632,0.7304,2.089,-0.62,0.53837,False
,Emblem Lunar,128,0.00645682001614205,3.164,3.255,-0.029,-0.121,0.0,0.0002,0.0256,0.25,0.4531,0.7344,1.956,-0.7,0.48612,False
,Giant Slayer,846,0.04267554479418886,3.273,3.277,-0.008,-0.012,0.0,0.0003,0.0134,0.2813,0.4574,0.7222,2.12,-0.16,0.87338,False
,Emblem Blossom,232,0.011702986279257466,3.263,3.277,-0.008,-0.022,0.0,0.0001,-0.0321,0.3233,0.4784,0.6767,2.176,-0.15,0.87843,False
,Emblem Inferno,136,0.006860371267150928,3.309,3.291,0.006,0.024,0.0,-0.0,-0.0176,0.2941,0.4706,0.6912,2.168,0.13,0.89795,False
populaire,Guinsoos Rageblade,2933,0.14795197740112995,3.293,3.292,0.007,0.008,0.0,-0.001,-0.0105,0.2878,0.4576,0.6983,2.127,0.18,0.85602,False
populaire,Nashors Tooth,2181,0.1100181598062954,3.294,3.293,0.008,0.009,0.0,-0.0009,-0.0091,0.2847,0.459,0.6997,2.121,0.2,0.84329,False
,Manazane,58,0.0029257465698143666,3.448,3.306,0.021,0.163,0.0,-0.0001,-0.0191,0.2241,0.3793,0.6897,1.958,0.63,0.52583,False
,Component Recurve Bow,215,0.0108454398708636,3.479,3.353,0.068,0.194,0.0,-0.0007,-0.0251,0.2419,0.414,0.6837,2.161,1.31,0.18988,False
,Component Tear Of The Goddess,216,0.010895883777239709,3.481,3.354,0.069,0.197,0.0,-0.0008,-0.0468,0.2407,0.4028,0.662,2.086,1.38,0.16841,False
,Dawncore,114,0.0057506053268765135,3.886,3.419,0.134,0.601,0.169,-0.0008,-0.0772,0.2544,0.3421,0.6316,2.35,2.72,0.00644,True
,Component Needlessly Large Rod,224,0.011299435028248588,3.795,3.469,0.184,0.51,0.226,-0.0021,-0.0927,0.1964,0.3393,0.6161,2.153,3.52,0.00042,True
populaire,Jeweled Gauntlet,3601,0.18164850686037126,3.512,3.489,0.204,0.227,0.15,-0.0371,-0.0426,0.2538,0.4157,0.6662,2.189,5.76,0.0,True
,Krakens Fury,47,0.002370863599677159,5.404,3.51,0.225,2.119,1.542,-0.0005,-0.4322,0.0638,0.1064,0.2766,2.018,7.19,0.0,True
