group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Eternal Pact,136,0.006361977826636105,3.346,3.301,0.014,0.059,0.0,-0.0001,-0.0019,0.2647,0.4412,0.7059,2.098,0.33,0.74506,False
populaire,Statikk Shiv,86,0.004023015390372831,3.453,3.315,0.028,0.167,0.0,-0.0001,-0.0334,0.1977,0.3837,0.6744,1.957,0.79,0.4309,False
populaire,Lich Bane,67,0.003134209664592787,3.642,3.335,0.048,0.355,0.0,-0.0002,-0.0809,0.2239,0.3881,0.6269,2.142,1.35,0.1757,False
,Mittens,40,0.0018711699490106188,3.875,3.337,0.05,0.588,0.0,-0.0001,-0.1078,0.225,0.4,0.6,2.368,1.57,0.11658,False
populaire,Zhonyas Paradox,46,0.002151845441362212,3.848,3.341,0.054,0.561,0.0,-0.0001,-0.0773,0.2391,0.3913,0.6304,2.312,1.64,0.1002,False
populaire,Gamblers Blade,94,0.004397249380174955,3.628,3.348,0.061,0.341,0.0,-0.0003,-0.0588,0.2128,0.3617,0.6489,2.073,1.59,0.11182,False
populaire,Ludens Tempest,45,0.0021050661926369464,4.156,3.37,0.083,0.869,0.185,-0.0002,-0.1744,0.1778,0.3333,0.5333,2.338,2.49,0.01275,True
populaire,Blighting Jewel,69,0.0032277681620433178,4.072,3.396,0.109,0.786,0.262,-0.0004,-0.2005,0.1884,0.3478,0.5072,2.215,2.94,0.00327,True
populaire,Navori Flickerblade,71,0.0033213266594938487,4.239,3.423,0.136,0.953,0.45,-0.0005,-0.2007,0.1549,0.2676,0.507,2.159,3.71,0.00021,True
populaire,Manazane,281,0.013144968891799598,3.776,3.481,0.194,0.489,0.237,-0.0025,-0.0708,0.1886,0.3452,0.637,2.138,3.81,0.00014,True
populaire,Dawncore,313,0.014641904851008093,3.84,3.521,0.234,0.553,0.305,-0.0034,-0.1007,0.2332,0.3323,0.607,2.231,4.36,1e-05,True
