group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Adaptive Helm,3572,0.16709547644664827,2.939,2.976,-0.31,-0.348,-0.278,0.0519,0.0747,0.32,0.5176,0.7825,1.947,-9.76,0.0,True
pepite,Tacticians Crown,246,0.011507695186415307,2.797,3.108,-0.179,-0.49,-0.247,0.0021,0.0768,0.3618,0.5732,0.7846,1.929,-3.96,8e-05,True
pepite,Red Buff,1605,0.07508069420405108,3.069,3.114,-0.172,-0.218,-0.114,0.0129,0.0436,0.3196,0.4935,0.7514,2.055,-4.1,4e-05,True
pepite,Quicksilver,408,0.019085933479908314,2.973,3.134,-0.153,-0.314,-0.12,0.0029,0.0471,0.2966,0.5343,0.7549,1.972,-3.18,0.00147,True
populaire,Blue Buff,4657,0.2178509613135613,3.135,3.148,-0.139,-0.152,-0.087,0.0303,0.0305,0.2991,0.4838,0.7382,2.048,-4.57,0.0,True
populaire,Morellonomicon,2078,0.09720727885110166,3.12,3.149,-0.138,-0.167,-0.075,0.0134,0.0338,0.2844,0.4899,0.7416,2.015,-3.58,0.00034,True
pepite,Protectors Vow,172,0.008046030780745662,2.826,3.155,-0.132,-0.461,-0.184,0.0011,0.0946,0.2965,0.5581,0.8023,1.844,-3.26,0.0011,True
populaire,Archangels Staff,2586,0.12097113720353651,3.15,3.17,-0.117,-0.136,-0.051,0.0142,0.0208,0.3067,0.4896,0.7285,2.084,-3.14,0.00168,True
pepite,Tacticians Cape,102,0.0047714833699770785,2.745,3.183,-0.104,-0.542,-0.149,0.0005,0.106,0.3922,0.598,0.8137,2.018,-2.7,0.00684,True
populaire,Void Staff,3517,0.16452261776675867,3.178,3.19,-0.097,-0.109,-0.035,0.016,0.023,0.2903,0.4723,0.7307,2.058,-2.9,0.00376,True
populaire,Spear Of Shojin,9499,0.4443560836412967,3.198,3.202,-0.085,-0.089,-0.038,0.0379,0.0147,0.3016,0.4747,0.7225,2.102,-3.43,0.0006,True
populaire,Rabadons Deathcap,2597,0.12148570893951444,3.242,3.248,-0.039,-0.045,0.0,0.0047,0.0138,0.2838,0.4582,0.7216,2.093,-1.04,0.30045,False
pepite,Strikers Flail,786,0.03676848949805866,3.271,3.277,-0.01,-0.016,0.0,0.0004,0.0111,0.271,0.4529,0.7188,2.093,-0.21,0.83432,False
,Titans Resolve,126,0.00589418533938345,3.262,3.281,-0.006,-0.025,0.0,0.0,0.0145,0.3175,0.4841,0.7222,2.233,-0.13,0.90029,False
,Hextech Gunblade,1513,0.07077700332132666,3.282,3.283,-0.004,-0.005,0.0,0.0003,0.0107,0.2564,0.4527,0.7184,2.067,-0.08,0.93233,False
populaire,Nashors Tooth,3159,0.14777564672311364,3.327,3.323,0.036,0.04,0.0,-0.0053,-0.0126,0.2735,0.4489,0.6952,2.113,1.0,0.31552,False
,Evenshroud,41,0.0019179491977358843,3.707,3.324,0.037,0.42,0.0,-0.0001,-0.0736,0.1463,0.3902,0.6341,2.086,1.29,0.19741,False
,Crownguard,132,0.006174860831735043,3.47,3.33,0.043,0.183,0.0,-0.0003,-0.0411,0.25,0.4167,0.6667,2.144,0.98,0.32878,False
,Steraks Gage,50,0.0023389624362632738,3.72,3.332,0.045,0.433,0.0,-0.0001,-0.0678,0.14,0.38,0.64,2.05,1.49,0.13564,False
,Dragons Claw,45,0.0021050661926369464,3.778,3.334,0.047,0.491,0.0,-0.0001,-0.1078,0.1111,0.3333,0.6,1.884,1.75,0.08094,False
,Component Negatron Cloak,43,0.0020115076951864154,3.837,3.337,0.05,0.55,0.0,-0.0001,-0.0566,0.186,0.3256,0.6512,2.282,1.58,0.11406,False
,Ionic Spark,85,0.003976236141647565,3.588,3.337,0.05,0.301,0.0,-0.0002,-0.0254,0.1412,0.3412,0.6824,1.849,1.5,0.13395,False
,Edge Of Night,250,0.011694812181316369,3.448,3.346,0.059,0.161,0.0,-0.0007,-0.0398,0.248,0.416,0.668,2.078,1.22,0.2231,False
,Steadfast Heart,52,0.0024325209337138047,3.865,3.35,0.063,0.578,0.021,-0.0002,-0.0539,0.1538,0.3269,0.6538,2.048,2.03,0.0419,True
,Hand Of Justice,434,0.020302193946765214,3.438,3.363,0.076,0.151,0.0,-0.0015,-0.0373,0.2604,0.4401,0.6705,2.178,1.43,0.15281,False
,Giant Slayer,1605,0.07508069420405108,3.385,3.364,0.078,0.098,0.0,-0.0058,-0.0081,0.2567,0.4386,0.6997,2.137,1.78,0.07573,False
,Sunfire Cape,81,0.003789119146746503,3.84,3.375,0.088,0.553,0.108,-0.0003,-0.0781,0.1605,0.2963,0.6296,2.039,2.43,0.01495,True
,Component Recurve Bow,503,0.023529962108808533,3.451,3.376,0.089,0.164,0.0,-0.0021,-0.0278,0.2545,0.4215,0.6799,2.153,1.69,0.09044,False
,Component B F Sword,190,0.00888805725780044,3.616,3.388,0.101,0.329,0.018,-0.0009,-0.0341,0.2,0.4,0.6737,2.175,2.08,0.03794,True
,Component Sparring Gloves,202,0.009449408242503626,3.624,3.395,0.108,0.337,0.036,-0.001,-0.0494,0.2079,0.401,0.6584,2.173,2.19,0.02823,True
populaire,Guinsoos Rageblade,4411,0.20634326612714599,3.415,3.404,0.117,0.128,0.059,-0.0242,-0.0351,0.2698,0.4369,0.6726,2.161,3.61,0.00031,True
,Component Giants Belt,51,0.0023857416849885392,4.431,3.409,0.122,1.144,0.56,-0.0003,-0.198,0.098,0.2549,0.5098,2.126,3.84,0.00012,True
,Spirit Visage,88,0.004116573887823362,4.057,3.418,0.131,0.77,0.317,-0.0005,-0.151,0.1364,0.3295,0.5568,2.166,3.33,0.00087,True
,Gargoyle Stoneplate,104,0.004865041867427609,4.019,3.43,0.143,0.732,0.29,-0.0007,-0.1501,0.1827,0.3365,0.5577,2.295,3.25,0.00117,True
,Warmogs Armor,108,0.005052158862328671,4.028,3.436,0.149,0.741,0.298,-0.0008,-0.1615,0.1667,0.3704,0.5463,2.343,3.28,0.00104,True
,Bloodthirster,157,0.007344342049866679,3.847,3.437,0.15,0.56,0.205,-0.0011,-0.0899,0.2102,0.3631,0.6178,2.266,3.09,0.00202,True
,Component Tear Of The Goddess,621,0.029049913458389857,3.634,3.493,0.206,0.348,0.177,-0.006,-0.0717,0.2093,0.3945,0.6361,2.138,4.0,6e-05,True
,Infinity Edge,231,0.010806006455536324,3.883,3.496,0.209,0.596,0.309,-0.0023,-0.106,0.1905,0.3723,0.6017,2.219,4.06,5e-05,True
,Last Whisper,302,0.014127333115030172,3.801,3.5,0.213,0.514,0.263,-0.003,-0.1018,0.1987,0.3808,0.606,2.218,4.0,6e-05,True
,Component Needlessly Large Rod,591,0.027646535996631895,3.657,3.501,0.214,0.37,0.195,-0.0059,-0.0699,0.22,0.3723,0.6379,2.14,4.14,3e-05,True
populaire,Jeweled Gauntlet,4943,0.23122982644898724,3.579,3.555,0.268,0.292,0.224,-0.0621,-0.0527,0.2434,0.4046,0.6551,2.203,8.45,0.0,True
,Deathblade,123,0.0057538475932076534,4.61,3.582,0.296,1.323,0.94,-0.0017,-0.285,0.1057,0.2602,0.4228,2.163,6.77,0.0,True
,Krakens Fury,197,0.009215511998877298,4.269,3.597,0.31,0.982,0.66,-0.0029,-0.2052,0.1624,0.3046,0.5025,2.298,5.97,0.0,True
