group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Invoker,984,0.05046153846153846,3.087,3.143,-0.141,-0.198,-0.065,0.0071,0.04,0.3171,0.498,0.749,2.07,-2.92,0.00351,True
populaire,Emblem Flora Fatalis,327,0.01676923076923077,3.141,3.219,-0.066,-0.144,0.0,0.0011,0.028,0.2875,0.4801,0.737,2.049,-1.26,0.20708,False
pepite,Emblem Juggernaut,52,0.0026666666666666666,2.865,3.236,-0.049,-0.42,0.0,0.0001,0.0218,0.3077,0.5577,0.7308,1.798,-1.68,0.093,False
pepite,Emblem Fae,179,0.009179487179487179,3.134,3.237,-0.047,-0.151,0.0,0.0004,-0.0051,0.3128,0.4972,0.7039,2.045,-0.98,0.32611,False
populaire,Emblem Lunar,443,0.02271794871794872,3.228,3.255,-0.03,-0.057,0.0,0.0007,0.0021,0.2686,0.4718,0.7111,2.056,-0.58,0.56455,False
populaire,Emblem Spellweaver,590,0.030256410256410255,3.241,3.258,-0.027,-0.044,0.0,0.0008,0.0164,0.2932,0.4441,0.7254,2.082,-0.51,0.6112,False
pepite,Emblem Defender,59,0.0030256410256410257,3.119,3.263,-0.022,-0.166,0.0,0.0001,0.0368,0.2373,0.4915,0.7458,1.914,-0.67,0.50539,False
populaire,Emblem Executioner,440,0.022564102564102566,3.252,3.268,-0.017,-0.033,0.0,0.0004,-0.0203,0.3182,0.4659,0.6886,2.126,-0.32,0.75001,False
pepite,Emblem Hunter,82,0.004205128205128205,3.268,3.282,-0.003,-0.017,0.0,0.0,0.0471,0.2317,0.4878,0.7561,2.096,-0.07,0.94283,False
populaire,Emblem Sprykin,189,0.009692307692307693,3.275,3.282,-0.003,-0.01,0.0,0.0,-0.0211,0.3069,0.4921,0.6878,2.204,-0.06,0.95151,False
pepite,Emblem Vanguard,121,0.006205128205128205,3.281,3.284,-0.001,-0.004,0.0,0.0,0.0018,0.2066,0.4711,0.7107,1.968,-0.02,0.98253,False
,Emblem Brawler,46,0.002358974358974359,3.283,3.285,-0.0,-0.002,0.0,0.0,-0.0133,0.2609,0.5,0.6957,2.193,-0.01,0.9943,False
,Emblem Slayer,70,0.0035897435897435897,3.3,3.287,0.002,0.015,0.0,-0.0,0.0339,0.1857,0.4857,0.7429,1.937,0.06,0.94819,False
populaire,Emblem Elderwood,416,0.021333333333333333,3.341,3.314,0.029,0.056,0.0,-0.0006,0.005,0.2644,0.4207,0.7139,2.041,0.56,0.57721,False
populaire,Emblem Rapidfire,287,0.014717948717948718,3.369,3.321,0.036,0.084,0.0,-0.0005,0.0123,0.1951,0.4216,0.7213,1.948,0.73,0.46663,False
populaire,Emblem Blossom,555,0.02846153846153846,3.35,3.323,0.038,0.065,0.0,-0.0011,-0.0243,0.2865,0.4595,0.6847,2.179,0.69,0.49052,False
,Emblem Primal,144,0.0073846153846153844,3.486,3.339,0.054,0.201,0.0,-0.0004,-0.0215,0.2083,0.375,0.6875,2.003,1.2,0.23007,False
,Emblem Blackthorn,180,0.009230769230769232,3.483,3.348,0.063,0.198,0.0,-0.0006,-0.0145,0.2833,0.4111,0.6944,2.255,1.18,0.23961,False
,Emblem Flora Fatalis Augment,97,0.0049743589743589745,3.711,3.37,0.085,0.426,0.0,-0.0004,-0.0698,0.1959,0.3608,0.6392,2.22,1.89,0.05905,False
,Emblem Coven,78,0.004,4.0,3.404,0.119,0.715,0.224,-0.0005,-0.1705,0.2051,0.3462,0.5385,2.207,2.86,0.00429,True
populaire,Emblem Inferno,476,0.02441025641025641,3.546,3.429,0.144,0.261,0.063,-0.0035,-0.0514,0.2563,0.4055,0.6576,2.187,2.58,0.00993,True
