group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Adaptive Helm + Blue Buff,632,0.03241025641025641,2.709,2.929,-0.356,-0.576,-0.433,0.0115,0.1091,0.3481,0.5696,0.818,1.801,-7.87,0.0,True
populaire,Adaptive Helm + Spear Of Shojin,1031,0.05287179487179487,2.857,2.975,-0.31,-0.428,-0.308,0.0164,0.0815,0.3395,0.5306,0.7905,1.9,-7.0,0.0,True
populaire,Blue Buff + Spear Of Shojin,1140,0.05846153846153846,2.982,3.059,-0.226,-0.303,-0.188,0.0132,0.0577,0.3096,0.5026,0.7667,1.925,-5.14,0.0,True
pepite,Red Buff + Spear Of Shojin,496,0.025435897435897435,2.883,3.06,-0.225,-0.402,-0.223,0.0057,0.0894,0.3569,0.5242,0.7984,2.005,-4.4,1e-05,True
pepite,Adaptive Helm + Void Staff,283,0.014512820512820513,2.802,3.082,-0.203,-0.483,-0.271,0.0029,0.1143,0.3392,0.5088,0.8233,1.8,-4.47,1e-05,True
pepite,Adaptive Helm + Red Buff,100,0.005128205128205128,2.4,3.104,-0.181,-0.885,-0.569,0.0009,0.171,0.39,0.62,0.88,1.606,-5.49,0.0,True
pepite,Blue Buff + Void Staff,418,0.021435897435897435,2.978,3.126,-0.159,-0.306,-0.115,0.0034,0.0638,0.3134,0.5072,0.7727,1.974,-3.14,0.00171,True
populaire,Archangels Staff + Spear Of Shojin,732,0.03753846153846154,3.051,3.132,-0.153,-0.234,-0.081,0.0057,0.0287,0.3347,0.5178,0.7377,2.076,-3.0,0.00273,True
pepite,Emblem Invoker + Blue Buff,137,0.007025641025641026,2.701,3.133,-0.152,-0.584,-0.284,0.0011,0.1304,0.3285,0.5693,0.8394,1.781,-3.82,0.00013,True
,Archangels Staff + Blue Buff,326,0.016717948717948718,2.954,3.134,-0.151,-0.331,-0.109,0.0025,0.0487,0.3466,0.5245,0.7577,2.026,-2.92,0.00347,True
,Adaptive Helm + Morellonomicon,206,0.010564102564102564,2.854,3.136,-0.149,-0.431,-0.173,0.0016,0.092,0.3058,0.5485,0.801,1.877,-3.27,0.00107,True
,Blue Buff + Morellonomicon,255,0.013076923076923076,2.941,3.149,-0.136,-0.344,-0.1,0.0018,0.044,0.3412,0.5294,0.7529,1.97,-2.77,0.00569,True
,Archangels Staff + Void Staff,224,0.011487179487179488,2.92,3.152,-0.133,-0.365,-0.115,0.0015,0.0812,0.3036,0.5089,0.7902,1.898,-2.86,0.00422,True
,Emblem Invoker + Adaptive Helm,138,0.007076923076923077,2.775,3.152,-0.133,-0.51,-0.188,0.0009,0.0881,0.3333,0.5797,0.7971,1.919,-3.11,0.00189,True
,Morellonomicon + Spear Of Shojin,618,0.03169230769230769,3.073,3.155,-0.13,-0.212,-0.048,0.0041,0.0402,0.3091,0.4984,0.7492,2.042,-2.54,0.01107,True
,Blue Buff + Rabadons Deathcap,403,0.020666666666666667,3.03,3.155,-0.13,-0.255,-0.059,0.0027,0.0627,0.2953,0.4988,0.7717,1.986,-2.55,0.01079,True
,Adaptive Helm + Nashors Tooth,205,0.010512820512820513,2.907,3.155,-0.13,-0.378,-0.106,0.0014,0.0764,0.3268,0.5463,0.7854,1.97,-2.73,0.00636,True
,Quicksilver + Spear Of Shojin,96,0.004923076923076923,2.625,3.155,-0.13,-0.66,-0.258,0.0006,0.0827,0.4271,0.6458,0.7917,2.001,-3.22,0.00127,True
,Archangels Staff + Red Buff,70,0.0035897435897435897,2.443,3.157,-0.128,-0.842,-0.399,0.0005,0.1053,0.4714,0.6857,0.8143,1.887,-3.73,0.0002,True
,Adaptive Helm + Archangels Staff,229,0.011743589743589744,2.961,3.165,-0.12,-0.324,-0.061,0.0014,0.0771,0.3319,0.5284,0.786,2.018,-2.42,0.0157,True
,Adaptive Helm + Hextech Gunblade,111,0.005692307692307693,2.757,3.168,-0.117,-0.528,-0.193,0.0007,0.1108,0.3604,0.5405,0.8198,1.792,-3.09,0.00198,True
,Adaptive Helm + Rabadons Deathcap,231,0.011846153846153847,2.974,3.169,-0.116,-0.311,-0.065,0.0014,0.0789,0.2857,0.5022,0.7879,1.893,-2.48,0.01321,True
,Blue Buff + Red Buff,197,0.010102564102564103,2.944,3.171,-0.114,-0.341,-0.047,0.0012,0.0575,0.3756,0.5178,0.7665,2.095,-2.27,0.0231,True
,Red Buff + Void Staff,203,0.01041025641025641,2.97,3.177,-0.108,-0.314,-0.045,0.0011,0.0546,0.3202,0.5074,0.7635,1.947,-2.29,0.0222,True
,Adaptive Helm + Guinsoos Rageblade,295,0.015128205128205128,3.051,3.184,-0.101,-0.234,-0.006,0.0015,0.0537,0.3085,0.4915,0.7627,1.983,-2.01,0.04441,False
,Archangels Staff + Guinsoos Rageblade,269,0.013794871794871795,3.048,3.188,-0.097,-0.237,0.0,0.0013,0.0122,0.3086,0.5167,0.7212,2.017,-1.91,0.05619,False
populaire,Rabadons Deathcap + Spear Of Shojin,739,0.0378974358974359,3.138,3.189,-0.096,-0.147,0.0,0.0036,0.0407,0.295,0.479,0.7497,2.053,-1.91,0.05642,False
,Giant Slayer + Spear Of Shojin,368,0.018871794871794873,3.087,3.189,-0.096,-0.198,0.0,0.0018,0.0329,0.3261,0.5054,0.7418,2.118,-1.78,0.07568,False
,Emblem Invoker + Spear Of Shojin,235,0.012051282051282051,3.051,3.197,-0.088,-0.234,0.0,0.0011,0.0442,0.3234,0.4979,0.7532,2.064,-1.73,0.08436,False
,Archangels Staff + Morellonomicon,125,0.00641025641025641,2.928,3.198,-0.087,-0.357,-0.021,0.0006,0.051,0.336,0.504,0.76,1.907,-2.08,0.03707,False
,Emblem Spellweaver + Spear Of Shojin,135,0.006923076923076923,2.978,3.206,-0.079,-0.307,0.0,0.0005,0.0392,0.3852,0.5185,0.7481,2.134,-1.67,0.09561,False
,Emblem Spellweaver + Blue Buff,52,0.0026666666666666666,2.615,3.206,-0.079,-0.67,-0.163,0.0002,0.1179,0.3846,0.5962,0.8269,1.862,-2.59,0.00964,True
,Blue Buff + Nashors Tooth,388,0.019897435897435898,3.129,3.207,-0.078,-0.156,0.0,0.0015,0.0075,0.3196,0.4742,0.7165,2.042,-1.49,0.13626,False
populaire,Spear Of Shojin + Void Staff,1165,0.059743589743589745,3.187,3.212,-0.073,-0.098,0.0,0.0044,0.0181,0.2987,0.4738,0.727,2.088,-1.55,0.12053,False
,Guinsoos Rageblade + Rabadons Deathcap,174,0.008923076923076922,3.052,3.213,-0.072,-0.233,0.0,0.0006,0.0382,0.2701,0.5287,0.7471,1.972,-1.55,0.12063,False
,Blue Buff + Giant Slayer,165,0.008461538461538461,3.042,3.213,-0.072,-0.242,0.0,0.0006,0.0062,0.3455,0.5091,0.7152,2.04,-1.52,0.12849,False
,Rabadons Deathcap + Red Buff,73,0.0037435897435897435,2.849,3.216,-0.069,-0.436,-0.001,0.0003,0.1129,0.3151,0.5205,0.8219,1.892,-1.96,0.0497,False
,Adaptive Helm + Giant Slayer,95,0.004871794871794872,2.937,3.217,-0.068,-0.348,0.0,0.0003,0.1226,0.2526,0.4737,0.8316,1.752,-1.93,0.05365,False
,Guinsoos Rageblade + Nashors Tooth,253,0.012974358974358974,3.126,3.223,-0.062,-0.158,0.0,0.0008,0.0341,0.336,0.498,0.7431,2.174,-1.15,0.24926,False
,Guinsoos Rageblade + Void Staff,272,0.013948717948717949,3.14,3.225,-0.06,-0.145,0.0,0.0008,0.0153,0.3088,0.4926,0.7243,2.069,-1.15,0.2505,False
,Archangels Staff + Nashors Tooth,147,0.007538461538461538,3.102,3.235,-0.05,-0.183,0.0,0.0004,0.0053,0.3265,0.5034,0.7143,2.092,-1.06,0.29107,False
,Spear Of Shojin + Strikers Flail,157,0.008051282051282051,3.115,3.236,-0.049,-0.17,0.0,0.0004,0.0299,0.3312,0.4904,0.7389,2.174,-0.98,0.3282,False
,Nashors Tooth + Void Staff,243,0.012461538461538461,3.16,3.237,-0.048,-0.124,0.0,0.0006,0.0112,0.321,0.4856,0.7202,2.105,-0.92,0.35979,False
,Nashors Tooth + Strikers Flail,94,0.004820512820512821,3.043,3.238,-0.047,-0.242,0.0,0.0002,0.0357,0.2447,0.5,0.7447,1.856,-1.26,0.2069,False
,Archangels Staff + Hextech Gunblade,121,0.006205128205128205,3.091,3.239,-0.046,-0.194,0.0,0.0003,0.0348,0.2727,0.4793,0.7438,1.946,-1.09,0.2744,False
,Guinsoos Rageblade + Morellonomicon,166,0.008512820512820513,3.139,3.241,-0.044,-0.146,0.0,0.0004,0.044,0.2771,0.4518,0.753,1.91,-0.98,0.32605,False
,Hextech Gunblade + Spear Of Shojin,309,0.015846153846153847,3.184,3.241,-0.044,-0.1,0.0,0.0007,0.0224,0.3042,0.4757,0.7314,2.114,-0.83,0.40712,False
,Emblem Lunar + Spear Of Shojin,92,0.004717948717948718,3.054,3.241,-0.044,-0.231,0.0,0.0002,0.041,0.2609,0.4783,0.75,1.896,-1.16,0.2448,False
,Giant Slayer + Red Buff,56,0.002871794871794872,2.946,3.242,-0.043,-0.338,0.0,0.0001,0.0767,0.3214,0.5,0.7857,1.913,-1.32,0.18612,False
,Giant Slayer + Nashors Tooth,67,0.003435897435897436,3.045,3.25,-0.035,-0.24,0.0,0.0001,0.0373,0.2985,0.4925,0.7463,1.92,-1.02,0.30681,False
,Archangels Staff + Giant Slayer,75,0.0038461538461538464,3.067,3.25,-0.035,-0.218,0.0,0.0001,0.0644,0.3067,0.4667,0.7733,1.962,-0.96,0.33639,False
,Emblem Executioner + Nashors Tooth,42,0.0021538461538461538,2.929,3.25,-0.035,-0.356,0.0,0.0001,0.0767,0.3095,0.5238,0.7857,1.957,-1.18,0.23845,False
,Morellonomicon + Rabadons Deathcap,132,0.00676923076923077,3.152,3.251,-0.034,-0.133,0.0,0.0002,0.0259,0.3106,0.4545,0.7348,2.036,-0.75,0.4531,False
populaire,Guinsoos Rageblade + Spear Of Shojin,1863,0.09553846153846154,3.245,3.252,-0.033,-0.04,0.0,0.0032,-0.0063,0.3017,0.4616,0.7026,2.116,-0.78,0.43373,False
,Guinsoos Rageblade + Red Buff,151,0.007743589743589744,3.166,3.252,-0.033,-0.119,0.0,0.0003,0.0195,0.298,0.4702,0.7285,2.041,-0.72,0.47413,False
,Emblem Invoker + Guinsoos Rageblade,80,0.0041025641025641026,3.1,3.253,-0.031,-0.185,0.0,0.0001,0.016,0.325,0.5125,0.725,2.119,-0.78,0.43598,False
,Emblem Elderwood + Spear Of Shojin,62,0.0031794871794871794,3.065,3.255,-0.03,-0.22,0.0,0.0001,0.0652,0.2903,0.4839,0.7742,1.925,-0.9,0.3682,False
,Emblem Invoker + Nashors Tooth,48,0.0024615384615384616,3.021,3.256,-0.029,-0.264,0.0,0.0001,0.041,0.2917,0.4375,0.75,1.82,-1.0,0.31552,False
,Hextech Gunblade + Nashors Tooth,74,0.0037948717948717947,3.108,3.257,-0.028,-0.177,0.0,0.0001,0.0478,0.2838,0.4459,0.7568,1.949,-0.78,0.43619,False
,Jeweled Gauntlet + Strikers Flail,206,0.010564102564102564,3.209,3.259,-0.026,-0.076,0.0,0.0003,-0.0002,0.3107,0.4854,0.7087,2.181,-0.5,0.61787,False
,Morellonomicon + Void Staff,433,0.022205128205128204,3.24,3.261,-0.024,-0.045,0.0,0.0005,-0.0069,0.2748,0.455,0.7021,2.043,-0.45,0.6524,False
,Emblem Inferno + Spear Of Shojin,109,0.005589743589743589,3.174,3.261,-0.024,-0.111,0.0,0.0001,0.0158,0.3119,0.4862,0.7248,2.107,-0.55,0.5846,False
,Giant Slayer + Rabadons Deathcap,81,0.004153846153846154,3.148,3.261,-0.024,-0.137,0.0,0.0001,0.0565,0.3086,0.4444,0.7654,2.025,-0.61,0.54421,False
,Hextech Gunblade + Morellonomicon,89,0.004564102564102564,3.169,3.263,-0.022,-0.116,0.0,0.0001,0.0214,0.3146,0.5281,0.7303,2.204,-0.5,0.61915,False
,Emblem Blossom + Void Staff,62,0.0031794871794871794,3.129,3.264,-0.021,-0.156,0.0,0.0001,-0.0316,0.2903,0.5161,0.6774,2.052,-0.6,0.55031,False
,Hextech Gunblade + Void Staff,146,0.007487179487179487,3.212,3.265,-0.02,-0.073,0.0,0.0001,0.0239,0.2945,0.4795,0.7329,2.13,-0.41,0.68158,False
,Blue Buff + Component Tear Of The Goddess,71,0.003641025641025641,3.169,3.267,-0.018,-0.116,0.0,0.0001,-0.0047,0.3239,0.4789,0.7042,2.089,-0.47,0.64081,False
,Emblem Spellweaver + Void Staff,45,0.002307692307692308,3.133,3.269,-0.016,-0.152,0.0,0.0,-0.0423,0.3778,0.4889,0.6667,2.061,-0.49,0.6222,False
,Archangels Staff + Rabadons Deathcap,188,0.009641025641025642,3.245,3.272,-0.013,-0.04,0.0,0.0001,0.0197,0.2713,0.4628,0.7287,2.074,-0.26,0.79122,False
,Hextech Gunblade + Red Buff,42,0.0021538461538461538,3.214,3.278,-0.007,-0.071,0.0,0.0,0.0291,0.3333,0.4524,0.7381,2.155,-0.21,0.83195,False
,Emblem Blossom + Blue Buff,49,0.002512820512820513,3.224,3.278,-0.007,-0.06,0.0,0.0,-0.0355,0.4082,0.5102,0.6735,2.323,-0.18,0.85568,False
,Giant Slayer + Morellonomicon,85,0.004358974358974359,3.259,3.28,-0.005,-0.026,0.0,0.0,0.0204,0.2706,0.4824,0.7294,2.132,-0.11,0.91032,False
,Rabadons Deathcap + Void Staff,251,0.012871794871794871,3.275,3.281,-0.004,-0.01,0.0,0.0001,0.0082,0.247,0.4462,0.7171,2.026,-0.08,0.93795,False
populaire,Nashors Tooth + Spear Of Shojin,844,0.04328205128205128,3.283,3.284,-0.001,-0.002,0.0,0.0001,0.0031,0.2938,0.4633,0.7121,2.143,-0.02,0.98148,False
,Blue Buff + Hextech Gunblade,173,0.008871794871794871,3.283,3.284,-0.001,-0.002,0.0,0.0,0.0309,0.2428,0.4335,0.7399,2.047,-0.01,0.9914,False
,Blue Buff + Guinsoos Rageblade,399,0.02046153846153846,3.286,3.285,0.0,0.001,0.0,-0.0,-0.0022,0.2707,0.4561,0.7068,2.087,0.01,0.99402,False
,Hextech Gunblade + Rabadons Deathcap,84,0.0043076923076923075,3.321,3.291,0.006,0.037,0.0,-0.0,-0.0066,0.2143,0.4405,0.7024,1.965,0.17,0.86512,False
,Manazane + Spear Of Shojin,44,0.0022564102564102562,3.341,3.291,0.006,0.056,0.0,-0.0,0.0183,0.2045,0.4091,0.7273,1.87,0.2,0.84281,False
,Component Recurve Bow + Guinsoos Rageblade,49,0.002512820512820513,3.367,3.294,0.009,0.082,0.0,-0.0,-0.0763,0.3469,0.4898,0.6327,2.353,0.24,0.80652,False
,Giant Slayer + Void Staff,130,0.006666666666666667,3.338,3.298,0.013,0.054,0.0,-0.0001,0.0064,0.2538,0.4538,0.7154,2.096,0.29,0.77161,False
,Emblem Blossom + Spear Of Shojin,134,0.006871794871794872,3.343,3.3,0.015,0.058,0.0,-0.0001,-0.0597,0.3284,0.4478,0.6493,2.172,0.31,0.75654,False
,Emblem Executioner + Spear Of Shojin,89,0.004564102564102564,3.371,3.301,0.016,0.086,0.0,-0.0001,-0.0573,0.3034,0.4382,0.6517,2.154,0.38,0.70742,False
,Emblem Inferno + Guinsoos Rageblade,41,0.0021025641025641025,3.463,3.302,0.017,0.178,0.0,-0.0,-0.0504,0.2683,0.439,0.6585,2.243,0.51,0.61063,False
,Emblem Invoker + Jeweled Gauntlet,105,0.005384615384615384,3.39,3.307,0.022,0.106,0.0,-0.0001,-0.0042,0.2667,0.4476,0.7048,2.236,0.48,0.62941,False
,Nashors Tooth + Rabadons Deathcap,172,0.00882051282051282,3.36,3.308,0.023,0.076,0.0,-0.0002,-0.0113,0.2442,0.4186,0.6977,2.06,0.48,0.63207,False
,Morellonomicon + Nashors Tooth,86,0.00441025641025641,3.43,3.311,0.026,0.145,0.0,-0.0001,-0.0346,0.2209,0.4302,0.6744,2.026,0.66,0.50703,False
,Component Recurve Bow + Spear Of Shojin,141,0.007230769230769231,3.397,3.315,0.03,0.112,0.0,-0.0002,-0.0068,0.2695,0.4255,0.7021,2.17,0.61,0.54041,False
,Component Tear Of The Goddess + Spear Of Shojin,135,0.006923076923076923,3.407,3.316,0.031,0.122,0.0,-0.0002,-0.0127,0.2222,0.4148,0.6963,2.041,0.69,0.48732,False
,Guinsoos Rageblade + Hextech Gunblade,146,0.007487179487179487,3.418,3.321,0.036,0.133,0.0,-0.0003,0.0034,0.2534,0.4589,0.7123,2.248,0.71,0.47642,False
,Blue Buff + Component Recurve Bow,49,0.002512820512820513,3.612,3.321,0.037,0.327,0.0,-0.0001,-0.0559,0.2449,0.4082,0.6531,2.293,1.0,0.31819,False
,Adaptive Helm + Jeweled Gauntlet,362,0.018564102564102566,3.365,3.323,0.038,0.08,0.0,-0.0007,-0.0184,0.2459,0.4282,0.6906,2.05,0.73,0.4638,False
,Giant Slayer + Hextech Gunblade,60,0.003076923076923077,3.567,3.322,0.038,0.282,0.0,-0.0001,-0.009,0.2167,0.4333,0.7,2.239,0.97,0.33032,False
,Jeweled Gauntlet + Red Buff,144,0.0073846153846153844,3.451,3.33,0.045,0.166,0.0,-0.0003,-0.0215,0.2639,0.3889,0.6875,2.114,0.94,0.3465,False
,Emblem Blossom + Jeweled Gauntlet,47,0.0024102564102564104,3.936,3.355,0.07,0.651,0.0,-0.0002,-0.1345,0.2128,0.3617,0.5745,2.338,1.91,0.05637,False
,Emblem Spellweaver + Jeweled Gauntlet,45,0.002307692307692308,3.978,3.357,0.072,0.693,0.002,-0.0002,-0.109,0.1778,0.4,0.6,2.362,1.97,0.04927,False
,Giant Slayer + Jeweled Gauntlet,225,0.011538461538461539,3.502,3.364,0.079,0.217,0.0,-0.0009,0.0021,0.2311,0.3956,0.7111,2.142,1.51,0.13019,False
,Hextech Gunblade + Jeweled Gauntlet,195,0.01,3.538,3.369,0.085,0.254,0.0,-0.0008,-0.0218,0.2359,0.4103,0.6872,2.163,1.63,0.10331,False
,Jeweled Gauntlet + Morellonomicon,210,0.010769230769230769,3.533,3.372,0.087,0.248,0.0,-0.0009,-0.028,0.2381,0.4048,0.681,2.187,1.64,0.10143,False
,Dawncore + Spear Of Shojin,84,0.0043076923076923075,3.833,3.382,0.097,0.548,0.038,-0.0004,-0.0899,0.2857,0.3452,0.619,2.385,2.1,0.03536,False
,Jeweled Gauntlet + Rabadons Deathcap,407,0.02087179487179487,3.499,3.394,0.109,0.214,0.003,-0.0023,-0.0284,0.2629,0.3882,0.6806,2.145,1.99,0.04639,False
,Guinsoos Rageblade + Jeweled Gauntlet,415,0.02128205128205128,3.501,3.396,0.111,0.216,0.005,-0.0024,-0.056,0.2651,0.4169,0.653,2.172,2.01,0.04458,False
,Jeweled Gauntlet + Void Staff,476,0.02441025641025641,3.511,3.409,0.124,0.226,0.033,-0.003,-0.0325,0.2353,0.3992,0.6765,2.119,2.3,0.02171,True
