group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Unique Trait,2900,0.14628732849071832,2.629,2.708,-0.577,-0.656,-0.58,0.0845,0.1016,0.4203,0.6097,0.8103,1.937,-16.84,0.0,True
populaire,Inferno,5968,0.30104923325262306,2.741,2.775,-0.51,-0.544,-0.487,0.1536,0.0895,0.3874,0.5714,0.7983,1.94,-18.61,0.0,True
populaire,Draven Unique Trait,5161,0.2603410008071025,2.796,2.831,-0.454,-0.489,-0.426,0.1181,0.0721,0.4005,0.5724,0.7809,2.031,-15.27,0.0,True
pepite,Executioner,491,0.024767958030669893,2.477,2.838,-0.447,-0.808,-0.655,0.0111,0.1425,0.4053,0.613,0.8513,1.698,-10.35,0.0,True
populaire,Emerald,10370,0.5231033091202583,2.841,2.857,-0.428,-0.444,-0.397,0.2239,0.0775,0.3554,0.5482,0.7863,1.956,-18.26,0.0,True
pepite,Invoker,539,0.027189265536723163,2.56,2.867,-0.418,-0.725,-0.581,0.0114,0.1521,0.3321,0.5993,0.8609,1.669,-9.87,0.0,True
pepite,Apex Predator,4023,0.20293583535108958,2.852,2.891,-0.394,-0.433,-0.364,0.0799,0.062,0.3771,0.5558,0.7708,2.017,-12.31,0.0,True
pepite,Riftbeast,232,0.011702986279257466,2.25,2.903,-0.382,-1.035,-0.867,0.0045,0.2222,0.3362,0.6853,0.931,1.286,-12.07,0.0,True
populaire,Riftbeast,4800,0.24213075060532688,2.882,2.913,-0.372,-0.403,-0.339,0.09,0.067,0.3513,0.541,0.7758,1.985,-12.45,0.0,True
pepite,Executioner,974,0.04913236481033091,2.764,2.915,-0.37,-0.521,-0.397,0.0182,0.089,0.3604,0.5729,0.7977,1.92,-8.23,0.0,True
,Alune Unique Trait,3273,0.16510290556900725,2.874,2.919,-0.366,-0.41,-0.338,0.0604,0.0731,0.3358,0.539,0.7819,1.934,-11.1,0.0,True
populaire,Maokai Unique Trait,9166,0.46236884584342214,2.916,2.931,-0.354,-0.369,-0.318,0.1636,0.0574,0.3594,0.5387,0.7662,2.028,-14.24,0.0,True
populaire,Juggernaut,9665,0.4875403551251009,2.938,2.952,-0.333,-0.347,-0.297,0.1625,0.0573,0.346,0.5306,0.7661,2.017,-13.66,0.0,True
,Blossom,186,0.009382566585956417,2.306,2.972,-0.312,-0.978,-0.753,0.0029,0.1944,0.4032,0.6667,0.9032,1.555,-8.51,0.0,True
populaire,Brawler,5563,0.28061945117029863,2.959,2.981,-0.304,-0.326,-0.266,0.0853,0.0649,0.3284,0.5191,0.7737,1.989,-10.65,0.0,True
,Caustic,1515,0.0764225181598063,2.914,2.991,-0.294,-0.371,-0.273,0.0225,0.0925,0.2805,0.5248,0.8013,1.863,-7.41,0.0,True
,Sprykin,178,0.008979015334947538,2.393,3.009,-0.276,-0.892,-0.665,0.0025,0.1901,0.3539,0.6461,0.8989,1.53,-7.71,0.0,True
,Blackthorn,389,0.0196226795803067,2.743,3.016,-0.268,-0.542,-0.351,0.0053,0.1061,0.3779,0.5604,0.8149,1.901,-5.56,0.0,True
,Juggernaut,507,0.02557506053268765,2.83,3.03,-0.255,-0.455,-0.285,0.0065,0.0821,0.357,0.5503,0.7909,1.923,-5.24,0.0,True
