group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,2952,0.14891041162227603,2.611,2.691,-0.594,-0.674,-0.599,0.0885,0.1042,0.4248,0.6142,0.813,1.932,-17.48,0.0,True
populaire,Kennen,8420,0.4247376916868442,2.715,2.741,-0.544,-0.57,-0.519,0.2311,0.0897,0.4029,0.5823,0.7985,1.956,-21.88,0.0,True
populaire,Elder Dragon,4438,0.22387005649717515,2.697,2.745,-0.54,-0.588,-0.522,0.1208,0.083,0.4241,0.5937,0.7918,1.99,-17.6,0.0,True
populaire,Draven,5408,0.27280064568200163,2.759,2.794,-0.49,-0.526,-0.465,0.1338,0.0763,0.412,0.5823,0.7851,2.027,-16.79,0.0,True
populaire,Gnar Small,6141,0.30977602905569007,2.822,2.85,-0.435,-0.463,-0.406,0.1346,0.0823,0.3563,0.5489,0.7911,1.931,-16.05,0.0,True
populaire,Taric,10642,0.5368240516545602,2.843,2.859,-0.426,-0.441,-0.394,0.2285,0.0764,0.3559,0.5486,0.7852,1.96,-18.26,0.0,True
pepite,Alune,3401,0.17155972558514931,2.842,2.888,-0.397,-0.443,-0.372,0.0681,0.0783,0.3414,0.5475,0.7871,1.923,-12.24,0.0,True
populaire,Maokai,9493,0.47886400322841,2.917,2.931,-0.353,-0.368,-0.318,0.1693,0.0576,0.3593,0.5384,0.7664,2.031,-14.35,0.0,True
pepite,Ashe,2390,0.12056093623890234,2.888,2.944,-0.341,-0.397,-0.312,0.0411,0.069,0.3439,0.5456,0.7778,1.98,-9.19,0.0,True
pepite,Kog Maw A D,1516,0.0764729620661824,2.918,2.994,-0.291,-0.367,-0.269,0.0223,0.092,0.2803,0.5237,0.8008,1.865,-7.32,0.0,True
pepite,Teemo,1110,0.05599273607748184,2.916,3.013,-0.272,-0.369,-0.257,0.0152,0.0939,0.2622,0.5144,0.8027,1.824,-6.5,0.0,True
pepite,Nidalee A P,1117,0.05634584342211461,2.941,3.031,-0.254,-0.344,-0.232,0.0143,0.0853,0.2766,0.5175,0.7941,1.847,-6.01,0.0,True
populaire,Amumu,8952,0.4515738498789346,3.109,3.117,-0.168,-0.176,-0.123,0.076,0.0194,0.3317,0.4998,0.7282,2.109,-6.55,0.0,True
populaire,Sentinel,8046,0.40587167070217917,3.134,3.141,-0.144,-0.151,-0.097,0.0584,0.0262,0.304,0.4868,0.735,2.062,-5.5,0.0,True
,Rammus,1748,0.08817594834543988,3.15,3.175,-0.11,-0.134,-0.038,0.0097,0.0355,0.2654,0.4651,0.7443,1.967,-2.72,0.00647,True
,Ahri,2607,0.13150726392251816,3.16,3.177,-0.108,-0.125,-0.041,0.0142,0.0265,0.2973,0.4714,0.7353,2.044,-2.91,0.00357,True
,Veigar,1348,0.06799838579499597,3.151,3.181,-0.104,-0.134,-0.023,0.0071,0.0434,0.2693,0.4703,0.7522,2.006,-2.37,0.01772,True
,Sivir,1060,0.053470540758676355,3.147,3.185,-0.1,-0.138,-0.012,0.0054,0.0318,0.284,0.4774,0.7406,2.025,-2.15,0.03132,True
,Rengar,524,0.026432606941081516,3.116,3.189,-0.096,-0.168,0.0,0.0025,0.045,0.2786,0.479,0.7538,2.001,-1.9,0.05743,True
,Zyra,1403,0.070772800645682,3.165,3.191,-0.094,-0.12,-0.01,0.0066,0.0289,0.2808,0.4683,0.7377,2.037,-2.13,0.03301,True
,Gromp A P,653,0.032939870863599674,3.141,3.195,-0.09,-0.144,-0.004,0.003,0.0661,0.1914,0.4671,0.7749,1.786,-2.01,0.04391,True
,Ezreal,3630,0.18311138014527845,3.199,3.207,-0.078,-0.086,-0.012,0.0142,0.0102,0.3099,0.473,0.719,2.1,-2.27,0.02294,True
