group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Edge Of Night + Morellonomicon + Void Staff,144,0.002954088540598203,2.562,3.179,-0.091,-0.708,-0.397,0.0003,0.115,0.4306,0.6042,0.8403,1.899,-4.46,1e-05,True
populaire,Edge Of Night + Hand Of Justice + Strikers Flail,208,0.004267016780864071,2.87,3.2,-0.07,-0.4,-0.13,0.0003,0.044,0.3558,0.5481,0.7692,1.985,-2.9,0.00374,True
pepite,Hand Of Justice + Strikers Flail + Void Staff,105,0.0021540228941861897,2.648,3.21,-0.061,-0.622,-0.278,0.0001,0.1129,0.3143,0.6,0.8381,1.799,-3.54,0.0004,True
pepite,Bloodthirster + Edge Of Night + Rabadons Deathcap,143,0.0029335740368440486,2.818,3.212,-0.058,-0.452,-0.134,0.0002,0.072,0.3706,0.5245,0.7972,1.938,-2.78,0.00537,True
pepite,Edge Of Night + Hand Of Justice + Morellonomicon,108,0.002215566405448652,2.685,3.212,-0.058,-0.585,-0.249,0.0001,0.1081,0.3704,0.5556,0.8333,1.778,-3.41,0.00064,True
pepite,Hextech Gunblade + Rabadons Deathcap + Void Staff,71,0.0014565297665449473,2.437,3.214,-0.057,-0.833,-0.472,0.0001,0.148,0.3944,0.6056,0.8732,1.554,-4.51,1e-05,True
pepite,Edge Of Night + Rabadons Deathcap + Rabadons Deathcap,50,0.0010257251877077093,2.22,3.219,-0.051,-1.05,-0.63,0.0001,0.1948,0.44,0.7,0.92,1.514,-4.9,0.0,True
,Edge Of Night + Rabadons Deathcap + Void Staff,162,0.0033233496081729783,2.951,3.225,-0.046,-0.319,-0.02,0.0002,0.0587,0.2901,0.5432,0.784,1.94,-2.09,0.03639,False
,Edge Of Night + Ionic Spark + Rabadons Deathcap,69,0.001415500759036639,2.58,3.224,-0.046,-0.69,-0.289,0.0001,0.1154,0.3623,0.6087,0.8406,1.697,-3.38,0.00074,True
,Edge Of Night + Ionic Spark + Strikers Flail,48,0.000984696180199401,2.292,3.224,-0.046,-0.978,-0.574,0.0,0.1914,0.4167,0.6042,0.9167,1.428,-4.74,0.0,True
,Edge Of Night + Ionic Spark + Morellonomicon,41,0.0008410946539203217,2.195,3.227,-0.043,-1.075,-0.63,0.0,0.2016,0.3659,0.7561,0.9268,1.452,-4.74,0.0,True
