group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Morellonomicon,2976,0.061904563797478884,2.888,2.981,-0.287,-0.38,-0.311,0.0178,0.0705,0.3138,0.5188,0.796,1.867,-10.73,0.0,True
populaire,Strikers Flail,3539,0.07361567583309066,2.97,3.034,-0.235,-0.298,-0.233,0.0173,0.0532,0.2953,0.5052,0.7788,1.907,-8.94,0.0,True
pepite,Quicksilver,880,0.018305112950867414,2.817,3.053,-0.216,-0.451,-0.322,0.0039,0.0631,0.3489,0.5534,0.7886,1.936,-6.84,0.0,True
populaire,Void Staff,4981,0.10361109955485294,3.012,3.053,-0.215,-0.256,-0.199,0.0222,0.0474,0.2881,0.5019,0.7729,1.942,-8.82,0.0,True
pepite,Adaptive Helm,1418,0.029496193368556807,2.912,3.056,-0.212,-0.356,-0.261,0.0063,0.0805,0.2807,0.5071,0.8061,1.798,-7.33,0.0,True
populaire,Edge Of Night,7565,0.15736156758330908,3.06,3.084,-0.185,-0.208,-0.16,0.029,0.0299,0.2976,0.494,0.7555,1.98,-8.47,0.0,True
pepite,Red Buff,793,0.016495402920497566,2.909,3.106,-0.162,-0.359,-0.228,0.0027,0.0639,0.3039,0.5095,0.7894,1.865,-5.37,0.0,True
populaire,Hextech Gunblade,3081,0.06408869659275283,3.064,3.113,-0.156,-0.204,-0.133,0.01,0.0385,0.2736,0.4969,0.764,1.941,-5.64,0.0,True
pepite,Ionic Spark,2678,0.05570578691184424,3.062,3.117,-0.151,-0.206,-0.13,0.0084,0.0325,0.2793,0.4817,0.758,1.933,-5.35,0.0,True
pepite,Crownguard,1368,0.02845613013271207,3.014,3.119,-0.149,-0.254,-0.153,0.0042,0.0501,0.2668,0.4905,0.7756,1.871,-4.94,0.0,True
populaire,Rabadons Deathcap,6557,0.1363938927486791,3.131,3.149,-0.119,-0.137,-0.086,0.0163,0.025,0.2655,0.4754,0.7505,1.96,-5.27,0.0,True
pepite,Emblem Blossom,724,0.015060115655031826,2.999,3.152,-0.116,-0.269,-0.122,0.0017,0.0328,0.3273,0.5083,0.7583,2.007,-3.59,0.00034,True
populaire,Giant Slayer,2860,0.05949161709031909,3.167,3.193,-0.076,-0.101,-0.025,0.0045,0.0126,0.279,0.4727,0.7381,2.025,-2.59,0.00957,True
,Protectors Vow,100,0.0020801264716894786,2.83,3.227,-0.041,-0.438,-0.098,0.0001,0.0845,0.28,0.55,0.81,1.732,-2.53,0.01156,True
,Emblem Flora Fatalis,156,0.003244997295835587,3.083,3.242,-0.026,-0.185,0.0,0.0001,0.0309,0.3077,0.4808,0.7564,1.987,-1.16,0.24625,False
,Emblem Lunar,44,0.0009152556475433706,2.955,3.254,-0.014,-0.314,0.0,0.0,0.0699,0.3636,0.5227,0.7955,2.044,-1.02,0.3092,False
,Emblem Flora Fatalis Augment,141,0.002932978325082165,3.262,3.267,-0.001,-0.006,0.0,0.0,0.0404,0.2695,0.461,0.766,2.119,-0.03,0.97457,False
,Emblem Blackthorn,149,0.0030993884428173234,3.376,3.283,0.014,0.108,0.0,-0.0,-0.041,0.2617,0.4564,0.6846,2.16,0.61,0.54314,False
,Emblem Slayer,64,0.0013312809418812663,3.547,3.286,0.017,0.279,0.0,-0.0,-0.0224,0.1719,0.3906,0.7031,2.046,1.09,0.27598,False
,Emblem Spellweaver,146,0.003036984648666639,3.404,3.286,0.018,0.136,0.0,-0.0001,-0.0269,0.3151,0.4658,0.6986,2.325,0.71,0.48018,False
populaire,Hand Of Justice,9800,0.20385239422556892,3.289,3.287,0.019,0.021,0.0,-0.0039,-0.0081,0.2508,0.4408,0.7174,2.027,0.94,0.34575,False
,Emblem Elderwood,138,0.0028705745309314805,3.471,3.294,0.025,0.203,0.0,-0.0001,-0.0226,0.2246,0.413,0.7029,2.12,1.12,0.26155,False
,Archangels Staff,1194,0.024836710071972377,3.327,3.301,0.032,0.059,0.0,-0.0008,-0.0111,0.2152,0.438,0.7144,1.982,1.01,0.31378,False
,Nashors Tooth,862,0.017930690185963306,3.371,3.317,0.049,0.103,0.0,-0.0009,-0.0225,0.2309,0.4246,0.703,2.031,1.48,0.1396,False
,Blue Buff,726,0.015101718184465615,3.415,3.331,0.063,0.146,0.003,-0.001,-0.0203,0.2052,0.4105,0.7052,1.962,2.0,0.04594,True
,Seekers Armguard,90,0.0018721138245205307,4.033,3.334,0.065,0.765,0.327,-0.0001,-0.1589,0.1444,0.3,0.5667,2.121,3.42,0.00063,True
populaire,Bloodthirster,5033,0.10469276532013147,3.383,3.364,0.096,0.115,0.055,-0.0101,-0.0273,0.2404,0.4214,0.6982,2.044,3.79,0.00015,True
,Spear Of Shojin,563,0.011711112035611764,3.558,3.375,0.107,0.29,0.11,-0.0013,-0.0683,0.2238,0.4103,0.6572,2.161,3.16,0.00156,True
,Component Needlessly Large Rod,110,0.002288139118858427,4.309,3.375,0.107,1.041,0.663,-0.0002,-0.2437,0.1364,0.2182,0.4818,2.021,5.39,0.0,True
,Titans Resolve,1699,0.03534134875400424,3.487,3.408,0.14,0.219,0.12,-0.0049,-0.0481,0.2207,0.3991,0.6775,2.049,4.32,2e-05,True
,Steraks Gage,234,0.0048674959437533805,4.056,3.422,0.154,0.787,0.509,-0.0008,-0.1871,0.1667,0.3077,0.5385,2.17,5.54,0.0,True
populaire,Jeweled Gauntlet,9495,0.197508008486916,3.474,3.455,0.187,0.205,0.161,-0.0368,-0.0366,0.2159,0.3949,0.6889,2.04,8.98,0.0,True
