group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Zhonyas Paradox,577,0.011006409278193194,3.237,3.258,-0.011,-0.031,0.0,0.0001,0.0027,0.2721,0.4541,0.7279,2.061,-0.36,0.71687,False
,Eternal Pact,108,0.002060125133526629,3.361,3.277,0.009,0.092,0.0,-0.0,-0.0308,0.2963,0.463,0.6944,2.23,0.43,0.66698,False
,Hullcrusher,54,0.0010300625667633144,3.574,3.284,0.015,0.305,0.0,-0.0,-0.0771,0.1852,0.4259,0.6481,2.122,1.06,0.29057,False
,Gold Collector,43,0.0008202350068670838,3.744,3.287,0.019,0.475,0.0,-0.0,-0.0508,0.2093,0.3256,0.6744,2.232,1.4,0.16255,False
populaire,Mittens,144,0.0027468335113688385,3.472,3.293,0.025,0.204,0.0,-0.0001,-0.0516,0.2292,0.4028,0.6736,2.078,1.17,0.24055,False
populaire,Infinity Force,333,0.00635205249504044,3.378,3.295,0.026,0.11,0.0,-0.0002,-0.0165,0.2793,0.4174,0.7087,2.124,0.94,0.3475,False
populaire,Wits End,203,0.003872272241721349,3.468,3.301,0.032,0.199,0.0,-0.0001,-0.0454,0.2217,0.4138,0.6798,2.092,1.35,0.17555,False
populaire,Blighting Jewel,190,0.00362429421638944,3.532,3.309,0.04,0.263,0.0,-0.0001,-0.0357,0.1842,0.3632,0.6895,1.983,1.82,0.06822,False
,Horizon Focus,56,0.0010682130321989928,4.125,3.312,0.043,0.856,0.307,-0.0,-0.1895,0.125,0.3214,0.5357,2.096,3.06,0.00225,True
,Statikk Shiv,77,0.0014687929192736151,3.909,3.313,0.044,0.64,0.168,-0.0001,-0.1278,0.2078,0.3117,0.5974,2.115,2.66,0.00792,True
,Forbidden Idol,44,0.000839310239584923,4.409,3.315,0.046,1.14,0.515,-0.0,-0.2025,0.0909,0.2273,0.5227,2.114,3.58,0.00035,True
,Artifact Talisman Of Ascension,66,0.0012589653593773843,4.121,3.319,0.05,0.852,0.371,-0.0001,-0.1646,0.0758,0.2879,0.5606,1.996,3.47,0.00053,True
,Lich Bane,80,0.0015260186174271325,4.075,3.326,0.057,0.806,0.341,-0.0001,-0.1002,0.1625,0.2625,0.625,2.12,3.4,0.00068,True
populaire,Manazane,190,0.00362429421638944,3.784,3.348,0.079,0.515,0.197,-0.0003,-0.0726,0.1947,0.3684,0.6526,2.236,3.17,0.00151,True
populaire,Dawncore,143,0.0027277582786509997,4.014,3.358,0.089,0.745,0.399,-0.0002,-0.1168,0.1608,0.2797,0.6084,2.109,4.22,2e-05,True
populaire,Ludens Tempest,138,0.002632382115061804,4.348,3.394,0.126,1.079,0.72,-0.0003,-0.2035,0.1377,0.2464,0.5217,2.152,5.88,0.0,True
populaire,Deaths Defiance,125,0.0023844040897298946,4.688,3.42,0.151,1.419,1.064,-0.0004,-0.2612,0.08,0.168,0.464,2.022,7.84,0.0,True
populaire,Seekers Armguard,662,0.012627804059209522,3.725,3.445,0.177,0.456,0.289,-0.0022,-0.0923,0.2115,0.3671,0.6329,2.179,5.36,0.0,True
