group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Quicksilver,2318,0.04821733161376212,2.887,2.999,-0.269,-0.381,-0.301,0.013,0.0661,0.3167,0.5267,0.7916,1.898,-9.4,0.0,True
pepite,Protectors Vow,1485,0.03088987810458876,2.858,3.019,-0.249,-0.41,-0.312,0.0077,0.0725,0.3178,0.5488,0.798,1.902,-8.17,0.0,True
populaire,Morellonomicon,5316,0.11057952323501269,2.978,3.022,-0.246,-0.29,-0.235,0.0272,0.0565,0.3,0.5066,0.782,1.933,-10.34,0.0,True
pepite,Adaptive Helm,3487,0.07253401006781213,2.979,3.042,-0.227,-0.289,-0.224,0.0164,0.0617,0.2822,0.5042,0.7872,1.89,-8.68,0.0,True
pepite,Red Buff,2299,0.04782210758414111,2.963,3.053,-0.215,-0.306,-0.225,0.0103,0.0557,0.3062,0.5072,0.7812,1.921,-7.43,0.0,True
pepite,Crownguard,3408,0.07089071015517744,2.995,3.055,-0.213,-0.273,-0.207,0.0151,0.0518,0.2826,0.4953,0.7773,1.895,-8.1,0.0,True
populaire,Strikers Flail,5849,0.12166659732911761,3.04,3.072,-0.196,-0.228,-0.175,0.0239,0.0437,0.2826,0.4934,0.7692,1.941,-8.46,0.0,True
populaire,Void Staff,7588,0.15783999667179766,3.061,3.085,-0.184,-0.207,-0.159,0.029,0.0375,0.2829,0.4912,0.763,1.957,-8.51,0.0,True
populaire,Edge Of Night,10633,0.22117984773474228,3.075,3.091,-0.177,-0.193,-0.151,0.0392,0.0275,0.2945,0.4923,0.753,1.989,-9.04,0.0,True
populaire,Hextech Gunblade,5452,0.11340849523651038,3.068,3.098,-0.17,-0.2,-0.146,0.0193,0.0432,0.2683,0.4855,0.7687,1.918,-7.26,0.0,True
populaire,Ionic Spark,5137,0.10685609685068852,3.122,3.145,-0.123,-0.146,-0.09,0.0132,0.0241,0.2702,0.4746,0.7497,1.967,-5.06,0.0,True
pepite,Evenshroud,385,0.008008486916004493,3.065,3.21,-0.058,-0.203,-0.004,0.0005,0.0173,0.2987,0.4935,0.7429,1.99,-1.99,0.04609,True
populaire,Rabadons Deathcap,9682,0.20139784498897534,3.206,3.212,-0.057,-0.062,-0.019,0.0114,0.0142,0.2546,0.459,0.7397,1.988,-2.8,0.00514,True
,Steadfast Heart,360,0.007488455298082123,3.081,3.217,-0.051,-0.188,0.0,0.0004,0.0439,0.2806,0.4722,0.7694,1.94,-1.83,0.0677,True
,Tacticians Cape,56,0.001164870824146108,2.75,3.24,-0.029,-0.518,-0.037,0.0,0.0423,0.3214,0.6071,0.7679,1.835,-2.11,0.03471,True
