group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Blossom,2100,0.04308045788372379,3.082,3.142,-0.129,-0.188,-0.1,0.0055,0.03,0.2962,0.4948,0.7552,2.019,-4.18,3e-05,True
populaire,Emblem Flora Fatalis,976,0.020022155664054485,3.026,3.148,-0.122,-0.244,-0.119,0.0024,0.0494,0.293,0.5031,0.7746,1.974,-3.83,0.00013,True
pepite,Emblem Juggernaut,432,0.008862265621794608,2.884,3.152,-0.118,-0.386,-0.211,0.001,0.0711,0.3125,0.5162,0.7963,1.844,-4.33,2e-05,True
populaire,Emblem Elderwood,1208,0.024781520535018257,3.097,3.174,-0.096,-0.173,-0.06,0.0024,0.033,0.2823,0.4826,0.7583,1.976,-3.01,0.00263,True
pepite,Emblem Brawler,464,0.009518729741927542,2.976,3.175,-0.095,-0.294,-0.115,0.0009,0.0312,0.3233,0.5151,0.7565,1.96,-3.21,0.00132,True
pepite,Emblem Vanguard,404,0.008287859516678292,3.047,3.205,-0.065,-0.223,-0.033,0.0005,0.0272,0.2797,0.4975,0.7525,1.941,-2.3,0.02146,True
populaire,Emblem Spellweaver,1058,0.02170434497189513,3.25,3.26,-0.01,-0.02,0.0,0.0002,-0.0031,0.2703,0.4603,0.7221,2.074,-0.3,0.76043,False
pepite,Emblem Defender,359,0.007364706847741353,3.245,3.263,-0.007,-0.025,0.0,0.0,-0.0038,0.2535,0.4457,0.7214,1.978,-0.24,0.81152,False
populaire,Emblem Lunar,697,0.014298609116645468,3.261,3.266,-0.004,-0.009,0.0,0.0001,0.0036,0.2468,0.4519,0.7288,2.013,-0.12,0.90676,False
populaire,Emblem Primal,560,0.011488122102326345,3.325,3.29,0.02,0.055,0.0,-0.0002,0.0033,0.2089,0.4161,0.7286,1.938,0.67,0.50536,False
populaire,Emblem Blackthorn,946,0.019406720551429862,3.314,3.292,0.022,0.044,0.0,-0.0004,-0.0149,0.2759,0.463,0.7104,2.157,0.62,0.53539,False
,Emblem Sprykin,269,0.005518401509867476,3.39,3.296,0.026,0.12,0.0,-0.0001,-0.0301,0.2305,0.4387,0.6952,2.119,0.93,0.35335,False
populaire,Emblem Flora Fatalis Augment,546,0.011200919049768186,3.353,3.3,0.03,0.083,0.0,-0.0003,-0.0054,0.2711,0.4304,0.7198,2.116,0.92,0.35973,False
,Emblem Hunter,144,0.002954088540598203,3.535,3.304,0.034,0.265,0.0,-0.0001,-0.0308,0.1458,0.4028,0.6944,1.986,1.6,0.11036,False
,Emblem Fae,365,0.007487793870266278,3.397,3.305,0.035,0.127,0.0,-0.0003,-0.0156,0.2192,0.3973,0.7096,1.989,1.22,0.22368,False
,Emblem Coven,77,0.0015796167890698724,3.87,3.314,0.044,0.6,0.07,-0.0001,-0.0759,0.1948,0.3896,0.6494,2.371,2.22,0.02643,True
populaire,Emblem Invoker,477,0.009785418290731547,3.419,3.319,0.049,0.149,0.0,-0.0005,-0.0187,0.2285,0.434,0.7065,2.108,1.54,0.12395,False
,Emblem Rapidfire,220,0.004513190825913921,3.573,3.326,0.056,0.303,0.028,-0.0003,-0.057,0.2364,0.3682,0.6682,2.071,2.16,0.03059,True
populaire,Emblem Slayer,710,0.014565297665449473,3.601,3.41,0.14,0.331,0.183,-0.002,-0.0492,0.1803,0.3507,0.6761,1.994,4.39,1e-05,True
