group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Edge Of Night + Morellonomicon,672,0.013785746522791614,2.658,3.02,-0.25,-0.612,-0.471,0.0034,0.1051,0.3824,0.5818,0.8304,1.854,-8.49,0.0,True
pepite,Edge Of Night + Strikers Flail,873,0.017909161777376604,2.837,3.066,-0.204,-0.433,-0.304,0.0037,0.0629,0.3436,0.5464,0.7881,1.918,-6.6,0.0,True
pepite,Morellonomicon + Void Staff,866,0.017765560251097524,2.871,3.082,-0.188,-0.399,-0.274,0.0033,0.0808,0.3176,0.5185,0.806,1.865,-6.24,0.0,True
pepite,Edge Of Night + Ionic Spark,672,0.013785746522791614,2.814,3.084,-0.186,-0.456,-0.319,0.0026,0.0783,0.3095,0.5312,0.8036,1.796,-6.53,0.0,True
populaire,Edge Of Night + Rabadons Deathcap,1670,0.03425922126943749,2.985,3.09,-0.18,-0.285,-0.19,0.0062,0.0514,0.3036,0.509,0.7766,1.941,-5.89,0.0,True
pepite,Strikers Flail + Void Staff,622,0.012760021335083905,2.834,3.1,-0.17,-0.436,-0.288,0.0022,0.0835,0.3151,0.5418,0.8087,1.87,-5.77,0.0,True
populaire,Edge Of Night + Void Staff,1234,0.025314897632626267,2.971,3.103,-0.167,-0.299,-0.186,0.0042,0.0462,0.3177,0.5276,0.7715,2.003,-5.18,0.0,True
pepite,Edge Of Night + Hextech Gunblade,708,0.014524268657941165,2.874,3.104,-0.167,-0.396,-0.255,0.0024,0.0742,0.3121,0.5452,0.7994,1.901,-5.5,0.0,True
,Hand Of Justice + Quicksilver,414,0.008493004554219833,2.751,3.115,-0.155,-0.519,-0.339,0.0013,0.084,0.343,0.558,0.8092,1.857,-5.66,0.0,True
,Rabadons Deathcap + Void Staff,1138,0.023345505272227465,2.984,3.116,-0.154,-0.286,-0.175,0.0036,0.0516,0.2724,0.5141,0.7768,1.88,-5.06,0.0,True
populaire,Hand Of Justice + Strikers Flail,1250,0.025643129692692734,2.998,3.117,-0.153,-0.272,-0.163,0.0039,0.0436,0.288,0.5056,0.7688,1.938,-4.89,0.0,True
,Hextech Gunblade + Rabadons Deathcap,680,0.013949862552824847,2.901,3.119,-0.151,-0.369,-0.222,0.0021,0.0615,0.3103,0.5426,0.7868,1.936,-4.93,0.0,True
,Hextech Gunblade + Void Staff,580,0.011898412177409428,2.886,3.127,-0.143,-0.384,-0.229,0.0017,0.0765,0.2983,0.5379,0.8017,1.89,-4.86,0.0,True
