group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Executioner,6857,0.14066795224223527,2.602,2.685,-0.585,-0.668,-0.624,0.0823,0.1247,0.3398,0.5917,0.8499,1.711,-29.54,0.0,True
pepite,Lux Unique Trait,9484,0.1945595536043983,2.724,2.775,-0.495,-0.546,-0.505,0.0964,0.0939,0.3505,0.5693,0.8192,1.848,-25.92,0.0,True
pepite,Blackthorn,1766,0.036228613629836294,2.566,2.817,-0.454,-0.704,-0.616,0.0164,0.1077,0.3958,0.6291,0.833,1.852,-15.63,0.0,True
populaire,Brawler,15510,0.31817995322693143,2.796,2.824,-0.446,-0.474,-0.44,0.1419,0.0857,0.3204,0.549,0.811,1.835,-27.29,0.0,True
pepite,Blossom,4495,0.09221269437492308,2.752,2.844,-0.426,-0.519,-0.462,0.0393,0.1028,0.3075,0.5706,0.828,1.819,-18.11,0.0,True
populaire,Greenfather,18920,0.3881344110285972,2.872,2.891,-0.379,-0.398,-0.365,0.147,0.0639,0.3384,0.5332,0.7892,1.926,-23.77,0.0,True
pepite,Elderwood,8800,0.18052763303655683,2.857,2.898,-0.372,-0.413,-0.37,0.0672,0.072,0.3145,0.5366,0.7973,1.864,-18.88,0.0,True
populaire,Emerald,22283,0.45712468715381777,2.928,2.942,-0.328,-0.342,-0.311,0.1498,0.0578,0.3167,0.5171,0.7831,1.92,-21.65,0.0,True
pepite,Apex Predator,8079,0.16573667582981166,2.911,2.949,-0.321,-0.359,-0.313,0.0532,0.0516,0.34,0.5282,0.7768,1.963,-15.17,0.0,True
,Riftbeast,8127,0.16672137201001108,2.916,2.954,-0.316,-0.354,-0.308,0.0527,0.0551,0.3323,0.5227,0.7804,1.949,-15.07,0.0,True
populaire,Draven Unique Trait,13928,0.2857260082878595,2.936,2.958,-0.313,-0.334,-0.297,0.0893,0.0482,0.3377,0.5245,0.7734,1.978,-17.5,0.0,True
,Blossom,539,0.011057317523489107,2.393,2.958,-0.312,-0.877,-0.746,0.0035,0.1597,0.3822,0.6178,0.885,1.529,-13.18,0.0,True
,Elderwood,423,0.00867763508800722,2.362,2.995,-0.275,-0.908,-0.753,0.0024,0.166,0.3877,0.6785,0.8913,1.623,-11.44,0.0,True
populaire,Maokai Unique Trait,23411,0.4802650473885037,2.984,2.996,-0.274,-0.286,-0.255,0.1318,0.0466,0.3105,0.5037,0.7719,1.945,-18.23,0.0,True
,Zyra Unique Trait,4925,0.10103393098920938,2.948,3.001,-0.269,-0.323,-0.268,0.0272,0.0758,0.2692,0.4995,0.801,1.841,-11.61,0.0,True
populaire,Spellweaver,13347,0.2738070816066959,2.996,3.015,-0.255,-0.274,-0.237,0.0699,0.0575,0.2783,0.5021,0.7827,1.911,-14.48,0.0,True
populaire,Inferno,26609,0.5458704303942887,3.018,3.027,-0.243,-0.252,-0.223,0.1329,0.0451,0.2983,0.4962,0.7704,1.95,-16.74,0.0,True
,Summoner,1636,0.03356172814179625,2.892,3.033,-0.237,-0.378,-0.291,0.008,0.0883,0.2598,0.5049,0.8136,1.764,-8.49,0.0,True
,Alune Unique Trait,7255,0.14883272473638862,3.029,3.058,-0.212,-0.241,-0.194,0.0316,0.0487,0.2799,0.4819,0.7739,1.898,-10.0,0.0,True
populaire,Juggernaut,29790,0.6111270668362533,3.053,3.059,-0.211,-0.218,-0.189,0.1288,0.0392,0.2892,0.4862,0.7645,1.946,-14.96,0.0,True
,Summoner,4330,0.08882780125548763,3.029,3.073,-0.197,-0.241,-0.182,0.0175,0.0579,0.2621,0.4859,0.7831,1.89,-8.01,0.0,True
,Lunar,542,0.011118861034751569,2.749,3.084,-0.186,-0.521,-0.37,0.0021,0.0976,0.3247,0.5443,0.8229,1.78,-6.76,0.0,True
,Battlemage,7100,0.14565297665449473,3.064,3.089,-0.181,-0.206,-0.158,0.0264,0.0435,0.2731,0.4873,0.7687,1.948,-8.29,0.0,True
