group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,9635,0.1976572436712756,2.714,2.765,-0.505,-0.556,-0.515,0.0998,0.0954,0.3518,0.5728,0.8207,1.845,-26.59,0.0,True
populaire,Gnar Small,15386,0.3156361547614163,2.813,2.84,-0.43,-0.457,-0.423,0.1358,0.0825,0.3196,0.5421,0.8077,1.838,-26.24,0.0,True
populaire,Ivern,19267,0.39525294383128873,2.871,2.89,-0.38,-0.4,-0.367,0.1503,0.0636,0.3398,0.5349,0.7888,1.931,-23.98,0.0,True
pepite,Elder Dragon,8263,0.16951134452057603,2.892,2.932,-0.338,-0.378,-0.332,0.0573,0.0544,0.3432,0.5331,0.7796,1.958,-16.13,0.0,True
populaire,Taric,22680,0.46526894514421696,2.929,2.943,-0.327,-0.341,-0.31,0.1522,0.0576,0.3168,0.5176,0.7828,1.923,-21.69,0.0,True
populaire,Draven,14368,0.29475238993968733,2.927,2.949,-0.321,-0.343,-0.306,0.0947,0.0495,0.3373,0.5283,0.7747,1.975,-18.19,0.0,True
pepite,Ahri,7392,0.15164321175070775,2.909,2.951,-0.319,-0.361,-0.314,0.0484,0.0706,0.2961,0.5319,0.7959,1.906,-15.06,0.0,True
pepite,Yunara,7128,0.14622738275961106,2.916,2.959,-0.312,-0.354,-0.307,0.0456,0.0709,0.2914,0.5265,0.7962,1.889,-14.64,0.0,True
pepite,Ashe,6106,0.12526155992286547,2.911,2.96,-0.31,-0.36,-0.309,0.0388,0.0687,0.3013,0.5285,0.794,1.903,-13.81,0.0,True
populaire,Maokai,23823,0.4887170229352152,2.99,3.001,-0.269,-0.28,-0.249,0.1315,0.0453,0.3102,0.5035,0.7706,1.952,-17.92,0.0,True
pepite,Zyra,4957,0.1016903951093423,2.951,3.003,-0.267,-0.319,-0.265,0.0271,0.0757,0.2679,0.4985,0.8009,1.841,-11.52,0.0,True
,Alune,7397,0.15174578426947852,3.026,3.054,-0.216,-0.244,-0.198,0.0328,0.0486,0.2813,0.4845,0.7738,1.901,-10.21,0.0,True
,Sett,9228,0.18930784064333483,3.033,3.055,-0.215,-0.237,-0.194,0.0407,0.046,0.2785,0.5048,0.7712,1.956,-10.63,0.0,True
,Alistar,10402,0.21339186805071186,3.046,3.065,-0.205,-0.225,-0.183,0.0438,0.0365,0.2927,0.4997,0.7618,1.968,-10.51,0.0,True
,Malphite,7158,0.14684281787223566,3.062,3.087,-0.183,-0.208,-0.159,0.0268,0.0441,0.2724,0.4878,0.7693,1.947,-8.38,0.0,True
populaire,Ezreal,16036,0.32897058220161657,3.079,3.09,-0.18,-0.191,-0.156,0.0592,0.0348,0.2763,0.4867,0.76,1.952,-10.63,0.0,True
,Azir,9437,0.19359537192795306,3.105,3.12,-0.15,-0.165,-0.122,0.029,0.0409,0.256,0.4744,0.7661,1.938,-7.53,0.0,True
,Veigar,2655,0.054466007467279365,3.075,3.127,-0.143,-0.195,-0.116,0.0078,0.0311,0.2874,0.5036,0.7563,2.02,-4.85,0.0,True
,Rengar,1058,0.02170434497189513,3.036,3.148,-0.122,-0.234,-0.125,0.0026,0.0574,0.2136,0.4896,0.7826,1.781,-4.22,2e-05,True
,Karma,3852,0.07902186846100193,3.123,3.153,-0.117,-0.147,-0.082,0.0093,0.0318,0.2679,0.4779,0.757,1.981,-4.42,1e-05,True
,Rek Sai,2862,0.05871250974438928,3.118,3.156,-0.114,-0.152,-0.076,0.0067,0.0242,0.2736,0.4972,0.7495,2.024,-3.91,9e-05,True
populaire,Soraka,16340,0.3352069913428794,3.153,3.16,-0.111,-0.117,-0.082,0.037,0.0283,0.2548,0.4636,0.7535,1.952,-6.57,0.0,True
,Yorick,6662,0.13666762401017518,3.152,3.167,-0.103,-0.118,-0.067,0.014,0.0259,0.2559,0.4661,0.7511,1.961,-4.58,0.0,True
,Le Blanc,4133,0.08478644401591925,3.149,3.172,-0.098,-0.121,-0.059,0.0083,0.0289,0.2461,0.48,0.7542,1.967,-3.8,0.00015,True
populaire,Sentinel,12309,0.2525130267098839,3.178,3.185,-0.085,-0.092,-0.051,0.0214,0.0084,0.2913,0.4735,0.7336,2.062,-4.42,1e-05,True
populaire,Amumu,34573,0.7092479382923728,3.197,3.199,-0.072,-0.074,-0.046,0.0508,0.0124,0.2686,0.4578,0.7377,2.001,-5.2,0.0,True
,Warwick,2227,0.04568579986050138,3.226,3.24,-0.03,-0.044,0.0,0.0014,0.0022,0.2654,0.471,0.7274,2.065,-0.98,0.32726,False
,Kha Zix,2338,0.04796290977721249,3.234,3.244,-0.026,-0.037,0.0,0.0012,0.0057,0.2374,0.4508,0.731,1.972,-0.88,0.38151,False
,Sivir,2219,0.04552168383046814,3.348,3.324,0.054,0.078,0.0,-0.0025,-0.001,0.2046,0.4263,0.7242,1.955,1.83,0.06727,True
,Teemo,412,0.008451975546711525,3.614,3.372,0.102,0.344,0.148,-0.0009,-0.0262,0.1456,0.3689,0.699,2.018,3.45,0.00057,True
,Nidalee A P,2189,0.04490624871784352,3.42,3.374,0.104,0.15,0.068,-0.0047,-0.0089,0.1759,0.3865,0.7163,1.903,3.6,0.00032,True
populaire,Fiddlesticks,11482,0.23554753210519838,3.406,3.396,0.126,0.136,0.095,-0.0296,-0.0141,0.2143,0.4091,0.7111,2.017,6.51,0.0,True
,Kog Maw A D,1327,0.027222746481762605,3.503,3.404,0.134,0.233,0.125,-0.0036,-0.0282,0.1771,0.3866,0.6971,1.979,4.22,2e-05,True
,Master Yi A D,2343,0.04806548229598326,3.5,3.433,0.162,0.23,0.145,-0.0078,-0.0359,0.2143,0.388,0.6893,2.054,5.3,0.0,True
,Hecarim,6247,0.1281541049522012,3.473,3.446,0.176,0.203,0.149,-0.0225,-0.0363,0.2143,0.4052,0.689,2.05,7.38,0.0,True
,Tristana,1564,0.03208468387149715,3.581,3.461,0.191,0.31,0.211,-0.0061,-0.0321,0.1605,0.3657,0.6931,1.968,6.14,0.0,True
,Gromp A P,593,0.012165100726213433,3.776,3.461,0.191,0.506,0.349,-0.0023,-0.0692,0.0911,0.339,0.656,1.928,6.34,0.0,True
,Vi,4115,0.08441718294834448,3.517,3.469,0.199,0.247,0.183,-0.0168,-0.0339,0.183,0.3859,0.6914,1.99,7.62,0.0,True
,Kobuko,828,0.016986009108439667,3.717,3.476,0.205,0.447,0.303,-0.0035,-0.0755,0.1667,0.3671,0.6498,2.101,6.08,0.0,True
,Lillia,4296,0.08813030812784639,3.537,3.487,0.217,0.267,0.204,-0.0192,-0.0318,0.1885,0.3769,0.6934,2.005,8.35,0.0,True
,Ornn,4300,0.088212366142863,3.537,3.488,0.218,0.267,0.204,-0.0192,-0.0424,0.1951,0.386,0.6828,2.031,8.27,0.0,True
,Cinderling,426,0.008739178599269684,4.009,3.495,0.225,0.739,0.558,-0.002,-0.1313,0.0657,0.2793,0.5939,1.903,7.98,0.0,True
,Sentry,629,0.012903622861362984,3.859,3.501,0.231,0.588,0.434,-0.003,-0.0829,0.0922,0.3259,0.6423,1.962,7.47,0.0,True
,Xayah,2573,0.05278381815943872,3.614,3.52,0.249,0.344,0.264,-0.0132,-0.0509,0.1807,0.3626,0.6743,2.028,8.38,0.0,True
,Rammus,1852,0.03799286095269355,3.652,3.52,0.25,0.382,0.288,-0.0095,-0.0557,0.1652,0.3629,0.6695,2.031,7.95,0.0,True
,Kayle,1139,0.023366019775981618,3.746,3.527,0.257,0.476,0.359,-0.006,-0.065,0.1238,0.3486,0.6602,1.988,7.98,0.0,True
,Rakan,2730,0.05600459524884093,3.622,3.529,0.259,0.352,0.272,-0.0145,-0.0578,0.1905,0.3667,0.6674,2.068,8.66,0.0,True
,Leona,1242,0.025479013662659502,3.742,3.534,0.264,0.471,0.358,-0.0067,-0.0602,0.1361,0.3494,0.6651,2.016,8.14,0.0,True
,Aphelios,2782,0.05707134944405695,3.647,3.549,0.279,0.377,0.301,-0.0159,-0.0552,0.1639,0.3462,0.67,1.977,9.77,0.0,True
,Morgana,2196,0.04504985024412259,3.681,3.555,0.284,0.411,0.316,-0.0128,-0.0877,0.2295,0.3857,0.6375,2.21,8.55,0.0,True
,Diana,6904,0.14163213391868051,3.601,3.56,0.29,0.331,0.279,-0.041,-0.0558,0.197,0.3694,0.6695,2.062,12.5,0.0,True
,Crimson Raptor,1073,0.022012062528207442,3.838,3.568,0.297,0.568,0.446,-0.0065,-0.0906,0.1277,0.3206,0.6347,2.01,9.15,0.0,True
,Murkwolf,744,0.015262790793090715,4.019,3.594,0.324,0.749,0.61,-0.0049,-0.115,0.0699,0.2742,0.6102,1.92,10.55,0.0,True
,Sejuani,1483,0.030423009067410658,3.873,3.634,0.364,0.603,0.498,-0.0111,-0.1001,0.1322,0.3237,0.6251,2.044,11.2,0.0,True
,Scuttlecrab,1262,0.025889303737742585,3.926,3.64,0.37,0.656,0.544,-0.0096,-0.1024,0.1189,0.294,0.6228,2.01,11.45,0.0,True
,Krug,1503,0.030833299142493744,3.921,3.665,0.395,0.651,0.544,-0.0122,-0.1184,0.1397,0.3194,0.6068,2.094,11.89,0.0,True
,Brambleback,1671,0.03427973577319165,3.906,3.672,0.402,0.636,0.539,-0.0138,-0.1058,0.1155,0.2986,0.6194,1.985,12.87,0.0,True
,Shen,9628,0.1975136421449965,3.88,3.824,0.554,0.61,0.565,-0.1094,-0.109,0.1467,0.3143,0.6162,2.053,26.7,0.0,True
,Cassiopeia,1171,0.02402248389611455,4.359,3.864,0.594,1.089,0.956,-0.0143,-0.2163,0.1409,0.2852,0.509,2.287,16.14,0.0,True
,Caitlyn,671,0.01376523201903746,4.952,3.956,0.686,1.682,1.512,-0.0094,-0.3437,0.1133,0.2012,0.3815,2.243,19.32,0.0,True
,Camille,771,0.01581668239445288,4.886,3.984,0.714,1.616,1.462,-0.0113,-0.3206,0.096,0.1855,0.4047,2.167,20.56,0.0,True
,Varus,5551,0.11387601033930989,4.137,4.008,0.738,0.867,0.811,-0.084,-0.1587,0.1117,0.2587,0.5666,2.029,30.18,0.0,True
,Akali A D,5840,0.11980470192426045,4.161,4.034,0.764,0.891,0.836,-0.0915,-0.1612,0.1055,0.2521,0.564,2.017,31.89,0.0,True
,Elise,1271,0.026073934271529972,4.653,4.053,0.783,1.383,1.257,-0.0204,-0.2768,0.1338,0.2368,0.4485,2.274,21.46,0.0,True
