group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Executioner + Nashors Tooth + Rabadons Deathcap,55,0.0023487210146474783,2.691,3.858,-0.137,-1.305,-0.773,0.0003,0.2252,0.3818,0.6545,0.8182,2.008,-4.81,0.0,True
populaire,Morellonomicon + Spear Of Shojin + Void Staff,395,0.01686808728701371,3.759,3.888,-0.108,-0.236,-0.036,0.0018,0.0627,0.1494,0.319,0.6557,2.009,-2.31,0.02073,True
pepite,Blue Buff + Rabadons Deathcap + Void Staff,61,0.0026049451253362943,3.164,3.9,-0.096,-0.832,-0.318,0.0002,0.1283,0.2951,0.459,0.7213,2.042,-3.18,0.00149,True
pepite,Blue Buff + Morellonomicon + Void Staff,84,0.0035871375496434213,3.393,3.904,-0.092,-0.603,-0.221,0.0003,0.157,0.1786,0.3571,0.75,1.78,-3.1,0.00196,True
pepite,Emblem Executioner + Jeweled Gauntlet + Spear Of Shojin,45,0.0019216808301661186,2.956,3.904,-0.091,-1.04,-0.524,0.0002,0.207,0.2889,0.4667,0.8,1.763,-3.95,8e-05,True
pepite,Rabadons Deathcap + Spear Of Shojin + Void Staff,144,0.00614937865653158,3.611,3.905,-0.09,-0.384,-0.075,0.0006,0.0736,0.1597,0.3333,0.6667,1.89,-2.43,0.01504,True
pepite,Red Buff + Spear Of Shojin + Void Staff,87,0.0037152496049878293,3.448,3.91,-0.086,-0.547,-0.159,0.0003,0.0851,0.1954,0.3678,0.6782,1.843,-2.76,0.00573,True
,Archangels Staff + Spear Of Shojin + Void Staff,80,0.0034163214758508777,3.425,3.912,-0.083,-0.571,-0.146,0.0003,0.1445,0.1875,0.3875,0.7375,1.935,-2.63,0.0085,True
,Jeweled Gauntlet + Rabadons Deathcap + Void Staff,122,0.005209890250672589,3.598,3.913,-0.082,-0.397,-0.053,0.0004,0.0791,0.1803,0.3279,0.6721,1.936,-2.26,0.02391,False
,Dawncore + Jeweled Gauntlet + Spear Of Shojin,52,0.0022206089593030704,3.25,3.921,-0.075,-0.746,-0.191,0.0002,0.1185,0.2885,0.4423,0.7115,2.037,-2.64,0.00839,True
,Emblem Executioner + Rabadons Deathcap + Spear Of Shojin,56,0.0023914250330956143,3.304,3.922,-0.074,-0.692,-0.177,0.0002,0.2284,0.2321,0.3571,0.8214,1.963,-2.63,0.00844,True
,Giant Slayer + Rabadons Deathcap + Spear Of Shojin,67,0.00286116923602511,3.418,3.923,-0.072,-0.578,-0.116,0.0002,0.1383,0.194,0.3582,0.7313,1.925,-2.45,0.01422,True
,Giant Slayer + Morellonomicon + Spear Of Shojin,46,0.0019643848486142544,3.239,3.928,-0.068,-0.756,-0.153,0.0001,0.1026,0.2609,0.4783,0.6957,2.087,-2.46,0.01407,True
,Blue Buff + Jeweled Gauntlet + Morellonomicon,69,0.002946577272921382,3.493,3.931,-0.065,-0.503,-0.029,0.0002,0.0736,0.2029,0.3768,0.6667,2.005,-2.08,0.03752,False
,Jeweled Gauntlet + Morellonomicon + Void Staff,113,0.004825554084639364,3.681,3.934,-0.061,-0.314,0.0,0.0003,0.0353,0.177,0.3363,0.6283,2.019,-1.65,0.09903,False
