group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Executioner,787,0.0341757859996526,3.09,3.425,-0.572,-0.907,-0.763,0.0195,0.1825,0.2706,0.5032,0.7751,2.02,-12.35,0.0,True
populaire,Morellonomicon,2167,0.09410283133576515,3.611,3.679,-0.318,-0.386,-0.296,0.03,0.0747,0.1841,0.3586,0.6673,2.028,-8.42,0.0,True
pepite,Emblem Rapidfire,186,0.008077123501823866,3.242,3.78,-0.217,-0.755,-0.448,0.0018,0.1117,0.3118,0.4731,0.7043,2.13,-4.81,0.0,True
populaire,Giant Slayer,1889,0.08203057147820045,3.728,3.781,-0.216,-0.269,-0.171,0.0177,0.0511,0.1752,0.3446,0.6437,2.067,-5.41,0.0,True
pepite,Red Buff,1073,0.04659544901858607,3.705,3.793,-0.204,-0.291,-0.162,0.0095,0.0458,0.1966,0.3523,0.6384,2.108,-4.42,1e-05,True
pepite,Lich Bane,181,0.007859996525968386,3.287,3.797,-0.2,-0.71,-0.422,0.0016,0.1367,0.2486,0.4088,0.7293,1.962,-4.84,0.0,True
populaire,Rabadons Deathcap,3409,0.14803717213826645,3.779,3.805,-0.192,-0.218,-0.142,0.0284,0.0407,0.1763,0.3376,0.6333,2.101,-5.63,0.0,True
populaire,Void Staff,3798,0.16492965085982284,3.794,3.816,-0.181,-0.203,-0.131,0.0298,0.0393,0.1638,0.3344,0.6319,2.075,-5.55,0.0,True
pepite,Adaptive Helm,1269,0.055106826472120896,3.757,3.821,-0.176,-0.24,-0.12,0.0097,0.0409,0.1883,0.3499,0.6336,2.117,-3.92,9e-05,True
pepite,Dawncore,354,0.015372589890568004,3.627,3.836,-0.161,-0.37,-0.156,0.0025,0.074,0.2119,0.3503,0.6667,2.038,-3.38,0.00071,True
populaire,Hextech Gunblade,1473,0.06396560708702449,3.851,3.886,-0.111,-0.146,-0.034,0.0071,0.0204,0.1711,0.3408,0.613,2.12,-2.55,0.0107,True
populaire,Blue Buff,3453,0.1499478895257947,3.904,3.915,-0.082,-0.093,-0.019,0.0124,0.0158,0.1544,0.3099,0.6085,2.071,-2.46,0.01406,True
populaire,Spear Of Shojin,6566,0.2851311446934167,3.913,3.919,-0.078,-0.084,-0.025,0.0223,0.0192,0.1648,0.3174,0.6118,2.142,-2.78,0.00539,True
,Eternal Pact,179,0.007773145735626194,3.788,3.938,-0.059,-0.209,0.0,0.0005,0.0219,0.2011,0.3464,0.6145,2.184,-1.28,0.20164,False
,Emblem Sprykin,46,0.001997568177870419,3.391,3.942,-0.055,-0.606,-0.032,0.0001,0.103,0.2174,0.413,0.6957,1.983,-2.07,0.03858,True
populaire,Archangels Staff,2578,0.11195066875108564,3.935,3.945,-0.052,-0.062,0.0,0.0059,0.0129,0.1478,0.3026,0.6055,2.07,-1.43,0.15294,False
,Strikers Flail,1418,0.06157721035261421,3.93,3.947,-0.05,-0.067,0.0,0.0031,0.0216,0.1559,0.323,0.6142,2.161,-1.13,0.25883,False
,Blighting Jewel,77,0.0033437554281743965,3.792,3.968,-0.029,-0.205,0.0,0.0001,0.0308,0.1948,0.3377,0.6234,2.11,-0.85,0.39522,False
,Emblem Fae,47,0.0020409935730415145,3.745,3.974,-0.023,-0.252,0.0,0.0,0.0882,0.1489,0.2766,0.6809,2.037,-0.85,0.39629,False
,Hand Of Justice,113,0.0049070696543338545,4.018,4.001,0.004,0.021,0.0,-0.0,0.0003,0.1416,0.2832,0.5929,2.129,0.1,0.91772,False
,Ludens Tempest,210,0.009119332985930172,4.014,4.002,0.005,0.017,0.0,-0.0,-0.026,0.1762,0.2905,0.5667,2.092,0.12,0.90493,False
,Emblem Lunar,40,0.0017370158068438423,4.1,4.005,0.008,0.103,0.0,-0.0,-0.0176,0.175,0.275,0.575,2.256,0.29,0.77287,False
,Manazane,198,0.008598228243877019,4.091,4.025,0.028,0.094,0.0,-0.0002,-0.0118,0.1566,0.303,0.5808,2.207,0.6,0.55081,False
,Emblem Flora Fatalis,87,0.003778009379885357,4.195,4.028,0.032,0.198,0.0,-0.0001,-0.0409,0.1724,0.2529,0.5517,2.273,0.81,0.41636,False
,Emblem Flora Fatalis Augment,109,0.00473336807364947,4.248,4.045,0.048,0.251,0.0,-0.0002,-0.033,0.1101,0.2569,0.5596,2.142,1.22,0.22286,False
,Emblem Invoker,66,0.0028660760812923396,4.591,4.071,0.074,0.594,0.075,-0.0002,-0.1078,0.1061,0.1818,0.4848,2.146,2.25,0.02476,True
populaire,Jeweled Gauntlet,10625,0.4613948236928956,4.078,4.075,0.078,0.081,0.032,-0.0359,-0.0182,0.1477,0.292,0.5744,2.157,3.21,0.00134,True
,Guinsoos Rageblade,951,0.04129755080771235,4.24,4.161,0.164,0.243,0.101,-0.0068,-0.0542,0.1272,0.2734,0.5384,2.186,3.36,0.00079,True
populaire,Nashors Tooth,4936,0.21434775056453015,4.2,4.182,0.185,0.203,0.136,-0.0398,-0.0371,0.1297,0.2735,0.5555,2.165,5.97,0.0,True
,Component Recurve Bow,130,0.005645301372242487,4.9,4.196,0.199,0.903,0.504,-0.0011,-0.1695,0.1231,0.1923,0.4231,2.317,4.43,1e-05,True
,Component Sparring Gloves,98,0.004255688726767413,5.347,4.234,0.237,1.35,0.905,-0.001,-0.2661,0.102,0.1327,0.3265,2.241,5.95,0.0,True
