group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Lich Bane,401,0.015824158478355235,3.446,3.751,-0.241,-0.546,-0.339,0.0038,0.0895,0.2469,0.4165,0.6833,2.098,-5.16,0.0,True
populaire,Dawncore,667,0.026320981808137012,3.6,3.769,-0.223,-0.392,-0.231,0.0059,0.0749,0.2174,0.3628,0.6687,2.095,-4.77,0.0,True
populaire,Eternal Pact,401,0.015824158478355235,3.668,3.849,-0.143,-0.324,-0.107,0.0023,0.0446,0.2045,0.399,0.6384,2.198,-2.93,0.00342,True
populaire,Blighting Jewel,265,0.010457361587940492,3.755,3.911,-0.081,-0.237,0.0,0.0009,0.0175,0.1925,0.3623,0.6113,2.111,-1.82,0.06873,False
populaire,Manazane,444,0.017521013377530485,3.822,3.913,-0.079,-0.17,0.0,0.0014,0.0368,0.1982,0.3626,0.6306,2.239,-1.59,0.11249,False
populaire,Zhonyas Paradox,78,0.0030780158636202204,3.641,3.945,-0.047,-0.351,0.0,0.0001,0.0985,0.1923,0.3205,0.6923,2.063,-1.5,0.13354,False
pepite,Wits End,49,0.001933625350222959,3.531,3.951,-0.041,-0.461,0.0,0.0001,0.1409,0.1633,0.3265,0.7347,1.875,-1.72,0.08528,False
populaire,Artifact Talisman Of Ascension,63,0.002486089736000947,3.889,3.981,-0.011,-0.103,0.0,0.0,0.0253,0.1587,0.3175,0.619,2.131,-0.38,0.70118,False
populaire,Seekers Armguard,77,0.003038554121778935,4.0,3.993,0.001,0.008,0.0,-0.0,0.0036,0.1558,0.3377,0.5974,2.274,0.03,0.97561,False
,Infinity Force,42,0.0016573931573339647,4.024,3.994,0.002,0.032,0.0,-0.0,-0.07,0.1667,0.381,0.5238,2.355,0.09,0.93045,False
populaire,Ludens Tempest,444,0.017521013377530485,4.0,3.996,0.004,0.008,0.0,-0.0001,-0.0059,0.1712,0.3018,0.5878,2.164,0.08,0.93898,False
,Navori Flickerblade,59,0.0023282427686358077,4.542,4.049,0.057,0.55,0.0,-0.0001,-0.1192,0.1186,0.2542,0.4746,2.28,1.85,0.064,False
,Gamblers Blade,52,0.0020520105757468135,4.865,4.073,0.081,0.873,0.311,-0.0002,-0.1322,0.0577,0.1538,0.4615,2.066,3.04,0.00233,True
populaire,Statikk Shiv,168,0.006629572629335859,4.464,4.11,0.118,0.472,0.143,-0.0008,-0.0759,0.0952,0.25,0.5179,2.168,2.81,0.0049,True
