group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Morellonomicon,3027,0.11945069255356931,3.629,3.681,-0.311,-0.363,-0.286,0.0372,0.0722,0.181,0.3584,0.666,2.045,-9.18,0.0,True
pepite,Adaptive Helm,1994,0.07868671323152204,3.771,3.816,-0.176,-0.221,-0.124,0.0139,0.0391,0.1841,0.346,0.6329,2.123,-4.46,1e-05,True
populaire,Giant Slayer,2792,0.11017718322086736,3.787,3.819,-0.173,-0.205,-0.121,0.0191,0.0387,0.1766,0.3446,0.6325,2.133,-4.81,0.0,True
populaire,Rabadons Deathcap,4674,0.1844441813661655,3.803,3.822,-0.17,-0.189,-0.122,0.0314,0.0352,0.1789,0.3355,0.629,2.128,-5.56,0.0,True
pepite,Red Buff,1801,0.07107059705615405,3.782,3.828,-0.164,-0.21,-0.107,0.0116,0.0375,0.1838,0.3415,0.6313,2.14,-4.01,6e-05,True
populaire,Void Staff,5019,0.1980584823014088,3.815,3.832,-0.161,-0.177,-0.113,0.0318,0.0386,0.1644,0.3319,0.6324,2.097,-5.42,0.0,True
pepite,Quicksilver,180,0.007103113531431278,3.667,3.907,-0.085,-0.325,0.0,0.0006,0.0507,0.2278,0.3944,0.6444,2.234,-1.95,0.05141,True
populaire,Hextech Gunblade,2391,0.09435302474251213,3.89,3.908,-0.084,-0.102,-0.012,0.0079,0.0097,0.1744,0.3358,0.6035,2.157,-2.21,0.02709,True
populaire,Blue Buff,4676,0.18452310484984807,3.917,3.925,-0.068,-0.075,-0.009,0.0125,0.0078,0.1621,0.3137,0.6016,2.102,-2.22,0.0261,True
populaire,Archangels Staff,3592,0.14174657669389526,3.946,3.952,-0.04,-0.046,0.0,0.0057,0.012,0.1503,0.3032,0.6058,2.096,-1.23,0.21957,False
populaire,Spear Of Shojin,8444,0.3332149481078095,3.957,3.959,-0.033,-0.035,0.0,0.0111,0.0102,0.1666,0.3157,0.604,2.177,-1.3,0.19516,False
pepite,Tacticians Cape,51,0.0020125488339055287,3.745,3.969,-0.023,-0.247,0.0,0.0,0.0337,0.2157,0.4118,0.6275,2.3,-0.77,0.4435,False
pepite,Tacticians Crown,244,0.009628665009273509,3.971,3.985,-0.007,-0.021,0.0,0.0001,0.0333,0.1721,0.2869,0.627,2.13,-0.15,0.8796,False
pepite,Hand Of Justice,419,0.016534469831498363,3.983,3.988,-0.004,-0.009,0.0,0.0001,0.01,0.1695,0.2912,0.6038,2.172,-0.08,0.93463,False
,Edge Of Night,93,0.003669941991239493,4.032,3.998,0.006,0.04,0.0,-0.0,-0.0024,0.1398,0.3118,0.5914,2.241,0.17,0.8629,False
,Strikers Flail,2130,0.08405351012193678,4.015,4.011,0.019,0.023,0.0,-0.0016,0.002,0.1479,0.3136,0.5958,2.196,0.47,0.636,False
,Titans Resolve,55,0.002170395801270668,4.382,4.03,0.038,0.39,0.0,-0.0001,-0.0847,0.1455,0.2727,0.5091,2.276,1.27,0.2046,False
,Bloodthirster,62,0.0024466279941596624,4.984,4.1,0.108,0.992,0.452,-0.0003,-0.1906,0.0645,0.1774,0.4032,2.166,3.6,0.00032,True
populaire,Jeweled Gauntlet,13009,0.5133577996132749,4.105,4.1,0.108,0.113,0.067,-0.0556,-0.0239,0.1478,0.2898,0.5698,2.173,4.8,0.0,True
,Krakens Fury,78,0.0030780158636202204,4.987,4.125,0.133,0.995,0.529,-0.0004,-0.1963,0.0641,0.1282,0.3974,2.097,4.18,3e-05,True
populaire,Nashors Tooth,6265,0.24722781263564975,4.173,4.159,0.167,0.181,0.121,-0.0414,-0.0321,0.1331,0.2771,0.5617,2.167,5.91,0.0,True
,Component Giants Belt,69,0.002722860187048656,5.826,4.212,0.22,1.834,1.368,-0.0006,-0.3039,0.0145,0.0435,0.2899,1.97,7.72,0.0,True
,Last Whisper,254,0.010023282427686358,4.803,4.263,0.271,0.811,0.551,-0.0027,-0.1765,0.0748,0.1811,0.4173,2.102,6.12,0.0,True
,Component B F Sword,187,0.007379345724320271,5.053,4.278,0.286,1.061,0.729,-0.0021,-0.2034,0.1176,0.1872,0.3904,2.314,6.25,0.0,True
,Guinsoos Rageblade,1894,0.07474053904739356,4.357,4.28,0.288,0.365,0.261,-0.0215,-0.0711,0.1267,0.2614,0.5227,2.232,6.88,0.0,True
,Infinity Edge,247,0.009747050234797364,4.943,4.304,0.312,0.951,0.688,-0.003,-0.197,0.0688,0.1579,0.3968,2.096,7.1,0.0,True
,Component Recurve Bow,409,0.016139852413085513,4.707,4.311,0.319,0.715,0.492,-0.0052,-0.1292,0.1247,0.2103,0.4645,2.279,6.29,0.0,True
,Deathblade,119,0.0046959472791129,5.681,4.313,0.321,1.689,1.369,-0.0015,-0.3333,0.0168,0.0504,0.2605,1.772,10.36,0.0,True
,Component Tear Of The Goddess,496,0.0195730239532773,4.881,4.432,0.44,0.889,0.686,-0.0086,-0.1664,0.0927,0.2157,0.4274,2.286,8.59,0.0,True
,Component Sparring Gloves,374,0.014758691448640542,5.128,4.475,0.482,1.136,0.902,-0.0071,-0.2168,0.1016,0.1765,0.377,2.297,9.5,0.0,True
,Component Needlessly Large Rod,659,0.02600528787340673,4.942,4.529,0.537,0.95,0.778,-0.014,-0.1719,0.0819,0.1836,0.4219,2.231,10.8,0.0,True
