group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Executioner,1206,0.05237102657634184,3.228,3.441,-0.556,-0.769,-0.648,0.0291,0.1495,0.2629,0.4693,0.7421,2.082,-12.48,0.0,True
populaire,Emblem Rapidfire,531,0.023058884835852007,3.363,3.658,-0.339,-0.633,-0.447,0.0078,0.1098,0.2787,0.4463,0.7024,2.171,-6.65,0.0,True
populaire,Emblem Flora Fatalis,308,0.013375021712697586,3.873,3.947,-0.05,-0.124,0.0,0.0007,0.0243,0.1851,0.3344,0.6169,2.213,-0.97,0.33008,False
populaire,Emblem Sprykin,158,0.006861212437033177,3.994,3.996,-0.001,-0.003,0.0,0.0,-0.004,0.1329,0.2975,0.5886,2.097,-0.02,0.98433,False
,Emblem Brawler,42,0.0018238665971860343,4.119,4.007,0.01,0.122,0.0,-0.0,-0.0926,0.1905,0.3333,0.5,2.238,0.35,0.72394,False
populaire,Emblem Fae,235,0.010204967865207573,4.047,4.014,0.017,0.05,0.0,-0.0002,-0.0139,0.1787,0.3064,0.5787,2.256,0.34,0.73606,False
,Emblem Inferno,99,0.004299114121938509,4.101,4.015,0.018,0.104,0.0,-0.0001,-0.0169,0.1717,0.3333,0.5758,2.338,0.44,0.65845,False
,Emblem Defender,46,0.001997568177870419,4.5,4.043,0.046,0.503,0.0,-0.0001,-0.0491,0.1304,0.2826,0.5435,2.375,1.44,0.15121,False
populaire,Emblem Lunar,209,0.009075907590759076,4.158,4.047,0.05,0.161,0.0,-0.0005,-0.0424,0.1292,0.2679,0.5502,2.127,1.09,0.27634,False
,Emblem Slayer,47,0.0020409935730415145,4.745,4.066,0.069,0.748,0.1,-0.0001,-0.1458,0.1277,0.1915,0.4468,2.264,2.26,0.0237,True
populaire,Emblem Blossom,255,0.011073475768629494,4.216,4.075,0.078,0.219,0.0,-0.0009,-0.0436,0.1373,0.2941,0.549,2.25,1.54,0.12251,False
,Emblem Primal,65,0.0028226506861212435,4.923,4.112,0.115,0.926,0.38,-0.0003,-0.208,0.1077,0.1846,0.3846,2.242,3.33,0.00088,True
populaire,Emblem Flora Fatalis Augment,227,0.009857564703838804,4.401,4.13,0.133,0.404,0.118,-0.0013,-0.0464,0.1101,0.2291,0.5463,2.184,2.77,0.00555,True
populaire,Emblem Blackthorn,122,0.005297898210873719,4.648,4.133,0.136,0.651,0.254,-0.0007,-0.1008,0.1066,0.2049,0.4918,2.232,3.21,0.00132,True
populaire,Emblem Invoker,273,0.011855132881709224,4.388,4.143,0.146,0.391,0.129,-0.0017,-0.0688,0.1355,0.2308,0.5238,2.203,2.92,0.00352,True
