group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Executioner + Rabadons Deathcap,238,0.01016355639065636,2.903,3.628,-0.368,-1.092,-0.831,0.0037,0.2221,0.3319,0.5546,0.8151,2.042,-8.2,0.0,True
pepite,Emblem Executioner + Nashors Tooth,258,0.01101763675961908,3.167,3.701,-0.294,-0.829,-0.571,0.0032,0.1473,0.2791,0.5116,0.7403,2.1,-6.3,0.0,True
pepite,Rabadons Deathcap + Void Staff,609,0.026006747234914807,3.545,3.741,-0.255,-0.45,-0.29,0.0066,0.0868,0.1954,0.3645,0.6798,1.994,-5.49,0.0,True
pepite,Emblem Executioner + Spear Of Shojin,227,0.009693812187726865,3.229,3.745,-0.25,-0.766,-0.496,0.0024,0.1779,0.2643,0.4493,0.7709,2.069,-5.55,0.0,True
pepite,Morellonomicon + Spear Of Shojin,949,0.04052611350728103,3.629,3.75,-0.245,-0.366,-0.234,0.0099,0.0814,0.1865,0.3477,0.6744,2.038,-5.42,0.0,True
pepite,Giant Slayer + Void Staff,316,0.013494469829610967,3.421,3.764,-0.232,-0.575,-0.357,0.0031,0.1,0.2057,0.4019,0.693,1.956,-5.18,0.0,True
,Emblem Executioner + Void Staff,104,0.004441217918606141,2.769,3.773,-0.223,-1.226,-0.881,0.001,0.2339,0.2788,0.5865,0.8269,1.793,-6.95,0.0,True
,Emblem Executioner + Jeweled Gauntlet,209,0.008925139855660418,3.282,3.775,-0.22,-0.713,-0.442,0.002,0.1486,0.2297,0.4306,0.7416,1.988,-5.16,0.0,True
,Blue Buff + Morellonomicon,296,0.012640389460648247,3.456,3.787,-0.209,-0.539,-0.323,0.0026,0.1266,0.1791,0.3649,0.7196,1.885,-4.88,0.0,True
populaire,Morellonomicon + Void Staff,952,0.04065422556262544,3.693,3.793,-0.203,-0.302,-0.172,0.0082,0.0624,0.1618,0.3403,0.6555,2.01,-4.53,1e-05,True
,Emblem Executioner + Blue Buff,101,0.004313105863261733,2.851,3.793,-0.203,-1.144,-0.762,0.0009,0.2189,0.3267,0.5446,0.8119,1.952,-5.88,0.0,True
