group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Executioner,2354,0.10052525942691207,2.534,2.777,-1.219,-1.461,-1.391,0.1225,0.2842,0.3195,0.6028,0.8772,1.597,-40.78,0.0,True
pepite,Lux Unique Trait,1304,0.055686040056369304,2.863,3.162,-0.833,-1.133,-1.029,0.0464,0.213,0.2937,0.536,0.806,1.848,-21.34,0.0,True
pepite,Elderwood,463,0.019771960541486954,2.419,3.212,-0.784,-1.577,-1.436,0.0155,0.2968,0.3737,0.6134,0.8898,1.509,-22.03,0.0,True
populaire,Solar,4917,0.20997565870948456,3.181,3.252,-0.744,-0.815,-0.749,0.1562,0.1357,0.3051,0.4861,0.7287,2.123,-24.38,0.0,True
pepite,Juggernaut,4770,0.20369816799760856,3.185,3.257,-0.738,-0.811,-0.744,0.1504,0.1405,0.3038,0.4834,0.7335,2.131,-23.89,0.0,True
pepite,Rapidfire,842,0.03595678353333048,2.852,3.26,-0.735,-1.144,-1.01,0.0264,0.2063,0.3361,0.5463,0.7993,1.939,-16.75,0.0,True
pepite,Alune Unique Trait,1642,0.07011999829183926,3.147,3.335,-0.66,-0.849,-0.75,0.0463,0.1628,0.2558,0.4616,0.7558,1.954,-16.89,0.0,True
populaire,Fae,5412,0.23111414784131187,3.479,3.52,-0.475,-0.517,-0.452,0.1099,0.0862,0.2528,0.4205,0.6792,2.181,-15.73,0.0,True
populaire,Blossom,5036,0.21505743690481274,3.507,3.548,-0.447,-0.489,-0.426,0.0962,0.0988,0.1944,0.3954,0.6918,2.044,-15.24,0.0,True
,Greenfather,2012,0.08592048511764958,3.446,3.55,-0.446,-0.55,-0.456,0.0383,0.1028,0.2251,0.4036,0.6958,2.056,-11.46,0.0,True
,Brawler,833,0.03557244736729726,3.304,3.553,-0.443,-0.692,-0.559,0.0158,0.1549,0.1801,0.431,0.7479,1.914,-10.2,0.0,True
populaire,Rapidfire,5144,0.21966947089721142,3.528,3.567,-0.429,-0.468,-0.402,0.0942,0.0751,0.2451,0.411,0.6682,2.178,-13.96,0.0,True
,Eclipse,134,0.00572233847205022,2.149,3.585,-0.411,-1.846,-1.575,0.0024,0.295,0.5,0.7388,0.8881,1.595,-13.33,0.0,True
,Emerald,2494,0.10650382200965111,3.532,3.605,-0.39,-0.463,-0.378,0.0416,0.081,0.2121,0.3869,0.674,2.074,-10.57,0.0,True
,Rapidfire,123,0.005252594269120724,2.374,3.658,-0.337,-1.622,-1.321,0.0018,0.2606,0.4309,0.6667,0.8537,1.694,-10.57,0.0,True
populaire,Elderwood,11995,0.512234701285391,3.658,3.671,-0.325,-0.337,-0.29,0.1664,0.0631,0.2092,0.3828,0.6561,2.182,-13.81,0.0,True
