group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,1410,0.05564105599621167,2.862,3.161,-0.831,-1.13,-1.03,0.0463,0.2119,0.2929,0.5362,0.8057,1.845,-22.16,0.0,True
pepite,Kennen,2342,0.09241939939228917,3.091,3.251,-0.741,-0.902,-0.817,0.0685,0.1697,0.2635,0.497,0.7635,1.98,-20.91,0.0,True
pepite,Elise,1533,0.06049485024268971,3.075,3.303,-0.689,-0.917,-0.8,0.0417,0.1433,0.379,0.5356,0.7371,2.272,-15.38,0.0,True
pepite,Sejuani,5547,0.2188942819936072,3.272,3.332,-0.66,-0.72,-0.657,0.1444,0.1181,0.2944,0.4707,0.7119,2.166,-22.41,0.0,True
pepite,Alune,1788,0.07055759441221736,3.152,3.338,-0.654,-0.84,-0.745,0.0462,0.1596,0.2556,0.4636,0.7534,1.965,-17.35,0.0,True
pepite,Kayle,5613,0.221498756955132,3.302,3.359,-0.633,-0.69,-0.627,0.1401,0.113,0.2883,0.4653,0.7068,2.174,-21.51,0.0,True
populaire,Gnar Small,5851,0.2308906515133578,3.343,3.394,-0.598,-0.649,-0.594,0.138,0.135,0.1902,0.3989,0.7288,1.874,-23.16,0.0,True
,Soraka,4641,0.1831419438854031,3.387,3.447,-0.545,-0.605,-0.541,0.0998,0.1175,0.2086,0.4131,0.7113,1.997,-18.7,0.0,True
populaire,Leona,6001,0.23680991278955052,3.435,3.479,-0.513,-0.557,-0.494,0.1216,0.0889,0.2746,0.4441,0.6827,2.234,-17.45,0.0,True
,Ivern,2226,0.08784183733870013,3.402,3.511,-0.481,-0.59,-0.5,0.0422,0.1097,0.2341,0.4164,0.7035,2.058,-12.91,0.0,True
,Rakan,5484,0.21640819225760624,3.474,3.518,-0.474,-0.518,-0.453,0.1026,0.0895,0.2642,0.4291,0.6833,2.228,-15.68,0.0,True
,Ahri,5694,0.22469515804427606,3.506,3.546,-0.446,-0.486,-0.426,0.1002,0.1031,0.192,0.3909,0.6969,2.031,-16.09,0.0,True
populaire,Sett,6763,0.2668797600726096,3.536,3.568,-0.425,-0.456,-0.401,0.1133,0.0941,0.1862,0.3852,0.6879,2.036,-16.14,0.0,True
,Taric,2739,0.10808571090327927,3.527,3.6,-0.392,-0.465,-0.383,0.0424,0.0816,0.2125,0.391,0.6754,2.08,-11.06,0.0,True
populaire,Ezreal,11037,0.43553924470226113,3.663,3.678,-0.314,-0.329,-0.283,0.137,0.0689,0.1668,0.346,0.6627,2.007,-14.01,0.0,True
populaire,Yunara,6235,0.24604396038041118,3.663,3.688,-0.304,-0.329,-0.27,0.0748,0.0678,0.1803,0.3715,0.6616,2.114,-10.94,0.0,True
,Aphelios,1184,0.046722702340081294,3.595,3.714,-0.278,-0.397,-0.272,0.013,0.0726,0.2221,0.386,0.6664,2.139,-6.23,0.0,True
,Azir,2860,0.11286058166607474,3.682,3.729,-0.263,-0.31,-0.229,0.0297,0.0639,0.172,0.364,0.6577,2.084,-7.5,0.0,True
,Ashe,522,0.020599029241150705,3.605,3.796,-0.196,-0.387,-0.209,0.004,0.0767,0.1686,0.3755,0.6705,2.044,-4.27,2e-05,True
,Zyra,343,0.013535377451560712,3.638,3.849,-0.143,-0.354,-0.125,0.0019,0.0739,0.1983,0.3673,0.6676,2.148,-3.03,0.00247,True
,Crimson Raptor,352,0.013890533128132276,3.793,3.91,-0.082,-0.199,0.0,0.0011,0.0483,0.1562,0.3239,0.642,2.074,-1.79,0.07332,True
,Malphite,794,0.03133262302198019,3.878,3.922,-0.07,-0.114,0.0,0.0022,0.0397,0.1537,0.3388,0.6335,2.172,-1.46,0.14445,False
populaire,Xayah,12218,0.4821435618168186,3.934,3.936,-0.056,-0.058,-0.011,0.027,0.0026,0.1798,0.3213,0.5964,2.179,-2.43,0.01492,True
,Teemo,872,0.03441063888560041,3.924,3.949,-0.043,-0.068,0.0,0.0015,0.0576,0.1009,0.2718,0.6514,1.979,-0.99,0.32182,False
,Tristana,872,0.03441063888560041,3.958,3.97,-0.022,-0.034,0.0,0.0008,0.0438,0.1101,0.2695,0.6376,1.983,-0.5,0.61457,False
,Varus,625,0.024663588650803047,4.027,4.011,0.019,0.035,0.0,-0.0005,-0.005,0.1712,0.3264,0.5888,2.286,0.38,0.70396,False
,Amumu,1122,0.04427607434592163,4.029,4.018,0.026,0.037,0.0,-0.0011,-0.0225,0.1907,0.3387,0.5713,2.305,0.53,0.59447,False
,Rammus,3198,0.12619865040842904,4.024,4.019,0.027,0.032,0.0,-0.0035,0.0132,0.1107,0.268,0.6069,2.004,0.83,0.40396,False
,Draven,622,0.024545203425279192,4.045,4.021,0.029,0.053,0.0,-0.0007,-0.0118,0.1527,0.2814,0.582,2.127,0.61,0.5399,False
,Cinderling,165,0.0065111874038120045,4.158,4.033,0.041,0.166,0.0,-0.0003,0.0244,0.0303,0.2364,0.6182,1.904,1.11,0.26608,False
,Maokai,1527,0.060258079791642,4.06,4.043,0.051,0.068,0.0,-0.0031,-0.0168,0.1421,0.2816,0.5769,2.103,1.22,0.22383,False
,Kobuko,2889,0.114004972179472,4.053,4.044,0.052,0.061,0.0,-0.0059,0.0123,0.1049,0.2617,0.6061,2.003,1.53,0.12709,False
populaire,Ornn,15968,0.6301250937216368,4.059,4.057,0.065,0.067,0.024,-0.0411,-0.0168,0.1619,0.2979,0.577,2.184,3.05,0.00226,True
,Gromp A P,150,0.005919261276192731,4.28,4.058,0.066,0.288,0.0,-0.0004,-0.0004,0.0333,0.2133,0.5933,1.997,1.76,0.07847,True
,Rengar,363,0.014324612288386409,4.157,4.061,0.069,0.165,0.0,-0.001,-0.0153,0.1377,0.2727,0.5785,2.183,1.43,0.15286,False
,Sentry,207,0.008168580561145968,4.237,4.063,0.071,0.245,0.0,-0.0006,-0.0334,0.0242,0.2029,0.5604,1.817,1.93,0.05411,True
,Scuttlecrab,308,0.01215421648711574,4.185,4.065,0.073,0.193,0.0,-0.0009,-0.0321,0.1201,0.289,0.5617,2.2,1.53,0.12585,False
,Murkwolf,157,0.0061954934690817256,4.306,4.066,0.074,0.314,0.009,-0.0005,-0.046,0.0318,0.2166,0.5478,1.941,2.02,0.04366,True
,Kog Maw A D,249,0.009825973718479934,4.221,4.067,0.075,0.229,0.0,-0.0007,-0.0034,0.1004,0.2209,0.5904,2.095,1.71,0.08645,False
