group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Elderwood,1578,0.02357546239579287,3.15,3.326,-0.209,-0.386,-0.285,0.0049,0.0494,0.2839,0.4791,0.7357,2.023,-7.48,0.0,True
populaire,Evenshroud,12033,0.17977410583559925,3.303,3.327,-0.208,-0.232,-0.193,0.0375,0.0359,0.2309,0.4347,0.7222,1.997,-11.69,0.0,True
populaire,Protectors Vow,19162,0.28628200914333524,3.384,3.394,-0.141,-0.151,-0.119,0.0405,0.0239,0.215,0.4128,0.7103,2.003,-9.2,0.0,True
populaire,Sunfire Cape,15145,0.2262676666567066,3.382,3.395,-0.14,-0.153,-0.118,0.0318,0.0263,0.2081,0.4092,0.7126,1.977,-8.55,0.0,True
pepite,Emblem Brawler,621,0.009277796037888069,3.11,3.4,-0.135,-0.426,-0.271,0.0013,0.0689,0.2738,0.4702,0.7552,1.953,-5.4,0.0,True
pepite,Emblem Vanguard,806,0.012041712731944902,3.254,3.43,-0.105,-0.281,-0.142,0.0013,0.0494,0.2469,0.438,0.7357,1.997,-3.97,7e-05,True
populaire,Crownguard,8808,0.1315923148175815,3.418,3.433,-0.102,-0.117,-0.073,0.0134,0.023,0.2054,0.4029,0.7094,1.993,-5.17,0.0,True
pepite,Adaptive Helm,5475,0.08179699405384408,3.419,3.442,-0.093,-0.116,-0.06,0.0076,0.0236,0.2077,0.4082,0.71,2.012,-4.1,4e-05,True
pepite,Emblem Juggernaut,489,0.007305704126452924,3.256,3.46,-0.075,-0.279,-0.099,0.0005,0.0519,0.2495,0.4438,0.7382,2.032,-3.03,0.00244,True
pepite,Emblem Sprykin,707,0.010562643798368541,3.358,3.474,-0.061,-0.177,-0.033,0.0006,0.035,0.2136,0.3989,0.7214,1.95,-2.4,0.01627,True
,Ionic Spark,2897,0.043281441419906176,3.451,3.478,-0.057,-0.084,-0.011,0.0025,0.0237,0.1857,0.3866,0.71,1.952,-2.26,0.0237,True
,Warmogs Armor Radiant,55,0.0008217049630979772,3.418,3.53,-0.005,-0.117,0.0,0.0,-0.0318,0.1818,0.4,0.6545,1.836,-0.47,0.63699,False
populaire,Bramble Vest,5575,0.08329100307765859,3.53,3.531,-0.004,-0.005,0.0,0.0004,0.0055,0.1776,0.3743,0.6918,1.982,-0.19,0.8459,False
,Horizon Focus,124,0.0018525711895299847,3.573,3.538,0.003,0.038,0.0,-0.0,-0.0008,0.2339,0.3952,0.6855,2.163,0.19,0.847,False
,Lightshield Crest,359,0.005363492395494069,3.554,3.539,0.004,0.019,0.0,-0.0,-0.0039,0.1866,0.3816,0.6825,2.036,0.18,0.8582,False
,Titans Resolve,63,0.0009412256850031374,3.762,3.545,0.01,0.227,0.0,-0.0,-0.0514,0.1905,0.3492,0.6349,2.195,0.82,0.41217,False
,Emblem Spellweaver,291,0.004347566259300206,3.653,3.556,0.021,0.118,0.0,-0.0001,-0.0059,0.1409,0.3265,0.6804,1.949,1.03,0.30353,False
,Hullcrusher,41,0.0006125436997639466,4.268,3.557,0.022,0.733,0.241,-0.0,-0.1253,0.0244,0.1707,0.561,1.608,2.92,0.00352,True
,Void Gauntlet,66,0.0009860459557175726,4.182,3.565,0.03,0.647,0.144,-0.0,-0.0803,0.1212,0.2273,0.6061,2.081,2.52,0.01161,True
,Aegis Of Dusk,105,0.001568709475005229,4.057,3.573,0.038,0.522,0.135,-0.0001,-0.0863,0.1238,0.2476,0.6,2.023,2.64,0.00823,True
populaire,Steadfast Heart,6461,0.0965279230286551,3.583,3.575,0.04,0.048,0.0,-0.0038,-0.0055,0.1777,0.3659,0.6809,2.007,1.83,0.06759,True
,Aegis Of Dawn,207,0.003092598679296023,3.836,3.575,0.04,0.301,0.026,-0.0001,-0.0341,0.1401,0.2995,0.6522,2.015,2.14,0.03206,True
,The Indomitable,347,0.0051842113126363285,3.735,3.576,0.041,0.2,0.0,-0.0002,-0.0552,0.1816,0.3343,0.6311,2.048,1.81,0.06988,True
populaire,Dragons Claw,7231,0.10803179251202677,3.608,3.597,0.061,0.073,0.024,-0.0066,-0.0164,0.1751,0.3549,0.6699,1.995,2.95,0.0032,True
populaire,Spirit Visage,16659,0.2488869632772582,3.605,3.599,0.064,0.069,0.036,-0.016,-0.0102,0.1759,0.3542,0.6761,1.998,4.01,6e-05,True
,Steraks Gage,344,0.005139391041921893,3.875,3.605,0.069,0.34,0.113,-0.0004,-0.07,0.1628,0.3343,0.6163,2.139,2.94,0.00327,True
populaire,Warmogs Armor,20139,0.3008784773060029,3.618,3.613,0.078,0.083,0.051,-0.0235,-0.014,0.1802,0.3584,0.6723,2.027,5.11,0.0,True
,Moguls Mail,502,0.0074999252995488095,3.978,3.656,0.121,0.443,0.264,-0.0009,-0.0947,0.1494,0.2849,0.5916,2.044,4.84,0.0,True
,Component Chain Vest,244,0.0036453820181073892,4.578,3.696,0.161,1.043,0.77,-0.0006,-0.1945,0.0902,0.1926,0.4918,2.172,7.49,0.0,True
,Component Negatron Cloak,249,0.0037200824692981147,4.594,3.701,0.166,1.059,0.774,-0.0006,-0.1964,0.0964,0.257,0.49,2.292,7.28,0.0,True
populaire,Gargoyle Stoneplate,28518,0.4260614934114202,3.72,3.712,0.177,0.185,0.157,-0.0752,-0.0356,0.1674,0.3393,0.6507,2.04,12.85,0.0,True
,Component Giants Belt,434,0.006483999163354947,4.438,3.756,0.221,0.903,0.696,-0.0014,-0.1679,0.1175,0.2419,0.5184,2.191,8.56,0.0,True
