group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Horizon Focus,152,0.005273566249176005,3.086,3.452,-0.097,-0.463,-0.159,0.0005,0.0927,0.2105,0.5066,0.7829,1.905,-2.99,0.00281,True
pepite,Zhonyas Paradox,49,0.0017000312250633174,3.306,3.53,-0.019,-0.242,0.0,0.0,0.0853,0.102,0.3673,0.7755,1.568,-1.08,0.27957,False
populaire,Lightshield Crest,381,0.013218610137737223,3.541,3.545,-0.003,-0.008,0.0,0.0,0.008,0.1785,0.3675,0.6982,1.973,-0.08,0.93804,False
,Silvermere Dawn,42,0.0014571696214828436,3.929,3.574,0.026,0.38,0.0,-0.0,-0.0949,0.0952,0.3095,0.5952,1.944,1.27,0.20567,False
populaire,Artifact Talisman Of Ascension,63,0.0021857544322242653,3.857,3.579,0.03,0.309,0.0,-0.0001,-0.0076,0.0952,0.2698,0.6825,1.934,1.26,0.20598,False
populaire,Aegis Of Dawn,281,0.009749158658016168,3.747,3.614,0.065,0.199,0.0,-0.0006,-0.0283,0.1423,0.2989,0.6619,1.895,1.75,0.0803,False
populaire,Seekers Armguard,71,0.0024633105506019497,4.239,3.624,0.076,0.691,0.213,-0.0002,-0.155,0.0986,0.2817,0.5352,2.052,2.83,0.0046,True
,Forbidden Idol,60,0.0020816708878326337,4.45,3.634,0.085,0.901,0.346,-0.0002,-0.1902,0.1,0.25,0.5,2.194,3.18,0.00147,True
populaire,Aegis Of Dusk,238,0.008257294521736113,3.92,3.657,0.109,0.372,0.115,-0.0009,-0.0725,0.1261,0.2899,0.6176,2.008,2.84,0.00446,True
populaire,Hullcrusher,134,0.004649064982826215,4.127,3.658,0.109,0.578,0.226,-0.0005,-0.1529,0.1194,0.291,0.5373,2.075,3.22,0.00128,True
populaire,Void Gauntlet,159,0.005516427852756479,4.119,3.672,0.123,0.571,0.243,-0.0007,-0.143,0.1195,0.2893,0.5472,2.105,3.41,0.00065,True
populaire,The Indomitable,338,0.01172674600145717,4.047,3.733,0.184,0.499,0.279,-0.0022,-0.0866,0.1183,0.2663,0.6036,2.048,4.45,1e-05,True
populaire,Moguls Mail,349,0.012108385664226486,4.146,3.774,0.225,0.598,0.381,-0.0027,-0.1171,0.106,0.2579,0.5731,2.052,5.41,0.0,True
