group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Evenshroud,11645,0.169680455783998,3.311,3.337,-0.221,-0.247,-0.209,0.0376,0.0407,0.2194,0.4252,0.7281,1.966,-12.52,0.0,True
populaire,Adaptive Helm,7730,0.11263460053330225,3.368,3.397,-0.162,-0.191,-0.144,0.0182,0.0411,0.2034,0.4098,0.7285,1.973,-8.04,0.0,True
populaire,Protectors Vow,19507,0.2842384414751781,3.386,3.397,-0.161,-0.173,-0.141,0.0459,0.0298,0.209,0.4089,0.7172,1.992,-10.66,0.0,True
populaire,Sunfire Cape,16068,0.2341284296725874,3.413,3.424,-0.135,-0.146,-0.112,0.0315,0.028,0.1983,0.3985,0.7154,1.969,-8.43,0.0,True
populaire,Crownguard,11202,0.16322545862536245,3.42,3.435,-0.124,-0.139,-0.099,0.0202,0.0309,0.1923,0.397,0.7183,1.974,-6.89,0.0,True
pepite,Morellonomicon,620,0.009034081802153609,3.223,3.454,-0.105,-0.336,-0.184,0.0009,0.061,0.2194,0.4516,0.7484,1.918,-4.34,1e-05,True
pepite,Ionic Spark,4301,0.06267029972752043,3.465,3.488,-0.071,-0.093,-0.033,0.0044,0.0168,0.1855,0.3848,0.7043,1.955,-3.03,0.00248,True
pepite,Rabadons Deathcap,261,0.0038030570167130514,3.234,3.507,-0.052,-0.325,-0.089,0.0002,0.0712,0.2222,0.4483,0.7586,1.942,-2.7,0.007,True
pepite,Archangels Staff,462,0.006731848052572527,3.398,3.518,-0.04,-0.16,0.0,0.0003,0.0464,0.1948,0.3853,0.7338,1.908,-1.8,0.07199,False
pepite,Void Staff,162,0.0023605181483046527,3.179,3.519,-0.04,-0.38,-0.097,0.0001,0.0657,0.2407,0.4198,0.7531,1.832,-2.63,0.00846,True
pepite,Tacticians Crown,61,0.0008888370805344679,2.787,3.526,-0.033,-0.772,-0.333,0.0,0.1651,0.2951,0.5082,0.8525,1.747,-3.45,0.00057,True
,Blue Buff,238,0.0034679217240525142,3.361,3.529,-0.029,-0.197,0.0,0.0001,0.0647,0.1723,0.4244,0.7521,1.895,-1.6,0.10902,False
,Component Sparring Gloves,67,0.0009762636786198255,2.925,3.529,-0.029,-0.633,-0.229,0.0,0.1186,0.209,0.4925,0.806,1.687,-3.07,0.00213,True
,Hextech Gunblade,150,0.0021856649521339376,3.347,3.538,-0.021,-0.212,0.0,0.0,0.0993,0.1533,0.4067,0.7867,1.883,-1.38,0.16861,False
,Spear Of Shojin,218,0.003176499730434656,3.431,3.541,-0.017,-0.127,0.0,0.0001,0.0374,0.1606,0.3991,0.7248,1.852,-1.01,0.31053,False
,Bramble Vest,7202,0.10494105990179078,3.542,3.545,-0.014,-0.016,0.0,0.0014,0.0078,0.1726,0.3656,0.6952,1.972,-0.67,0.5027,False
,Red Buff,88,0.0012822567719185766,3.341,3.545,-0.013,-0.218,0.0,0.0,0.0399,0.1818,0.4205,0.7273,1.864,-1.09,0.27362,False
