group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Brawler,753,0.021073547520429867,2.876,3.204,-0.345,-0.672,-0.542,0.0073,0.1124,0.2789,0.5139,0.8021,1.788,-10.18,0.0,True
populaire,Emblem Juggernaut,780,0.02182917273032576,3.017,3.271,-0.277,-0.531,-0.397,0.0061,0.0872,0.2654,0.4949,0.7769,1.897,-7.73,0.0,True
populaire,Emblem Vanguard,903,0.02527146535318482,3.111,3.304,-0.244,-0.437,-0.31,0.0062,0.0678,0.2436,0.4773,0.7575,1.929,-6.73,0.0,True
populaire,Emblem Sprykin,1200,0.03358334266203963,3.182,3.318,-0.23,-0.366,-0.258,0.0077,0.0636,0.2267,0.4442,0.7533,1.892,-6.59,0.0,True
populaire,Emblem Invoker,179,0.005009515280420911,2.978,3.434,-0.114,-0.571,-0.286,0.0006,0.098,0.2905,0.4916,0.7877,1.935,-3.94,8e-05,True
populaire,Emblem Elderwood,767,0.02146535318482033,3.377,3.459,-0.089,-0.171,-0.028,0.0019,0.0052,0.2282,0.4055,0.6949,2.012,-2.34,0.01952,True
populaire,Emblem Flora Fatalis,251,0.0070245158401432885,3.327,3.491,-0.058,-0.221,0.0,0.0004,0.0354,0.1753,0.3944,0.7251,1.818,-1.92,0.05454,False
populaire,Emblem Primal,153,0.004281876189410052,3.288,3.502,-0.046,-0.261,0.0,0.0002,0.0619,0.1765,0.451,0.7516,1.963,-1.64,0.10126,False
pepite,Emblem Blackthorn,103,0.0028825702451584015,3.272,3.513,-0.035,-0.276,0.0,0.0001,-0.0004,0.2816,0.4757,0.6893,2.128,-1.32,0.18809,False
pepite,Emblem Slayer,75,0.0020989589163774767,3.227,3.518,-0.031,-0.321,0.0,0.0001,0.057,0.2,0.4133,0.7467,1.778,-1.56,0.11787,False
pepite,Emblem Hunter,89,0.0024907645807679393,3.528,3.546,-0.002,-0.02,0.0,0.0,0.0069,0.2022,0.3146,0.6966,1.891,-0.1,0.92032,False
,Emblem Rapidfire,43,0.00120340311205642,3.628,3.553,0.005,0.08,0.0,-0.0,0.0312,0.0698,0.2791,0.7209,1.657,0.32,0.75251,False
,Emblem Executioner,40,0.001119444755401321,3.9,3.567,0.019,0.352,0.0,-0.0,-0.1397,0.25,0.35,0.55,2.245,0.99,0.3218,False
,Emblem Flora Fatalis Augment,70,0.001959028321952312,3.829,3.573,0.025,0.28,0.0,-0.0,-0.0468,0.1143,0.2571,0.6429,1.828,1.28,0.19989,False
,Emblem Lunar,128,0.003582223217284227,3.719,3.574,0.026,0.171,0.0,-0.0001,-0.0491,0.1719,0.3672,0.6406,2.114,0.91,0.36195,False
populaire,Emblem Spellweaver,486,0.013601253778126049,3.642,3.586,0.038,0.094,0.0,-0.0005,-0.0354,0.1584,0.358,0.6543,1.972,1.04,0.29751,False
,Emblem Coven,82,0.0022948617485727078,4.0,3.595,0.047,0.452,0.0,-0.0001,-0.1409,0.2073,0.3537,0.5488,2.295,1.78,0.0749,False
,Emblem Inferno,77,0.002154931154147543,4.286,3.62,0.072,0.738,0.282,-0.0002,-0.0923,0.0779,0.2338,0.5974,2.038,3.17,0.00151,True
populaire,Emblem Blossom,262,0.007332363147878652,3.847,3.628,0.08,0.299,0.033,-0.0006,-0.0714,0.1756,0.3511,0.6183,2.189,2.21,0.02744,True
