group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Evenshroud + Sunfire Cape,4110,0.07574501022834079,3.171,3.245,-0.28,-0.354,-0.291,0.0212,0.0589,0.2494,0.4657,0.7462,1.957,-11.15,0.0,True
populaire,Evenshroud + Protectors Vow,4636,0.08543889718213818,3.228,3.284,-0.24,-0.297,-0.237,0.0205,0.0476,0.2418,0.4553,0.7349,1.982,-9.77,0.0,True
populaire,Protectors Vow + Sunfire Cape,4610,0.0849597316673117,3.289,3.334,-0.19,-0.235,-0.176,0.0162,0.0368,0.2267,0.4332,0.7241,1.974,-7.75,0.0,True
pepite,Crownguard + Sunfire Cape,949,0.01748954129116677,3.165,3.357,-0.168,-0.359,-0.233,0.0029,0.0629,0.2497,0.4626,0.7503,1.958,-5.6,0.0,True
pepite,Adaptive Helm + Protectors Vow,1521,0.02803118261734948,3.254,3.367,-0.158,-0.27,-0.169,0.0044,0.0418,0.238,0.4477,0.7291,1.985,-5.23,0.0,True
pepite,Crownguard + Evenshroud,874,0.016107333075321133,3.19,3.375,-0.149,-0.335,-0.201,0.0024,0.0541,0.262,0.4668,0.7414,2.001,-4.91,0.0,True
pepite,Crownguard + Protectors Vow,1614,0.029745120804998065,3.292,3.385,-0.139,-0.233,-0.133,0.0041,0.0407,0.2323,0.4424,0.728,2.016,-4.57,0.0,True
pepite,Emblem Elderwood + Evenshroud,289,0.00532610899172518,2.879,3.389,-0.136,-0.646,-0.418,0.0007,0.0739,0.3599,0.5433,0.7612,1.966,-5.57,0.0,True
pepite,Evenshroud + Spirit Visage,1656,0.03051915740587162,3.306,3.392,-0.132,-0.219,-0.125,0.004,0.0367,0.2204,0.4112,0.724,1.92,-4.57,0.0,True
,Emblem Elderwood + Sunfire Cape,270,0.004975949577044286,2.911,3.402,-0.122,-0.613,-0.388,0.0006,0.0905,0.3185,0.5259,0.7778,1.884,-5.34,0.0,True
,Adaptive Helm + Crownguard,670,0.012347726728221006,3.21,3.405,-0.12,-0.314,-0.164,0.0015,0.0515,0.2313,0.4687,0.7388,1.971,-4.1,4e-05,True
,Bramble Vest + Protectors Vow,815,0.015019995945522566,3.267,3.414,-0.11,-0.257,-0.124,0.0017,0.055,0.2147,0.427,0.7423,1.926,-3.78,0.00016,True
,Emblem Elderwood + Protectors Vow,341,0.006284440021378154,3.082,3.419,-0.106,-0.442,-0.233,0.0007,0.0546,0.2903,0.4956,0.7419,1.969,-4.14,4e-05,True
,Adaptive Helm + Sunfire Cape,729,0.013435063858019573,3.263,3.42,-0.105,-0.261,-0.123,0.0014,0.0452,0.2181,0.4266,0.7325,1.888,-3.71,0.00021,True
,Dragons Claw + Protectors Vow,1145,0.02110171209524336,3.333,3.426,-0.098,-0.192,-0.077,0.0021,0.028,0.2236,0.4096,0.7153,1.964,-3.27,0.00108,True
,Emblem Brawler + Warmogs Armor,135,0.002487974788522143,2.637,3.426,-0.098,-0.888,-0.575,0.0002,0.1645,0.363,0.5926,0.8519,1.848,-5.57,0.0,True
,Ionic Spark + Protectors Vow,542,0.009988758039844456,3.244,3.431,-0.094,-0.281,-0.122,0.0009,0.0562,0.203,0.4225,0.7435,1.875,-3.47,0.00052,True
,Bramble Vest + Sunfire Cape,799,0.014725124859475499,3.317,3.436,-0.088,-0.208,-0.071,0.0013,0.0511,0.199,0.428,0.7384,1.96,-2.98,0.00292,True
,Evenshroud + Steadfast Heart,712,0.013121763329094562,3.32,3.444,-0.081,-0.204,-0.056,0.0011,0.0248,0.2289,0.4354,0.7121,2.005,-2.7,0.0069,True
,Emblem Elderwood + Warmogs Armor,369,0.006800464421960524,3.206,3.444,-0.081,-0.319,-0.113,0.0005,0.0363,0.2547,0.458,0.7236,2.007,-3.04,0.00237,True
,Crownguard + Ionic Spark,267,0.00492066124841046,3.112,3.443,-0.081,-0.412,-0.198,0.0004,0.0655,0.221,0.4494,0.7528,1.783,-3.77,0.00017,True
,Steadfast Heart + Sunfire Cape,900,0.01658649859014762,3.357,3.448,-0.076,-0.168,-0.042,0.0013,0.0449,0.1933,0.4056,0.7322,1.909,-2.62,0.00891,True
,Protectors Vow + Spirit Visage,3034,0.05591492969167542,3.423,3.449,-0.075,-0.102,-0.029,0.0042,0.0203,0.206,0.3965,0.7076,1.989,-2.75,0.006,True
