group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Unique Trait,6299,0.16437891440501043,2.695,2.784,-0.73,-0.819,-0.77,0.12,0.1381,0.3431,0.5799,0.8255,1.813,-32.67,0.0,True
pepite,Elderwood,2848,0.07432150313152401,2.589,2.785,-0.728,-0.925,-0.858,0.0541,0.1581,0.3578,0.5987,0.8455,1.735,-27.12,0.0,True
pepite,Elderwood,398,0.010386221294363257,1.799,2.927,-0.586,-1.714,-1.601,0.0061,0.2774,0.5528,0.7915,0.9648,1.139,-29.56,0.0,True
populaire,Brawler,15313,0.3996085594989562,2.979,3.005,-0.509,-0.534,-0.498,0.2032,0.0997,0.2719,0.494,0.7871,1.853,-29.39,0.0,True
pepite,Greenfather,9531,0.2487212943632568,3.017,3.054,-0.46,-0.496,-0.453,0.1143,0.0902,0.2727,0.491,0.7776,1.894,-22.61,0.0,True
populaire,Alune Unique Trait,14817,0.3866649269311065,3.066,3.088,-0.426,-0.448,-0.412,0.1646,0.0882,0.2453,0.4715,0.7756,1.854,-24.35,0.0,True
pepite,Emerald,5198,0.13564718162839248,3.071,3.128,-0.386,-0.443,-0.386,0.0523,0.0748,0.2726,0.4877,0.7622,1.94,-15.37,0.0,True
pepite,Lunar,879,0.022938413361169103,2.795,3.13,-0.384,-0.718,-0.599,0.0088,0.1385,0.2912,0.5415,0.8259,1.773,-11.83,0.0,True
,Hunter,2605,0.06798016701461378,3.029,3.139,-0.374,-0.484,-0.409,0.0254,0.0903,0.2695,0.4864,0.7777,1.882,-12.65,0.0,True
,Sprykin,5536,0.1444676409185804,3.09,3.142,-0.372,-0.423,-0.369,0.0537,0.0783,0.2533,0.4774,0.7657,1.898,-15.38,0.0,True
,Defender,2086,0.05443632567849687,3.063,3.184,-0.329,-0.45,-0.372,0.0179,0.1036,0.1932,0.4684,0.791,1.748,-11.36,0.0,True
,Rival,1444,0.037682672233820456,3.042,3.206,-0.308,-0.471,-0.369,0.0116,0.0778,0.2971,0.4861,0.7652,1.942,-9.04,0.0,True
,Lunar,303,0.007907098121085594,2.452,3.213,-0.301,-1.061,-0.882,0.0024,0.1872,0.363,0.6139,0.8746,1.583,-11.6,0.0,True
,Fae,9964,0.2600208768267223,3.224,3.244,-0.269,-0.29,-0.247,0.07,0.0538,0.2353,0.4375,0.7412,1.922,-13.27,0.0,True
,Sprykin,1406,0.03669102296450939,3.113,3.254,-0.259,-0.4,-0.305,0.0095,0.0893,0.2219,0.4424,0.7767,1.785,-8.22,0.0,True
populaire,Spellweaver,14722,0.3841858037578288,3.241,3.255,-0.258,-0.272,-0.235,0.0993,0.0494,0.2301,0.4404,0.7368,1.946,-14.27,0.0,True
populaire,Lunar,12344,0.3221294363256785,3.249,3.265,-0.249,-0.264,-0.224,0.0801,0.051,0.2289,0.4366,0.7384,1.945,-13.01,0.0,True
,Sprykin,398,0.010386221294363257,2.784,3.264,-0.249,-0.729,-0.566,0.0026,0.1518,0.2764,0.5101,0.8392,1.654,-8.73,0.0,True
,Primal,863,0.02252087682672234,3.05,3.268,-0.246,-0.464,-0.337,0.0055,0.1017,0.2399,0.489,0.7891,1.878,-7.16,0.0,True
,Hunter,669,0.017458246346555323,3.028,3.287,-0.226,-0.485,-0.338,0.0039,0.0824,0.2661,0.5037,0.7698,1.92,-6.47,0.0,True
,Primal,7310,0.19076200417536535,3.284,3.306,-0.207,-0.229,-0.18,0.0396,0.0404,0.2295,0.4324,0.7278,1.961,-9.12,0.0,True
