group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gnar Small,16221,0.2892320310967673,2.91,2.951,-0.598,-0.639,-0.607,0.1729,0.1159,0.2648,0.5043,0.8062,1.784,-39.19,0.0,True
pepite,Lux Base,7328,0.13066348091221938,2.986,3.061,-0.488,-0.562,-0.517,0.0637,0.1006,0.2617,0.4978,0.7909,1.862,-24.13,0.0,True
pepite,Taric,9460,0.1686785656972701,3.031,3.086,-0.463,-0.518,-0.476,0.0781,0.0871,0.2621,0.4897,0.7774,1.896,-24.41,0.0,True
pepite,Ashe,11028,0.1966371271151686,3.064,3.109,-0.44,-0.485,-0.446,0.0865,0.0884,0.2378,0.4761,0.7787,1.856,-24.81,0.0,True
populaire,Sivir,15457,0.2756093646916178,3.121,3.15,-0.399,-0.428,-0.394,0.1099,0.081,0.2301,0.4547,0.7714,1.862,-24.93,0.0,True
pepite,Ivern,8445,0.15058038977943405,3.1,3.152,-0.396,-0.449,-0.405,0.0597,0.0652,0.2604,0.4785,0.7555,1.93,-19.88,0.0,True
pepite,Kobuko,10148,0.18094609774798068,3.113,3.156,-0.392,-0.436,-0.397,0.071,0.086,0.2215,0.4537,0.7763,1.834,-21.76,0.0,True
pepite,Rengar,1393,0.024838186259650875,2.885,3.181,-0.368,-0.664,-0.566,0.0091,0.1223,0.2907,0.5183,0.8126,1.836,-13.3,0.0,True
populaire,Vi,14227,0.2536775850079347,3.173,3.201,-0.348,-0.375,-0.34,0.0882,0.071,0.2296,0.4492,0.7613,1.911,-20.77,0.0,True
,Teemo,5173,0.09223828967779897,3.198,3.26,-0.288,-0.351,-0.299,0.0266,0.0783,0.1927,0.4177,0.7686,1.803,-13.28,0.0,True
populaire,Rammus,21081,0.3758893069201006,3.261,3.275,-0.273,-0.288,-0.257,0.1028,0.0551,0.2095,0.4257,0.7455,1.907,-18.51,0.0,True
populaire,Tristana,27797,0.4956403901360484,3.289,3.299,-0.25,-0.26,-0.232,0.1239,0.0549,0.1986,0.4151,0.7453,1.893,-18.45,0.0,True
populaire,Alune,15482,0.27605513257136743,3.287,3.305,-0.244,-0.261,-0.228,0.0672,0.0568,0.1926,0.4109,0.7471,1.865,-15.23,0.0,True
populaire,Xayah,20571,0.3667956421732076,3.345,3.356,-0.193,-0.203,-0.173,0.0707,0.0439,0.1838,0.3984,0.7342,1.878,-13.1,0.0,True
populaire,Rakan,28205,0.5029153219335628,3.363,3.37,-0.178,-0.185,-0.158,0.0897,0.0398,0.1902,0.3996,0.7302,1.917,-13.12,0.0,True
,Varus,4227,0.07537043310807197,3.397,3.429,-0.12,-0.151,-0.095,0.009,0.0492,0.1476,0.3759,0.7395,1.801,-5.23,0.0,True
,Kennen,6923,0.12344204126027494,3.438,3.453,-0.096,-0.111,-0.062,0.0118,0.0186,0.1904,0.3884,0.7089,1.949,-4.47,1e-05,True
