group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Crownguard + Gargoyle Stoneplate + Warmogs Armor,5208,0.04491436259206237,3.195,3.299,-0.231,-0.335,-0.281,0.0104,0.0568,0.2237,0.4528,0.7494,1.916,-12.31,0.0,True
populaire,Crownguard + Gargoyle Stoneplate + Spirit Visage,2038,0.017575935284681855,3.157,3.356,-0.174,-0.373,-0.289,0.0031,0.0679,0.2296,0.4642,0.7605,1.908,-8.74,0.0,True
populaire,Gargoyle Stoneplate + Spirit Visage + Warmogs Armor,6669,0.05751418666022733,3.313,3.369,-0.161,-0.217,-0.171,0.0093,0.0478,0.1892,0.4149,0.7404,1.894,-9.09,0.0,True
pepite,Crownguard + Gargoyle Stoneplate + Gargoyle Stoneplate,1569,0.01353122790071925,3.163,3.382,-0.148,-0.368,-0.272,0.002,0.069,0.2422,0.45,0.7616,1.926,-7.51,0.0,True
pepite,Evenshroud + Gargoyle Stoneplate + Sunfire Cape,817,0.007045897511081981,3.054,3.406,-0.124,-0.476,-0.358,0.0009,0.1152,0.1885,0.4553,0.8078,1.722,-7.87,0.0,True
pepite,Evenshroud + Gargoyle Stoneplate + Spirit Visage,728,0.006278351760180761,3.032,3.411,-0.119,-0.498,-0.37,0.0007,0.1096,0.1923,0.4821,0.8022,1.761,-7.61,0.0,True
pepite,Crownguard + Evenshroud + Gargoyle Stoneplate,403,0.0034755161529572073,2.754,3.415,-0.115,-0.776,-0.613,0.0004,0.1635,0.2581,0.5261,0.8561,1.66,-9.36,0.0,True
pepite,Crownguard + Gargoyle Stoneplate + Steadfast Heart,978,0.008434379150352726,3.202,3.433,-0.097,-0.328,-0.209,0.0008,0.0681,0.2229,0.4264,0.7607,1.883,-5.41,0.0,True
pepite,Evenshroud + Gargoyle Stoneplate + Warmogs Armor,782,0.006744053676457906,3.166,3.438,-0.092,-0.364,-0.237,0.0006,0.0887,0.1829,0.4361,0.7813,1.795,-5.65,0.0,True
,Bramble Vest + Crownguard + Gargoyle Stoneplate,365,0.0031477999896510687,2.956,3.452,-0.078,-0.574,-0.391,0.0002,0.1238,0.2384,0.4904,0.8164,1.776,-6.16,0.0,True
,Crownguard + Gargoyle Stoneplate + Protectors Vow,681,0.005873018610828432,3.276,3.472,-0.058,-0.254,-0.105,0.0003,0.0533,0.2203,0.4317,0.746,1.973,-3.35,0.00081,True
,Crownguard + Dragons Claw + Gargoyle Stoneplate,562,0.004846749573106577,3.231,3.472,-0.058,-0.299,-0.137,0.0003,0.0476,0.2313,0.4466,0.7402,1.946,-3.63,0.00028,True
,Dragons Claw + Evenshroud + Gargoyle Stoneplate,233,0.002009417527640271,2.906,3.473,-0.057,-0.624,-0.395,0.0001,0.1057,0.2318,0.5279,0.7983,1.782,-5.34,0.0,True
,Crownguard + Spirit Visage + Warmogs Armor,389,0.003354778619107577,3.157,3.476,-0.054,-0.373,-0.182,0.0002,0.0606,0.2288,0.4704,0.7532,1.924,-3.82,0.00013,True
,Emblem Brawler + Gargoyle Stoneplate + Warmogs Armor,407,0.0035100125911999586,3.172,3.477,-0.053,-0.358,-0.172,0.0002,0.0543,0.2187,0.4742,0.7469,1.913,-3.77,0.00016,True
,Bramble Vest + Gargoyle Stoneplate + Gargoyle Stoneplate,514,0.00443279231419356,3.257,3.48,-0.05,-0.273,-0.11,0.0002,0.0428,0.1965,0.4377,0.7354,1.889,-3.27,0.00107,True
,Evenshroud + Gargoyle Stoneplate + Steadfast Heart,282,0.0024319988961139763,3.096,3.483,-0.047,-0.434,-0.224,0.0001,0.1194,0.2092,0.4468,0.8121,1.799,-4.05,5e-05,True
,Crownguard + Evenshroud + Spirit Visage,126,0.0010866378046466701,2.627,3.484,-0.047,-0.903,-0.605,0.0001,0.1725,0.3175,0.5714,0.8651,1.703,-5.95,0.0,True
,Evenshroud + Gargoyle Stoneplate + Gargoyle Stoneplate,354,0.0030529347844835022,3.186,3.485,-0.046,-0.344,-0.149,0.0001,0.0447,0.1977,0.4633,0.7373,1.867,-3.46,0.00055,True
,Crownguard + Evenshroud + Warmogs Armor,138,0.0011901271193749245,2.739,3.486,-0.044,-0.791,-0.513,0.0001,0.148,0.2464,0.5725,0.8406,1.665,-5.58,0.0,True
populaire,Gargoyle Stoneplate + Gargoyle Stoneplate + Spirit Visage,3343,0.028830398261379512,3.461,3.489,-0.041,-0.069,-0.001,0.0012,0.0091,0.1801,0.3886,0.7018,1.956,-2.0,0.04519,False
,Bramble Vest + Gargoyle Stoneplate + Spirit Visage,995,0.00858098901288442,3.394,3.489,-0.041,-0.136,-0.014,0.0004,0.03,0.196,0.395,0.7226,1.96,-2.18,0.02927,False
,Crownguard + Evenshroud + Sunfire Cape,123,0.0010607654759646067,2.715,3.489,-0.041,-0.815,-0.516,0.0,0.1692,0.252,0.5772,0.8618,1.689,-5.34,0.0,True
,Evenshroud + Spirit Visage + Sunfire Cape,183,0.0015782120496058783,3.011,3.492,-0.038,-0.519,-0.281,0.0001,0.1107,0.1967,0.4536,0.8033,1.643,-4.27,2e-05,True
,Evenshroud + Spirit Visage + Warmogs Armor,202,0.0017420701312589476,3.089,3.495,-0.035,-0.441,-0.196,0.0001,0.0945,0.2079,0.4554,0.7871,1.772,-3.53,0.00041,True
,Bramble Vest + Gargoyle Stoneplate + Warmogs Armor,1587,0.013686461872811632,3.446,3.496,-0.034,-0.084,0.0,0.0005,0.0207,0.1664,0.3831,0.7133,1.908,-1.74,0.08209,False
,Bramble Vest + Evenshroud + Gargoyle Stoneplate,183,0.0015782120496058783,3.071,3.496,-0.034,-0.459,-0.202,0.0001,0.0943,0.1967,0.4809,0.7869,1.771,-3.5,0.00046,True
,Gargoyle Stoneplate + Protectors Vow + Spirit Visage,1273,0.010978491470755644,3.438,3.498,-0.032,-0.092,0.0,0.0004,0.0206,0.1846,0.3881,0.7133,1.947,-1.67,0.09466,False
,Evenshroud + Sunfire Cape + Warmogs Armor,187,0.0016127084878486296,3.096,3.498,-0.032,-0.434,-0.203,0.0001,0.1149,0.1337,0.4652,0.8075,1.606,-3.69,0.00022,True
,Bramble Vest + Crownguard + Warmogs Armor,145,0.0012504958862997395,2.986,3.498,-0.032,-0.544,-0.243,0.0,0.0936,0.2483,0.5172,0.7862,1.849,-3.54,0.0004,True
,Gargoyle Stoneplate + Spirit Visage + Spirit Visage,524,0.004519033409800438,3.365,3.5,-0.031,-0.166,-0.001,0.0001,0.0364,0.1966,0.3931,0.729,1.918,-1.97,0.04873,False
,Bramble Vest + Gargoyle Stoneplate + Steadfast Heart,369,0.00318229642789382,3.301,3.499,-0.031,-0.229,-0.042,0.0001,0.0364,0.187,0.4173,0.729,1.834,-2.4,0.01658,True
,Emblem Brawler + Gargoyle Stoneplate + Spirit Visage,256,0.002207772047536092,3.215,3.499,-0.031,-0.315,-0.082,0.0001,0.0652,0.1836,0.4609,0.7578,1.901,-2.65,0.00806,True
,Crownguard + Dragons Claw + Spirit Visage,168,0.0014488504061955603,3.107,3.501,-0.029,-0.423,-0.13,0.0,0.0871,0.244,0.4821,0.7798,1.937,-2.83,0.00468,True
,Crownguard + Evenshroud + Steadfast Heart,76,0.0006554323266122773,2.605,3.501,-0.029,-0.925,-0.598,0.0,0.189,0.2368,0.5526,0.8816,1.452,-5.55,0.0,True
,Emblem Juggernaut + Crownguard + Gargoyle Stoneplate,85,0.0007330493126584681,2.753,3.503,-0.027,-0.777,-0.39,0.0,0.1191,0.3294,0.5765,0.8118,1.821,-3.93,8e-05,True
,Lightshield Crest + Gargoyle Stoneplate + Gargoyle Stoneplate,169,0.001457474515756248,3.142,3.504,-0.026,-0.388,-0.106,0.0,0.0648,0.2308,0.4497,0.7574,1.866,-2.7,0.00692,True
,Evenshroud + Steadfast Heart + Warmogs Armor,106,0.000914155613432913,2.934,3.504,-0.026,-0.596,-0.269,0.0,0.1564,0.1887,0.4906,0.8491,1.717,-3.57,0.00035,True
,Emblem Brawler + Crownguard + Gargoyle Stoneplate,93,0.0008020421891439709,2.86,3.504,-0.026,-0.67,-0.285,0.0,0.0708,0.3333,0.5484,0.7634,1.893,-3.41,0.00065,True
,Emblem Brawler + Dragons Claw + Gargoyle Stoneplate,80,0.0006899287648550287,2.763,3.504,-0.026,-0.768,-0.391,0.0,0.1324,0.2875,0.5125,0.825,1.719,-3.99,7e-05,True
,Crownguard + Gargoyle Stoneplate + Ionic Spark,218,0.0018800558842299532,3.234,3.505,-0.025,-0.296,-0.035,0.0,0.0505,0.2569,0.422,0.7431,1.964,-2.22,0.02618,False
,Dragons Claw + Evenshroud + Sunfire Cape,85,0.0007330493126584681,2.847,3.506,-0.024,-0.683,-0.323,0.0,0.1427,0.2588,0.4824,0.8353,1.691,-3.72,0.0002,True
,Crownguard + Crownguard + Gargoyle Stoneplate,242,0.002087034513686462,3.289,3.507,-0.023,-0.241,0.0,0.0,0.0388,0.219,0.4463,0.7314,2.002,-1.87,0.06159,False
