group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Evenshroud,43,0.0649546827794562,2.302,2.531,-0.328,-0.557,-0.197,0.0213,0.1332,0.2791,0.6279,0.9535,1.132,-3.03,0.00246,True
populaire,Protectors Vow,62,0.09365558912386707,2.5,2.617,-0.242,-0.36,0.0,0.0227,0.0346,0.2903,0.5484,0.8548,1.365,-1.95,0.05161,False
populaire,Crownguard,99,0.14954682779456194,2.596,2.657,-0.202,-0.264,0.0,0.0302,0.0282,0.2828,0.6162,0.8485,1.576,-1.54,0.12269,False
populaire,Adaptive Helm,44,0.06646525679758308,2.727,2.781,-0.079,-0.132,0.0,0.0052,-0.0021,0.2955,0.5227,0.8182,1.643,-0.52,0.60507,False
populaire,Spirit Visage,187,0.2824773413897281,2.797,2.805,-0.054,-0.063,0.0,0.0153,0.0086,0.2406,0.4973,0.8289,1.576,-0.48,0.63391,False
populaire,Gargoyle Stoneplate,464,0.7009063444108762,2.823,2.825,-0.034,-0.036,0.0,0.0239,0.0073,0.25,0.5086,0.8276,1.655,-0.36,0.71673,False
populaire,Warmogs Armor,307,0.4637462235649547,2.866,2.866,0.006,0.007,0.0,-0.0029,-0.0027,0.2182,0.4951,0.8176,1.61,0.06,0.95058,False
populaire,Dragons Claw,104,0.15709969788519637,2.885,2.879,0.019,0.025,0.0,-0.0031,0.0163,0.1827,0.4519,0.8365,1.489,0.16,0.87484,False
populaire,Steadfast Heart,81,0.12235649546827794,2.938,2.917,0.057,0.079,0.0,-0.007,0.0316,0.1605,0.4321,0.8519,1.518,0.44,0.66234,False
populaire,Bramble Vest,80,0.12084592145015106,3.163,3.08,0.22,0.303,0.0,-0.0266,-0.0577,0.1875,0.425,0.7625,1.735,1.48,0.13793,False
populaire,Sunfire Cape,109,0.1646525679758308,3.174,3.106,0.247,0.315,0.0,-0.0406,-0.0313,0.1193,0.3761,0.789,1.653,1.84,0.06511,False
