group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Lightshield Crest,923,0.013644157994323558,3.441,3.498,-0.039,-0.096,0.0,0.0005,0.0191,0.1983,0.3835,0.7064,1.979,-1.47,0.14239,False
,Infinity Force,40,0.0005912961210974456,3.65,3.54,0.003,0.113,0.0,-0.0,-0.0873,0.2,0.45,0.6,2.242,0.32,0.75033,False
populaire,Silvermere Dawn,78,0.001153027436140019,3.936,3.559,0.022,0.399,0.0,-0.0,-0.0848,0.1795,0.2821,0.6026,2.034,1.73,0.08356,False
populaire,Hullcrusher,543,0.008026844843897825,3.617,3.56,0.023,0.08,0.0,-0.0002,-0.0133,0.1842,0.3462,0.674,2.022,0.92,0.35981,False
,Seekers Armguard,42,0.0006208609271523179,4.405,3.563,0.026,0.868,0.217,-0.0,-0.1397,0.0952,0.1905,0.5476,2.15,2.61,0.00893,True
populaire,Aegis Of Dawn,647,0.009564214758751183,3.692,3.587,0.05,0.155,0.0,-0.0005,-0.0366,0.1638,0.3416,0.6507,2.019,1.95,0.05157,True
populaire,Aegis Of Dusk,609,0.009002483443708608,3.711,3.591,0.054,0.174,0.01,-0.0005,-0.0322,0.179,0.3432,0.6552,2.056,2.08,0.0377,True
populaire,Artifact Talisman Of Ascension,117,0.0017295411542100284,4.256,3.594,0.057,0.719,0.335,-0.0001,-0.1318,0.1026,0.2735,0.5556,2.121,3.67,0.00025,True
populaire,Void Gauntlet,498,0.0073616367076631975,3.751,3.595,0.058,0.214,0.038,-0.0004,-0.0327,0.1526,0.3173,0.6546,1.996,2.38,0.0172,True
populaire,Moguls Mail,1719,0.025410950804162724,3.658,3.605,0.068,0.121,0.022,-0.0017,-0.0253,0.1815,0.3601,0.662,2.072,2.39,0.0169,True
populaire,The Indomitable,1015,0.015004139072847682,3.817,3.657,0.12,0.28,0.152,-0.0018,-0.0666,0.1626,0.3202,0.6207,2.051,4.31,2e-05,True
populaire,Forbidden Idol,985,0.014560666982024599,3.851,3.669,0.132,0.314,0.184,-0.0019,-0.0843,0.1614,0.3269,0.603,2.069,4.73,0.0,True
