group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Crownguard,7133,0.16751209431215067,3.516,3.549,-0.283,-0.317,-0.268,0.0475,0.0672,0.1682,0.3749,0.7055,1.968,-12.56,0.0,True
pepite,Evenshroud,2308,0.05420130571603025,3.666,3.711,-0.122,-0.167,-0.086,0.0066,0.0406,0.1356,0.3289,0.6789,1.935,-4.03,6e-05,True
populaire,Bramble Vest,4347,0.10208538819219388,3.787,3.794,-0.039,-0.046,0.0,0.0039,0.0095,0.1302,0.3092,0.6478,1.959,-1.48,0.13918,False
populaire,Gargoyle Stoneplate,32199,0.7561645765816543,3.805,3.805,-0.027,-0.028,0.0,0.0206,0.0061,0.1368,0.3135,0.6444,2.001,-1.89,0.05865,True
populaire,Spirit Visage,12396,0.2911089192616599,3.812,3.813,-0.019,-0.021,0.0,0.0056,0.0036,0.1358,0.3088,0.6419,1.991,-1.02,0.30898,False
populaire,Warmogs Armor,18976,0.4456343055751256,3.824,3.825,-0.008,-0.009,0.0,0.0037,0.001,0.1339,0.312,0.6393,2.007,-0.49,0.62345,False
pepite,Ionic Spark,2228,0.05232257761495467,3.827,3.828,-0.004,-0.006,0.0,0.0002,-0.0036,0.1364,0.3061,0.6346,1.994,-0.14,0.88997,False
populaire,Dragons Claw,6446,0.1513785167441642,3.836,3.836,0.003,0.003,0.0,-0.0004,-0.001,0.1215,0.2988,0.6373,1.96,0.12,0.90546,False
populaire,Steadfast Heart,6426,0.1509088347188953,3.851,3.849,0.016,0.018,0.0,-0.0024,-0.0012,0.1271,0.3059,0.6371,2.002,0.68,0.49779,False
,Morellonomicon,46,0.0010802686581184537,4.391,3.861,0.029,0.559,0.0,-0.0,-0.0731,0.087,0.1957,0.5652,2.172,1.74,0.08123,False
,Component Needlessly Large Rod,43,0.0010098163543281198,4.86,3.882,0.049,1.028,0.347,-0.0,-0.1732,0.0698,0.2093,0.4651,2.278,2.96,0.00311,True
,Component Tear Of The Goddess,50,0.0011742050631722324,5.0,3.897,0.065,1.167,0.593,-0.0001,-0.1983,0.02,0.12,0.44,2.069,3.99,7e-05,True
populaire,Protectors Vow,5100,0.1197689164435677,3.915,3.903,0.07,0.082,0.023,-0.0084,-0.0161,0.1294,0.2996,0.6222,2.039,2.72,0.00658,True
populaire,Sunfire Cape,5228,0.12277488140528862,3.924,3.911,0.079,0.092,0.035,-0.0097,-0.018,0.1174,0.2879,0.6203,1.981,3.15,0.00165,True
,Titans Resolve,236,0.005542247898172937,4.28,3.93,0.097,0.447,0.173,-0.0005,-0.1044,0.1229,0.2585,0.5339,2.143,3.2,0.00139,True
,Bloodthirster,186,0.004368042835000705,4.425,3.939,0.106,0.592,0.294,-0.0005,-0.1007,0.1022,0.1989,0.5376,2.068,3.9,0.0001,True
,Steraks Gage,690,0.01620402987177681,4.209,4.001,0.168,0.376,0.218,-0.0027,-0.0876,0.1087,0.2623,0.5507,2.102,4.66,0.0,True
populaire,Adaptive Helm,2442,0.05734817528533183,4.099,4.03,0.197,0.266,0.183,-0.0113,-0.0527,0.1171,0.2555,0.5856,2.038,6.29,0.0,True
,Component Negatron Cloak,294,0.006904325771452727,5.095,4.157,0.324,1.262,1.03,-0.0022,-0.2471,0.034,0.1259,0.3912,2.025,10.66,0.0,True
,Component Chain Vest,308,0.0072331031891409514,5.166,4.187,0.354,1.333,1.095,-0.0026,-0.2812,0.0519,0.1526,0.3571,2.123,10.98,0.0,True
,Component Giants Belt,460,0.010802686581184539,5.078,4.27,0.437,1.246,1.052,-0.0047,-0.2535,0.0696,0.1348,0.3848,2.113,12.58,0.0,True
