group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Juggernaut,1734,0.014260102962219773,3.39,3.481,-0.065,-0.157,-0.062,0.0009,0.0178,0.2093,0.4112,0.7116,1.995,-3.25,0.00115,True
populaire,Emblem Brawler,2397,0.019712495271303806,3.464,3.506,-0.041,-0.083,-0.004,0.0008,0.012,0.1694,0.3917,0.7059,1.955,-2.05,0.04018,True
populaire,Emblem Vanguard,1722,0.014161417128571194,3.46,3.511,-0.036,-0.087,0.0,0.0005,0.0134,0.1847,0.3897,0.7073,1.969,-1.81,0.06953,True
,Emblem Lunar,53,0.00043586243194789387,3.925,3.555,0.008,0.378,0.0,-0.0,-0.0901,0.0566,0.3396,0.6038,1.951,1.41,0.1586,False
populaire,Emblem Slayer,320,0.002631622230628793,3.638,3.557,0.011,0.091,0.0,-0.0,-0.0095,0.1344,0.3187,0.6844,1.897,0.86,0.39247,False
,Emblem Inferno,43,0.0003536242372407441,4.512,3.563,0.017,0.965,0.339,-0.0,-0.252,0.1395,0.2093,0.4419,2.095,3.02,0.00253,True
populaire,Emblem Spellweaver,195,0.0016036447967894209,3.779,3.564,0.017,0.233,0.0,-0.0,-0.0477,0.1436,0.3333,0.6462,2.015,1.61,0.10687,False
populaire,Emblem Sprykin,638,0.005246796822316157,3.638,3.566,0.019,0.091,0.0,-0.0001,-0.0293,0.1583,0.3433,0.6646,1.917,1.2,0.23036,False
,Emblem Invoker,70,0.0005756673629500486,4.443,3.572,0.025,0.896,0.44,-0.0,-0.1796,0.0571,0.2,0.5143,1.947,3.85,0.00012,True
,Emblem Fae,102,0.0008388295860129279,4.363,3.58,0.033,0.816,0.417,-0.0,-0.1939,0.1078,0.2157,0.5,2.057,4.01,6e-05,True
,Emblem Primal,79,0.0006496817381864833,4.772,3.585,0.039,1.225,0.739,-0.0,-0.2635,0.0886,0.2025,0.4304,2.204,4.94,0.0,True
,Emblem Flora Fatalis Augment,168,0.0013816016710801165,4.274,3.594,0.047,0.727,0.43,-0.0001,-0.1403,0.0714,0.2083,0.5536,1.966,4.79,0.0,True
,Emblem Coven,115,0.0009457392391322226,4.948,3.61,0.063,1.401,1.001,-0.0001,-0.2852,0.0522,0.1913,0.4087,2.19,6.86,0.0,True
populaire,Emblem Flora Fatalis,216,0.0017763450056744355,4.435,3.619,0.072,0.889,0.602,-0.0001,-0.2217,0.125,0.2269,0.4722,2.144,6.09,0.0,True
populaire,Emblem Blossom,394,0.0032401848714617015,4.081,3.621,0.075,0.535,0.328,-0.0002,-0.1304,0.1574,0.2589,0.5635,2.093,5.06,0.0,True
populaire,Emblem Elderwood,295,0.0024260267438609186,4.264,3.624,0.078,0.718,0.492,-0.0002,-0.1413,0.0949,0.2271,0.5525,1.976,6.23,0.0,True
populaire,Emblem Defender,1483,0.012195924275070314,3.81,3.646,0.1,0.263,0.158,-0.0012,-0.0459,0.1463,0.3196,0.648,2.049,4.92,0.0,True
