group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Steadfast Heart Radiant,115,0.000954412289510594,3.296,3.524,-0.011,-0.24,0.0,0.0,0.0197,0.1913,0.4783,0.713,1.943,-1.32,0.18605,False
populaire,Evenshroud Radiant,47,0.0003900641531043297,3.149,3.528,-0.007,-0.386,0.0,0.0,0.1364,0.2128,0.3617,0.8298,1.726,-1.53,0.12488,False
populaire,Sunfire Cape Radiant,71,0.0005892458483065406,3.62,3.538,0.002,0.084,0.0,-0.0,-0.0032,0.1549,0.3662,0.6901,2.01,0.35,0.72347,False
populaire,Crownguard Radiant,104,0.0008631206792095806,3.663,3.541,0.005,0.128,0.0,-0.0,-0.0299,0.1827,0.3462,0.6635,2.032,0.64,0.5202,False
populaire,Dragons Claw Radiant,151,0.0012531848323139104,3.623,3.54,0.005,0.087,0.0,-0.0,-0.0179,0.1126,0.3576,0.6755,1.911,0.56,0.57523,False
populaire,Bramble Vest Radiant,126,0.0010457038998116072,3.865,3.552,0.016,0.33,0.0,-0.0,-0.0823,0.1508,0.3175,0.6111,2.128,1.74,0.08212,False
,Ionic Spark Radiant,44,0.0003651664412040534,4.523,3.553,0.018,0.987,0.405,-0.0,-0.1934,0.0682,0.2045,0.5,1.971,3.32,0.00089,True
populaire,Spirit Visage Radiant,336,0.0027885437328309527,3.699,3.555,0.02,0.164,0.0,-0.0001,-0.0416,0.1458,0.3214,0.6518,1.966,1.53,0.12655,False
populaire,Protectors Vow Radiant,118,0.0009793100014108703,3.992,3.557,0.021,0.456,0.075,-0.0,-0.0747,0.1102,0.2966,0.6186,2.109,2.35,0.01885,True
populaire,Warmogs Armor Radiant,564,0.0046807698372519566,3.768,3.579,0.044,0.232,0.067,-0.0002,-0.0533,0.1489,0.3191,0.6401,1.998,2.76,0.00586,True
populaire,Gargoyle Stoneplate Radiant,909,0.0075440067057837385,3.779,3.602,0.067,0.244,0.113,-0.0005,-0.0542,0.143,0.3223,0.6392,2.007,3.64,0.00027,True
