group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Evenshroud + Gargoyle Stoneplate,5630,0.04630010362012533,3.033,3.188,-0.359,-0.514,-0.467,0.0166,0.1111,0.1945,0.4755,0.805,1.751,-21.4,0.0,True
pepite,Crownguard + Evenshroud,1458,0.011990328788302439,2.689,3.225,-0.322,-0.858,-0.775,0.0039,0.1703,0.2531,0.559,0.8642,1.607,-20.21,0.0,True
pepite,Evenshroud + Spirit Visage,2098,0.017253573249560027,2.953,3.272,-0.275,-0.593,-0.52,0.0047,0.1212,0.2083,0.49,0.8151,1.705,-15.76,0.0,True
populaire,Crownguard + Gargoyle Stoneplate,16111,0.13249395549268903,3.238,3.278,-0.268,-0.309,-0.277,0.0356,0.0585,0.2037,0.4372,0.7523,1.903,-19.27,0.0,True
pepite,Evenshroud + Sunfire Cape,2145,0.01764009276468363,3.02,3.3,-0.247,-0.527,-0.454,0.0044,0.1201,0.1832,0.4709,0.814,1.696,-14.21,0.0,True
populaire,Crownguard + Warmogs Armor,8366,0.06880047369200151,3.238,3.308,-0.239,-0.309,-0.267,0.0164,0.0584,0.1965,0.4388,0.7523,1.891,-14.4,0.0,True
pepite,Evenshroud + Warmogs Armor,2358,0.019391766311945922,3.089,3.322,-0.225,-0.457,-0.385,0.0044,0.103,0.1832,0.4601,0.7969,1.755,-12.5,0.0,True
pepite,Crownguard + Spirit Visage,4039,0.0332160068422178,3.229,3.348,-0.199,-0.318,-0.258,0.0066,0.0541,0.2122,0.4422,0.748,1.904,-10.43,0.0,True
,Dragons Claw + Evenshroud,937,0.007705718844059935,2.969,3.386,-0.161,-0.578,-0.466,0.0012,0.1247,0.2038,0.4899,0.8186,1.728,-10.18,0.0,True
,Evenshroud + Steadfast Heart,968,0.0079606572476521,3.061,3.408,-0.138,-0.486,-0.373,0.0011,0.116,0.1994,0.4628,0.8099,1.774,-8.48,0.0,True
,Bramble Vest + Crownguard,1024,0.008421191138012138,3.086,3.41,-0.137,-0.461,-0.349,0.0011,0.0874,0.2139,0.4648,0.7812,1.811,-8.1,0.0,True
,Bramble Vest + Evenshroud,696,0.005723778351617625,2.94,3.412,-0.135,-0.607,-0.482,0.0008,0.1265,0.1968,0.4986,0.8204,1.682,-9.48,0.0,True
,Crownguard + Steadfast Heart,2249,0.018495369989637987,3.274,3.416,-0.131,-0.272,-0.193,0.0024,0.0504,0.1934,0.4286,0.7443,1.904,-6.72,0.0,True
,Evenshroud + Protectors Vow,1114,0.009161334890376486,3.131,3.416,-0.131,-0.416,-0.306,0.0012,0.088,0.202,0.4686,0.7819,1.856,-7.43,0.0,True
,Crownguard + Dragons Claw,1593,0.013100544416848962,3.231,3.422,-0.125,-0.316,-0.222,0.0016,0.0588,0.1996,0.447,0.7527,1.899,-6.59,0.0,True
populaire,Spirit Visage + Warmogs Armor,10695,0.0879537492392967,3.411,3.436,-0.111,-0.136,-0.098,0.0098,0.0269,0.17,0.3951,0.7208,1.906,-7.06,0.0,True
,Crownguard + Protectors Vow,1762,0.014490369907399792,3.303,3.444,-0.102,-0.244,-0.153,0.0015,0.0496,0.1924,0.4251,0.7435,1.923,-5.28,0.0,True
,Crownguard + Sunfire Cape,1277,0.010501817464103029,3.266,3.45,-0.097,-0.28,-0.177,0.001,0.0665,0.1832,0.4252,0.7604,1.877,-5.31,0.0,True
populaire,Gargoyle Stoneplate + Spirit Visage,25277,0.20787348476126252,3.441,3.451,-0.096,-0.105,-0.079,0.02,0.0179,0.1772,0.3898,0.7118,1.941,-7.82,0.0,True
,Adaptive Helm + Evenshroud,558,0.004588891264658958,3.111,3.465,-0.081,-0.436,-0.282,0.0004,0.0785,0.2097,0.4713,0.7724,1.843,-5.57,0.0,True
,Emblem Brawler + Gargoyle Stoneplate,1322,0.010871889340285202,3.334,3.472,-0.075,-0.213,-0.108,0.0008,0.0361,0.1921,0.4168,0.73,1.935,-3.98,7e-05,True
populaire,Bramble Vest + Gargoyle Stoneplate,6352,0.052237701277981545,3.446,3.474,-0.073,-0.1,-0.052,0.0038,0.021,0.1703,0.3862,0.7149,1.924,-4.05,5e-05,True
,Emblem Juggernaut + Gargoyle Stoneplate,1021,0.008396519679599994,3.343,3.486,-0.06,-0.204,-0.082,0.0005,0.0368,0.2076,0.4202,0.7307,1.971,-3.29,0.001,True
,Emblem Brawler + Warmogs Armor,557,0.004580667445188243,3.289,3.499,-0.048,-0.258,-0.099,0.0002,0.0512,0.1831,0.4327,0.7451,1.903,-3.19,0.00143,True
,Lightshield Crest + Gargoyle Stoneplate,1041,0.008560996069014294,3.408,3.505,-0.041,-0.138,-0.016,0.0004,0.0179,0.1988,0.4159,0.7118,2.009,-2.21,0.02685,True
,Emblem Vanguard + Gargoyle Stoneplate,918,0.007549466274116351,3.429,3.514,-0.032,-0.117,0.0,0.0002,0.0109,0.1961,0.402,0.7048,1.982,-1.79,0.07354,False
,Protectors Vow + Spirit Visage,2803,0.023051365976414086,3.489,3.516,-0.031,-0.058,0.0,0.0007,0.0079,0.1702,0.3821,0.7017,1.965,-1.54,0.12294,False
populaire,Gargoyle Stoneplate + Warmogs Armor,38190,0.31406766558660504,3.516,3.518,-0.029,-0.031,-0.008,0.0091,0.008,0.1651,0.3755,0.7019,1.961,-2.68,0.00747,True
,The Indomitable + Crownguard,159,0.0013075872958436816,3.075,3.518,-0.029,-0.471,-0.193,0.0,0.0923,0.1824,0.478,0.7862,1.789,-3.32,0.00091,True
,Lightshield Crest + Warmogs Armor,433,0.003560913830819586,3.37,3.52,-0.027,-0.177,0.0,0.0001,0.0197,0.1848,0.4157,0.7136,1.942,-1.89,0.05812,False
,Bramble Vest + Spirit Visage,2451,0.020156581522722414,3.494,3.52,-0.026,-0.053,0.0,0.0005,0.0177,0.1652,0.3664,0.7115,1.916,-1.34,0.17878,False
,Crownguard + Ionic Spark,489,0.004021447721179625,3.415,3.525,-0.022,-0.132,0.0,0.0001,0.0137,0.1984,0.4029,0.7076,1.98,-1.47,0.14258,False
,Emblem Juggernaut + Spirit Visage,201,0.0016529877136137107,3.259,3.525,-0.022,-0.288,-0.014,0.0,0.0723,0.209,0.4229,0.7662,1.981,-2.06,0.03945,True
,Emblem Vanguard + Crownguard,108,0.0008881725028372177,3.037,3.525,-0.022,-0.51,-0.172,0.0,0.0839,0.213,0.4907,0.7778,1.79,-2.96,0.0031,True
populaire,Dragons Claw + Gargoyle Stoneplate,9125,0.07504235267027418,3.521,3.527,-0.02,-0.025,0.0,0.0015,0.0039,0.173,0.3742,0.6978,1.968,-1.18,0.2373,False
,Emblem Juggernaut + Warmogs Armor,394,0.0032401848714617015,3.401,3.526,-0.02,-0.146,0.0,0.0001,0.0041,0.2183,0.4188,0.698,2.028,-1.42,0.15463,False
,Lightshield Crest + Crownguard,111,0.0009128439612493626,3.108,3.528,-0.019,-0.439,-0.072,0.0,0.0539,0.2342,0.5045,0.7477,1.97,-2.34,0.01905,True
,Adaptive Helm + Crownguard,860,0.007072484744814882,3.48,3.529,-0.017,-0.066,0.0,0.0001,0.0003,0.1907,0.386,0.6942,1.994,-0.97,0.33014,False
,Emblem Vanguard + Warmogs Armor,414,0.003404661260876001,3.435,3.53,-0.016,-0.112,0.0,0.0001,0.0042,0.1957,0.3961,0.6981,1.978,-1.15,0.25055,False
,Emblem Brawler + Crownguard,128,0.0010526488922515172,3.227,3.531,-0.016,-0.32,0.0,0.0,0.0327,0.2109,0.4609,0.7266,1.892,-1.91,0.0558,False
,Emblem Brawler + Dragons Claw,164,0.0013487063931972565,3.293,3.531,-0.016,-0.254,0.0,0.0,0.0439,0.189,0.4024,0.7378,1.874,-1.73,0.08286,False
,Emblem Juggernaut + Bramble Vest,70,0.0005756673629500486,2.986,3.531,-0.016,-0.561,-0.124,0.0,0.0775,0.2714,0.4714,0.7714,1.863,-2.52,0.01179,True
,Dragons Claw + Steadfast Heart,1725,0.014186088586983338,3.51,3.532,-0.015,-0.037,0.0,0.0002,0.0029,0.1716,0.378,0.6968,1.978,-0.76,0.44632,False
,Spirit Visage + Steadfast Heart,3436,0.028257043701376668,3.523,3.533,-0.014,-0.023,0.0,0.0004,0.0087,0.1604,0.3725,0.7026,1.953,-0.69,0.48882,False
,Aegis Of Dawn + Warmogs Armor,229,0.00188325465879373,3.384,3.533,-0.014,-0.162,0.0,0.0,0.0266,0.1834,0.4323,0.7205,2.002,-1.23,0.22015,False
,Forbidden Idol + Crownguard,186,0.001529630421552986,3.355,3.533,-0.014,-0.192,0.0,0.0,0.0265,0.2097,0.4247,0.7204,1.96,-1.33,0.18229,False
,Dragons Claw + Spirit Visage,3677,0.030238984193818978,3.525,3.534,-0.013,-0.022,0.0,0.0004,0.007,0.1545,0.3696,0.7008,1.929,-0.67,0.5056,False
,Emblem Brawler + Spirit Visage,358,0.0029441273705159625,3.447,3.534,-0.013,-0.1,0.0,0.0,0.0324,0.1453,0.3827,0.7263,1.89,-1.0,0.31874,False
,Aegis Of Dawn + Crownguard,78,0.0006414579187157684,3.115,3.533,-0.013,-0.431,-0.012,0.0,0.0497,0.2179,0.4744,0.7436,1.888,-2.02,0.04369,True
,Emblem Brawler + Bramble Vest,99,0.000814158127600783,3.232,3.534,-0.012,-0.314,0.0,0.0,0.0839,0.202,0.4242,0.7778,1.917,-1.63,0.10285,False
,Bramble Vest + Steadfast Heart,1003,0.008248490929127123,3.509,3.536,-0.011,-0.037,0.0,0.0001,0.025,0.1575,0.3739,0.7188,1.949,-0.6,0.54727,False
,Adaptive Helm + Bramble Vest,379,0.003116827579400977,3.462,3.535,-0.011,-0.085,0.0,0.0,0.0264,0.1847,0.3509,0.7203,1.889,-0.87,0.3822,False
,Hullcrusher + Crownguard,51,0.00041941479300646394,3.02,3.536,-0.011,-0.527,-0.045,0.0,0.0904,0.1765,0.5294,0.7843,1.754,-2.14,0.03197,True
,Emblem Juggernaut + Crownguard,111,0.0009128439612493626,3.306,3.536,-0.01,-0.24,0.0,0.0,0.0268,0.2703,0.4595,0.7207,2.143,-1.18,0.23742,False
,Emblem Vanguard + Steadfast Heart,83,0.0006825770160693432,3.277,3.538,-0.009,-0.27,0.0,0.0,0.0411,0.2289,0.4096,0.7349,1.916,-1.28,0.20004,False
,Emblem Juggernaut + Dragons Claw,90,0.0007401437523643481,3.289,3.537,-0.009,-0.258,0.0,0.0,0.0617,0.1778,0.3444,0.7556,1.759,-1.39,0.16465,False
,Moguls Mail + Crownguard,250,0.002055954867678745,3.456,3.538,-0.008,-0.091,0.0,0.0,0.0261,0.2,0.412,0.72,2.065,-0.69,0.48793,False
,Void Gauntlet + Warmogs Armor,194,0.001595420977318706,3.443,3.539,-0.008,-0.103,0.0,0.0,0.0484,0.1701,0.3454,0.7423,1.921,-0.75,0.45393,False
,Lightshield Crest + Spirit Visage,203,0.0016694353525551406,3.443,3.539,-0.008,-0.103,0.0,0.0,0.0056,0.197,0.4236,0.6995,2.037,-0.72,0.47017,False
,Spirit Visage + Sunfire Cape,3083,0.02535403542821428,3.535,3.54,-0.007,-0.012,0.0,0.0002,0.0061,0.1492,0.3591,0.7,1.906,-0.35,0.72741,False
,Bramble Vest + Warmogs Armor,3710,0.03051037023635257,3.539,3.542,-0.005,-0.008,0.0,0.0001,0.0032,0.1526,0.3623,0.697,1.917,-0.24,0.8125,False
,The Indomitable + Evenshroud,43,0.0003536242372407441,3.256,3.542,-0.005,-0.291,0.0,0.0,0.1201,0.186,0.4651,0.814,1.989,-0.96,0.33779,False
,Emblem Vanguard + Spirit Visage,234,0.001924373756147305,3.496,3.542,-0.004,-0.051,0.0,0.0,-0.0016,0.1838,0.3761,0.6923,1.975,-0.39,0.6934,False
,Emblem Brawler + Sunfire Cape,134,0.001101991809075807,3.478,3.543,-0.004,-0.069,0.0,0.0,0.0151,0.1418,0.3657,0.709,1.899,-0.42,0.67403,False
,Evenshroud + Ionic Spark,147,0.001208901462195102,3.469,3.542,-0.004,-0.077,0.0,0.0,0.0136,0.1565,0.3878,0.7075,1.921,-0.49,0.62598,False
,Moguls Mail + Spirit Visage,585,0.004810934390368262,3.533,3.544,-0.003,-0.013,0.0,0.0,-0.017,0.2,0.3795,0.6769,2.024,-0.16,0.87369,False
,Bramble Vest + Ionic Spark,395,0.0032484086909324167,3.524,3.544,-0.003,-0.023,0.0,0.0,-0.0103,0.1873,0.3873,0.6835,1.968,-0.23,0.81964,False
,Lightshield Crest + Sunfire Cape,56,0.0004605338903600388,3.411,3.544,-0.003,-0.136,0.0,0.0,0.0383,0.1786,0.4821,0.7321,2.136,-0.48,0.63396,False
,Bramble Vest + Sunfire Cape,1041,0.008560996069014294,3.54,3.545,-0.002,-0.007,0.0,0.0,0.0122,0.1489,0.3535,0.7061,1.903,-0.11,0.90858,False
,Crownguard + Gargoyle Stoneplate Radiant,90,0.0007401437523643481,3.5,3.545,-0.002,-0.047,0.0,0.0,0.0061,0.1556,0.4222,0.7,2.04,-0.22,0.82823,False
,Emblem Brawler + Steadfast Heart,107,0.0008799486833665028,3.505,3.545,-0.002,-0.042,0.0,0.0,0.0164,0.1776,0.3364,0.7103,1.846,-0.24,0.81407,False
,Emblem Sprykin + Spirit Visage,55,0.00045231007088932385,3.455,3.545,-0.002,-0.092,0.0,0.0,-0.0393,0.2364,0.3455,0.6545,1.915,-0.36,0.72129,False
,Aegis Of Dawn + Dragons Claw,72,0.0005921150018914784,3.486,3.545,-0.002,-0.061,0.0,0.0,0.0422,0.1806,0.3472,0.7361,1.908,-0.27,0.7877,False
,Void Gauntlet + Dragons Claw,50,0.00041119097353574895,3.44,3.545,-0.002,-0.107,0.0,0.0,0.0261,0.22,0.44,0.72,2.09,-0.36,0.71817,False
,Aegis Of Dusk + Spirit Visage,89,0.0007319199328936331,3.517,3.546,-0.001,-0.03,0.0,0.0,-0.0197,0.2022,0.382,0.6742,1.989,-0.14,0.8876,False
,Bramble Vest + Steraks Gage,89,0.0007319199328936331,3.528,3.546,-0.001,-0.019,0.0,0.0,0.0027,0.1685,0.3483,0.6966,1.914,-0.09,0.92707,False
,Emblem Slayer + Gargoyle Stoneplate,50,0.00041119097353574895,3.5,3.546,-0.001,-0.047,0.0,0.0,-0.0139,0.16,0.4,0.68,2.022,-0.16,0.8704,False
,Bramble Vest + Protectors Vow,897,0.007376766065231336,3.546,3.547,-0.0,-0.0,0.0,0.0,-0.0038,0.1561,0.3835,0.6901,1.976,-0.01,0.99512,False
,Aegis Of Dawn + Gargoyle Stoneplate,600,0.004934291682428987,3.547,3.547,-0.0,-0.0,0.0,0.0,-0.0072,0.1717,0.3883,0.6867,2.029,-0.0,0.99997,False
,Moguls Mail + Protectors Vow,109,0.0008963963223079327,3.55,3.547,0.0,0.004,0.0,-0.0,-0.0333,0.2385,0.3853,0.6606,2.148,0.02,0.98531,False
,The Indomitable + Steadfast Heart,111,0.0009128439612493626,3.55,3.547,0.0,0.003,0.0,-0.0,-0.0092,0.1892,0.3423,0.6847,1.925,0.02,0.98744,False
,Crownguard + Warmogs Armor Radiant,51,0.00041941479300646394,3.549,3.547,0.0,0.002,0.0,-0.0,0.0316,0.0784,0.3529,0.7255,1.719,0.01,0.99221,False
,The Indomitable + Bramble Vest,56,0.0004605338903600388,3.554,3.547,0.0,0.007,0.0,-0.0,-0.0332,0.0893,0.3214,0.6607,1.657,0.03,0.97515,False
,Lightshield Crest + Dragons Claw,80,0.0006579055576571983,3.538,3.546,-0.0,-0.009,0.0,0.0,0.0061,0.2125,0.325,0.7,1.949,-0.04,0.96644,False
,Emblem Juggernaut + Steadfast Heart,67,0.0005509959045379035,3.582,3.548,0.001,0.035,0.0,-0.0,-0.0372,0.1642,0.403,0.6567,2.023,0.14,0.88609,False
,Emblem Defender + Sunfire Cape,53,0.00043586243194789387,3.642,3.549,0.002,0.095,0.0,-0.0,0.0042,0.1132,0.3208,0.6981,1.924,0.36,0.71976,False
,Emblem Juggernaut + Protectors Vow,67,0.0005509959045379035,3.612,3.548,0.002,0.065,0.0,-0.0,-0.0222,0.1642,0.3731,0.6716,1.939,0.28,0.78297,False
