group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Slayer,13627,0.13034329057744365,2.577,2.704,-0.826,-0.952,-0.926,0.1076,0.2053,0.2361,0.572,0.8968,1.418,-69.91,0.0,True
pepite,Executioner,13307,0.12728246625919443,2.79,2.891,-0.639,-0.739,-0.707,0.0813,0.1345,0.295,0.533,0.826,1.759,-44.91,0.0,True
pepite,Riftbeast,20024,0.19153108171444422,2.852,2.916,-0.613,-0.678,-0.652,0.1175,0.1512,0.2094,0.509,0.8427,1.627,-51.92,0.0,True
pepite,Lux Unique Trait,12602,0.12053908768305165,2.985,3.062,-0.467,-0.544,-0.508,0.0563,0.0882,0.2859,0.5097,0.7798,1.934,-29.74,0.0,True
populaire,Brawler,47597,0.45526892211158615,3.112,3.13,-0.399,-0.417,-0.396,0.1818,0.0827,0.2233,0.4642,0.7743,1.864,-39.54,0.0,True
populaire,Blackthorn,25592,0.24478942485198044,3.107,3.138,-0.391,-0.423,-0.395,0.0957,0.0604,0.2805,0.4846,0.7519,2.001,-30.31,0.0,True
pepite,Alune Unique Trait,10275,0.09828115584378318,3.121,3.19,-0.339,-0.408,-0.369,0.0334,0.0699,0.2489,0.4706,0.7615,1.925,-20.45,0.0,True
pepite,Brawler,1726,0.016509321166556668,2.895,3.243,-0.287,-0.634,-0.551,0.0047,0.1172,0.2497,0.5127,0.8088,1.741,-14.97,0.0,True
,Sprykin,6691,0.06399992347939204,3.207,3.284,-0.246,-0.323,-0.277,0.0157,0.0681,0.1982,0.427,0.7597,1.813,-14.02,0.0,True
,Greenfather,14149,0.13533626024658765,3.252,3.288,-0.241,-0.277,-0.243,0.0327,0.0458,0.2335,0.4358,0.7374,1.957,-15.77,0.0,True
populaire,Blackthorn,31063,0.2971199556180474,3.275,3.291,-0.239,-0.255,-0.231,0.0709,0.0664,0.168,0.4172,0.758,1.83,-21.08,0.0,True
,Slayer,18794,0.17976603824117382,3.275,3.3,-0.229,-0.254,-0.224,0.0411,0.0467,0.2195,0.4222,0.7383,1.926,-16.57,0.0,True
,Emerald,11548,0.1104574975848183,3.294,3.33,-0.199,-0.235,-0.197,0.022,0.0368,0.2183,0.4349,0.7284,1.967,-12.16,0.0,True
,Slayer,961,0.009192038030742155,2.918,3.337,-0.193,-0.611,-0.511,0.0018,0.1492,0.1894,0.4724,0.8408,1.572,-11.97,0.0,True
,Executioner,20746,0.198437066582494,3.346,3.363,-0.166,-0.183,-0.154,0.033,0.034,0.2061,0.4035,0.7256,1.926,-12.43,0.0,True
populaire,Spellweaver,36334,0.34753747118520856,3.354,3.363,-0.166,-0.176,-0.152,0.0577,0.0242,0.226,0.4185,0.7157,2.009,-14.38,0.0,True
,Inferno,3833,0.036662936287028804,3.3,3.381,-0.148,-0.229,-0.166,0.0054,0.0387,0.2139,0.4245,0.7302,1.945,-7.15,0.0,True
,Spellweaver,3135,0.029986513242847714,3.285,3.383,-0.146,-0.244,-0.173,0.0044,0.037,0.2364,0.4313,0.7285,1.989,-6.76,0.0,True
,Sprykin,1021,0.00976594259041388,3.092,3.386,-0.143,-0.437,-0.331,0.0014,0.0861,0.2057,0.4427,0.7777,1.723,-8.06,0.0,True
,Rival,1036,0.009909418730331812,3.101,3.387,-0.142,-0.428,-0.315,0.0014,0.0826,0.2365,0.4508,0.7741,1.848,-7.41,0.0,True
,Rival,11974,0.11453221995848757,3.376,3.399,-0.13,-0.153,-0.114,0.0149,0.0057,0.2493,0.4285,0.6973,2.091,-7.62,0.0,True
